Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,773,28,75,90,82,88,71,66,81,41,33,118
2,,ALL OTHERS (80),80,2,7,10,7,10,5,7,10,8,3,11
3,1.602,COMPUT EDUC,169,11,0,24,24,24,15,15,16,3,9,28
4,1.344,COMPUT HUM BEHAV,53,0,4,0,8,0,4,5,4,2,4,22
5,,LECT NOTES COMPUT SC,47,6,6,9,8,2,2,3,2,2,1,6
6,0.800,J COMPUT ASSIST LEAR,44,0,2,5,2,4,6,3,7,3,2,10
7,0.475,EDUC TECHNOL SOC,43,0,10,3,3,3,4,7,7,4,1,1
8,0.574,BRIT J EDUC TECHNOL,26,0,3,4,3,1,0,1,5,0,3,6
9,1.029,LEARN INSTR,26,0,16,0,2,4,0,1,1,2,0,0
10,,ELE COM ENG,25,1,7,1,3,2,0,1,7,0,1,2
11,,PROC FRONT EDUC CONF,17,0,1,1,1,5,2,2,3,1,0,1
12,1.516,EDUC PSYCHOL REV,16,0,10,0,1,1,0,1,2,0,0,1
13,,INT J ENG EDUC,15,0,0,6,4,1,2,0,0,0,0,2
14,,LECT NOTES ARTIF INT,15,1,1,2,0,1,5,1,1,2,0,1
15,1.368,CYBERPSYCHOL BEHAV,13,0,1,2,0,0,1,4,3,0,0,2
16,2.600,REV EDUC RES,12,0,1,0,1,0,2,2,1,2,0,3
17,0.795,INSTR SCI,11,0,0,2,0,2,3,0,2,1,0,1
18,0.270,ETR&D-EDUC TECH RES,10,0,0,2,1,1,0,3,0,1,1,1
19,,EXPERT SYST APPL,10,0,0,4,2,0,2,1,0,0,1,0
20,,COMPUT APPL ENG EDUC,9,0,0,0,1,4,2,0,0,1,0,1
21,1.364,INT J HUM-COMPUT ST,8,1,1,1,0,1,2,0,1,0,1,0
22,1.028,BEHAV INFORM TECHNOL,6,0,0,2,0,2,1,0,0,1,0,0
23,,IEEE T EDUC,6,1,0,1,0,3,0,0,0,0,0,1
24,0.387,PERCEPT MOTOR SKILL,6,1,0,2,1,1,0,0,0,0,1,0
25,0.969,INTERACT COMPUT,5,0,0,1,0,0,2,0,0,0,0,2
26,0.407,INTERACT LEARN ENVIR,5,1,0,0,2,0,0,0,0,0,0,2
27,,J CHEM EDUC,5,1,0,0,0,0,2,2,0,0,0,0
28,1.232,J COMPUT-MEDIAT COMM,5,0,0,0,0,2,0,1,1,0,0,1
29,1.571,J LEARN SCI,5,0,0,0,0,2,0,0,0,3,0,0
30,0.589,TEACH TEACH EDUC,5,0,0,0,1,0,2,0,0,1,1,0
31,0.180,INNOV EDUC TEACH INT,4,0,1,0,0,0,0,0,1,0,1,1
32,3.000,J ENG EDUC,4,0,0,0,0,0,2,0,0,0,0,2
33,,J VISUAL LANG COMPUT,4,0,0,0,0,2,1,0,0,1,0,0
34,0.415,ASIA PAC EDUC REV,3,0,1,1,0,0,1,0,0,0,0,0
35,0.228,ELECTRON LIBR,3,0,1,0,0,2,0,0,0,0,0,0
36,0.364,FOREIGN LANG ANN,3,0,0,0,1,1,1,0,0,0,0,0
37,,INFORM SOFTWARE TECH,3,0,0,0,0,1,0,0,0,0,0,2
38,,INT J INTELL SYST,3,0,0,1,1,0,0,1,0,0,0,0
39,0.541,INT J SCI EDUC,3,0,0,1,0,0,0,0,0,0,2,0
40,,P SOC PHOTO-OPT INS,3,0,0,0,0,1,1,1,0,0,0,0
41,0.353,PSYCHOL REP,3,1,0,1,0,0,0,0,0,0,1,0
42,,ST HEAL T,3,0,0,0,0,0,0,0,1,0,0,2
43,1.212,TECH COMMUN,3,0,0,1,0,0,0,0,1,0,0,1
44,,ACM T COMPUT-HUM INT,2,1,0,0,1,0,0,0,0,0,0,0
45,,ACM T MULTIM COMPUT,2,0,0,1,0,0,0,0,0,0,0,1
46,0.475,ADOLESCENCE,2,0,0,0,0,0,0,1,1,0,0,0
47,,IASTED INT CONF INTE,2,0,0,0,1,0,0,0,1,0,0,0
48,,IEEE T SYST MAN CY A,2,0,0,0,0,0,0,1,0,1,0,0
49,,IEEE T SYST MAN CY C,2,0,0,1,0,1,0,0,0,0,0,0
50,,INT FED INFO PROC,2,0,1,0,0,0,0,0,0,0,0,1
51,0.551,J ACAD LIBR,2,0,0,0,0,1,0,0,0,1,0,0
52,1.436,J AM SOC INF SCI TEC,2,0,0,0,0,1,0,0,0,0,0,1
53,3.212,J AUTISM DEV DISORD,2,0,0,0,0,0,0,0,1,0,0,1
54,1.148,J RES SCI TEACH,2,0,0,0,0,1,0,0,0,1,0,0
55,1.222,LANG LEARN TECHNOL,2,0,0,0,1,0,0,0,0,0,0,1
56,0.556,LIBR QUART,2,0,0,0,0,1,0,0,1,0,0,0
57,2.042,ORGAN STUD,2,0,0,0,1,0,0,0,1,0,0,0
58,0.265,TEACH PSYCHOL,2,0,1,1,0,0,0,0,0,0,0,0
59,,TRENDS BIOTECHNOL,2,0,0,0,1,0,1,0,0,0,0,0
60,,Z ERZIEHWISS,2,0,0,0,0,0,0,2,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
