Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,638,4,50,133,66,33,46,46,40,39,49,132
2,,ALL OTHERS (40),40,0,5,6,6,3,4,2,2,2,3,7
3,,PROC FRONT EDUC CONF,159,0,15,36,15,8,8,6,6,13,15,37
4,3.000,J ENG EDUC,156,4,16,36,19,6,14,9,7,5,10,30
5,,INT J ENG EDUC,128,0,3,23,12,6,7,13,16,8,8,32
6,,J MECH DESIGN,25,0,2,10,2,0,0,3,1,0,1,6
7,,J PROF ISS ENG ED PR,16,0,1,1,0,4,2,0,2,4,1,1
8,,MONAS ENGN EDUC SER,14,0,1,5,1,1,1,0,2,0,1,2
9,,IEEE T EDUC,12,0,0,4,2,1,2,1,0,1,0,1
10,1.602,COMPUT EDUC,9,0,0,2,0,1,0,2,0,1,1,2
11,,SCIENCE,9,0,1,3,2,0,1,0,0,1,0,1
12,,SOUTHEAST SYMP SYSTE,9,0,0,0,0,0,2,4,2,1,0,0
13,0.464,J BUS TECH COMMUN,8,0,0,1,0,1,0,1,1,1,1,2
14,,ANN BIOMED ENG,7,0,3,0,1,0,0,1,0,1,1,0
15,,J CONSTR ENG M ASCE,6,0,0,2,0,1,0,1,1,0,0,1
16,0.980,IEEE T PROF COMMUN,3,0,0,0,0,0,0,1,0,0,0,2
17,0.180,INNOV EDUC TEACH INT,3,0,1,0,1,0,0,0,0,0,1,0
18,0.137,J ECON EDUC,3,0,0,0,0,0,1,0,0,0,1,1
19,0.548,TEACH HIGH EDUC,3,0,0,2,1,0,0,0,0,0,0,0
20,,AIP CONF P,2,0,0,0,2,0,0,0,0,0,0,0
21,,AM J PHARM EDUC,2,0,0,0,0,0,0,0,0,0,1,1
22,,APPL ENG AGRIC,2,0,1,0,0,0,0,0,0,0,0,1
23,,BIOCHEM MOL BIOL EDU,2,0,0,0,1,0,0,0,0,0,0,1
24,,EXP TECHNIQUES,2,0,0,0,0,0,0,2,0,0,0,0
25,,IEEE ANN HIST COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
26,,IEEE IMTC P,2,0,0,2,0,0,0,0,0,0,0,0
27,,INT J ENVIRON POLLUT,2,0,0,0,0,0,1,0,0,1,0,0
28,0.551,J ACAD LIBR,2,0,1,0,1,0,0,0,0,0,0,0
29,0.867,J HIGH EDUC,2,0,0,0,0,1,0,0,0,0,1,0
30,0.784,J OPER RES SOC,2,0,0,0,0,0,0,0,0,0,2,0
31,,LECT NOTES COMPUT SC,2,0,0,0,0,0,0,0,0,0,1,1
32,,MECHATRONICS,2,0,0,0,0,0,1,0,0,0,0,1
33,0.936,SCI EDUC,2,0,0,0,0,0,2,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
