Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,33779,57,405,825,876,1432,1322,1370,1454,1340,2014,22684
2,,ALL OTHERS (468),468,1,5,6,13,7,12,6,18,12,19,369
3,4.505,J PERS SOC PSYCHOL,1960,7,48,103,82,127,127,101,111,92,107,1055
4,2.580,PERS SOC PSYCHOL B,1223,2,24,55,39,58,68,70,64,56,75,712
5,2.058,J EXP SOC PSYCHOL,863,0,8,25,27,60,49,68,54,35,63,474
6,1.400,PERS INDIV DIFFER,650,0,7,13,21,33,39,26,19,24,44,424
7,1.570,EUR J SOC PSYCHOL,625,2,5,18,25,27,40,33,28,23,43,381
8,1.857,J RES PERS,470,0,3,15,8,25,26,21,21,21,34,296
9,0.657,J APPL SOC PSYCHOL,449,0,0,4,6,9,15,17,12,22,28,336
10,3.047,J APPL PSYCHOL,413,0,2,9,11,14,15,19,22,24,22,275
11,2.331,J PERS,406,0,8,15,11,25,28,24,29,7,27,232
12,1.847,ORGAN BEHAV HUM DEC,405,0,4,8,11,21,30,14,21,25,15,256
13,1.511,COGNITION EMOTION,397,0,3,1,2,8,11,15,18,18,28,293
14,3.088,EMOTION,372,2,5,8,10,11,14,19,20,15,31,237
15,4.763,PERS SOC PSYCHOL REV,370,1,11,14,20,25,12,20,18,14,21,214
16,1.492,GROUP PROCESS INTERG,344,0,4,9,11,17,22,25,24,18,21,193
17,0.652,SEX ROLES,338,1,2,12,10,13,12,10,20,15,19,224
18,1.121,SOC COGNITION,277,1,14,13,17,13,17,30,10,7,20,135
19,0.833,BASIC APPL SOC PSYCH,274,1,6,8,3,19,14,15,14,8,19,167
20,1.952,EUR J PERSONALITY,273,3,11,14,24,19,23,15,15,13,24,112
21,1.043,J SOC CLIN PSYCHOL,264,1,1,5,7,10,14,8,9,7,15,187
22,3.600,BEHAV RES THER,260,0,0,4,2,11,6,6,8,12,14,197
23,4.251,PSYCHOL SCI,247,1,11,15,6,25,13,11,20,18,17,110
24,1.720,J CONSUM PSYCHOL,239,0,6,6,14,12,16,14,15,7,22,127
25,,SELF IDENTITY,229,0,2,12,11,18,8,11,13,8,20,126
26,1.738,J CONSUM RES,209,1,3,4,13,12,11,22,10,7,17,109
27,4.372,ACAD MANAGE REV,205,0,0,3,4,10,11,14,7,19,13,124
28,1.987,BRIT J SOC PSYCHOL,202,0,5,6,12,14,16,13,12,5,14,105
29,6.667,ADV EXP SOC PSYCHOL,196,0,5,8,9,8,9,7,10,13,10,117
30,0.870,J SOC PERS RELAT,192,0,3,5,6,8,7,7,13,6,14,123
31,13.400,ANNU REV PSYCHOL,191,0,2,12,8,18,13,10,13,11,10,94
32,0.611,MOTIV EMOTION,181,1,5,8,6,17,9,5,6,8,11,105
33,,PSYCHOL INQ,173,5,1,10,3,17,4,18,16,8,15,76
34,1.048,PERS RELATIONSHIP,169,0,1,5,2,4,6,12,14,3,9,113
35,10.905,PSYCHOL BULL,164,1,0,4,3,4,7,5,7,7,8,118
36,0.356,SOC BEHAV PERSONAL,162,0,1,2,3,5,5,7,8,2,14,115
37,2.333,REV GEN PSYCHOL,156,0,0,2,1,3,7,10,7,2,6,118
38,0.558,ASIAN J SOC PSYCHOL,151,3,1,13,4,14,6,15,4,7,12,72
39,1.621,PSYCHOL HEALTH,151,0,0,1,2,4,1,6,4,4,10,119
40,0.353,PSYCHOL REP,151,1,0,3,1,9,5,4,1,8,7,112
41,2.518,PSYCHOL AGING,146,0,2,2,2,1,4,10,12,6,14,93
42,1.739,J MARKETING RES,137,0,0,3,8,11,7,8,10,7,5,78
43,0.860,J SOC PSYCHOL,136,0,1,3,1,4,2,2,6,4,15,98
44,,LECT NOTES COMPUT SC,132,1,1,3,1,1,2,3,4,6,3,107
45,1.324,J PERS ASSESS,127,0,1,8,2,3,5,3,4,6,11,84
46,1.135,COGNITIVE THER RES,123,0,0,1,0,0,2,1,2,4,8,105
47,1.344,COMPUT HUM BEHAV,122,0,0,0,0,2,2,3,1,4,10,100
48,6.967,AM PSYCHOL,119,1,3,9,2,4,9,3,2,3,10,73
49,2.353,J EDUC PSYCHOL,119,0,4,5,4,5,3,9,6,8,2,73
50,3.038,DEV PSYCHOL,114,0,0,5,6,2,4,6,9,2,7,73
51,2.966,HEALTH PSYCHOL,114,0,0,1,2,2,3,4,7,3,6,86
52,1.410,MEDIA PSYCHOL,114,0,0,2,1,2,2,4,6,5,6,86
53,,REV INT PSYCHOL SOC,114,0,0,2,7,2,8,3,6,7,4,75
