Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1105,17,44,39,77,77,39,105,85,62,76,484
2,,ALL OTHERS (75),75,0,2,3,0,11,1,8,1,6,3,40
3,1.383,LANG COGNITIVE PROC,100,9,9,6,10,6,1,6,11,7,3,32
4,2.474,J MEM LANG,94,1,2,4,6,7,6,5,10,3,1,49
5,,BRAIN RES,69,1,4,0,2,3,2,1,6,8,11,31
6,2.641,BRAIN LANG,52,0,1,2,1,3,0,5,6,3,3,28
7,3.831,COGNITION,48,0,1,3,9,4,2,5,4,2,1,17
8,4.997,J COGNITIVE NEUROSCI,45,1,1,2,0,3,1,0,13,2,5,17
9,1.604,MEM COGNITION,32,0,0,1,2,4,3,0,1,4,5,12
10,2.408,J EXP PSYCHOL LEARN,31,1,3,1,3,4,1,1,0,1,1,15
11,0.500,J PSYCHOLINGUIST RES,27,0,0,0,6,0,6,1,1,0,0,13
12,0.757,LANG SPEECH,25,1,1,1,2,0,1,3,0,1,2,13
13,1.935,PSYCHON B REV,21,0,1,3,2,3,1,0,1,2,0,8
14,1.452,J SPEECH LANG HEAR R,19,0,1,1,0,0,0,10,1,0,0,6
15,1.200,J NEUROLINGUIST,17,0,0,0,1,0,1,0,1,0,1,13
16,5.594,J EXP PSYCHOL GEN,15,0,1,1,1,2,1,0,1,1,1,6
17,,NEUROIMAGE,14,0,0,1,0,2,0,1,3,2,1,4
18,0.963,BEHAV RES METHODS,13,1,1,0,2,0,1,1,1,0,2,4
19,1.580,APPL PSYCHOLINGUIST,12,0,1,0,1,1,0,2,2,1,0,4
20,0.615,CLIN LINGUIST PHONET,12,0,2,0,0,0,0,9,0,0,1,0
21,4.026,COGNITIVE PSYCHOL,10,0,0,0,3,0,0,0,0,0,1,6
22,2.179,COGNITIVE SCI,10,0,1,0,0,0,1,1,0,1,1,5
23,,LECT NOTES COMPUT SC,10,0,0,0,0,1,0,0,1,0,2,6
24,3.630,NEUROPSYCHOLOGIA,10,0,0,0,1,2,0,1,0,2,0,4
25,2.715,BIOL PSYCHOL,9,0,1,0,0,0,0,0,0,1,1,6
26,1.925,COGN NEUROPSYCHOL,9,0,0,1,1,0,0,1,1,2,0,3
27,0.984,INT J LANG COMM DIS,9,0,0,0,0,0,0,5,0,0,0,4
28,3.349,PSYCHOPHYSIOLOGY,9,0,1,1,0,1,0,0,2,1,0,3
29,1.104,Q J EXP PSYCHOL,9,0,1,0,0,1,0,2,0,0,0,5
30,,APHASIOLOGY,8,0,0,0,0,0,0,1,0,0,2,5
31,,J ACOUST SOC AM,8,0,0,0,2,0,0,4,0,0,0,2
32,0.417,LANG LEARN,8,1,0,2,0,0,0,0,1,1,1,2
33,0.380,ANN PSYCHOL,7,1,0,0,2,0,0,3,0,1,0,0
34,0.756,BILING-LANG COGN,7,0,0,0,0,1,1,0,0,1,0,4
35,,CEREB CORTEX,7,0,0,0,0,0,0,0,2,2,0,3
36,0.880,J CHILD LANG,7,0,0,0,1,0,0,0,0,0,1,5
37,0.556,LINGUA,7,0,0,0,0,0,0,2,0,1,0,4
38,,PHILOS T R SOC B,7,0,0,0,0,1,1,0,3,1,1,0
39,7.803,PSYCHOL REV,7,0,0,0,0,2,0,0,0,0,2,3
40,0.656,SECOND LANG RES,7,0,0,0,0,0,0,0,1,0,0,6
41,,SPEECH COMMUN,7,0,0,0,1,0,0,2,0,0,0,4
42,3.198,DEVELOPMENTAL SCI,6,0,0,0,1,0,0,1,1,0,1,2
43,,IEEE T EVOLUT COMPUT,6,0,0,0,0,0,0,2,0,0,3,1
44,3.212,J AUTISM DEV DISORD,6,0,0,0,0,1,0,5,0,0,0,0
45,1.563,J EXP CHILD PSYCHOL,6,0,0,0,1,0,2,0,0,1,1,1
46,1.404,LANG SPEECH HEAR SER,6,0,0,0,1,0,0,0,2,0,0,3
47,2.518,PSYCHOL AGING,6,0,2,0,0,0,0,0,1,0,0,3
48,,CAN J LING/REV CAN L,5,0,0,2,0,0,0,0,0,0,0,3
49,,J AM ACAD AUDIOL,5,0,0,0,0,0,0,0,0,1,2,2
50,,BMC NEUROSCI,4,0,1,0,0,0,0,0,1,0,2,0
51,,BRAIN RES REV,4,0,0,0,2,0,0,0,0,0,0,2
52,1.538,BRIT J PSYCHOL,4,0,0,0,0,0,0,0,0,0,1,3
53,3.382,CHILD DEV,4,0,0,0,0,0,0,2,0,0,1,1
54,1.022,DISCOURSE PROCESS,4,0,0,0,1,0,0,0,0,0,0,3
55,2.580,J EXP PSYCHOL HUMAN,4,0,0,0,1,0,0,0,0,0,1,2
56,1.477,J LEARN DISABIL-US,4,0,0,0,1,1,0,1,0,0,0,1
57,1.439,J PHONETICS,4,0,0,0,1,0,0,0,0,0,0,3
58,0.484,J PRAGMATICS,4,0,1,0,0,0,0,0,0,0,1,2
59,1.976,LANGUAGE,4,0,0,0,0,0,0,0,0,0,0,4
60,,NEUROREPORT,4,0,0,0,0,0,0,0,1,0,1,2
61,1.371,PERCEPT PSYCHOPHYS,4,0,0,0,0,0,0,2,0,2,0,0
62,4.251,PSYCHOL SCI,4,0,0,1,0,1,0,0,0,0,0,2
63,,READ WRIT,4,0,0,1,1,0,0,0,0,0,0,2
64,1.444,ADV CHILD DEV BEHAV,3,0,0,0,0,0,0,0,1,0,1,1
65,1.018,AM J SPEECH-LANG PAT,3,0,0,0,0,1,0,1,0,0,0,1
66,0.891,CAN J EXP PSYCHOL,3,0,0,1,0,1,0,0,0,0,0,1
67,1.511,COGNITION EMOTION,3,0,0,0,0,0,1,0,0,0,0,2
