Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,15541,87,193,322,562,357,401,735,440,494,437,11513
2,,ALL OTHERS (650),650,0,2,9,11,8,6,15,8,23,13,555
3,1.604,MEM COGNITION,412,4,0,13,20,9,7,18,18,17,28,278
4,7.803,PSYCHOL REV,402,35,16,33,23,6,12,19,13,9,8,228
5,2.408,J EXP PSYCHOL LEARN,240,2,11,5,16,6,9,7,9,6,7,162
6,4.505,J PERS SOC PSYCHOL,236,0,3,5,5,17,6,7,13,9,2,169
7,1.935,PSYCHON B REV,231,3,5,7,18,3,8,18,9,8,9,143
8,3.630,NEUROPSYCHOLOGIA,180,2,0,5,13,4,5,19,7,6,6,113
9,,LECT NOTES COMPUT SC,178,1,1,2,7,3,1,5,0,10,3,145
10,1.371,PERCEPT PSYCHOPHYS,177,3,3,6,5,2,2,3,6,7,7,133
11,1.104,Q J EXP PSYCHOL,165,0,0,4,5,2,5,5,5,1,6,132
12,2.580,J EXP PSYCHOL HUMAN,155,0,1,9,4,2,4,16,1,3,9,106
13,2.580,PERS SOC PSYCHOL B,153,0,2,0,2,14,7,6,4,12,0,106
14,2.474,J MEM LANG,148,0,3,7,5,5,2,6,6,6,5,103
15,5.594,J EXP PSYCHOL GEN,134,1,1,7,10,4,7,6,5,7,4,82
16,3.831,COGNITION,130,0,2,9,8,0,1,6,4,3,6,91
17,4.997,J COGNITIVE NEUROSCI,123,0,2,2,8,2,5,17,6,2,6,73
18,,BRAIN RES,119,2,3,3,7,5,4,3,1,6,8,77
19,,VISION RES,119,4,3,8,2,1,1,2,2,5,3,88
20,4.251,PSYCHOL SCI,115,1,3,9,10,2,6,7,3,7,2,65
21,2.058,J EXP SOC PSYCHOL,111,0,3,1,1,9,6,1,4,6,2,78
22,,J NEUROSCI,110,2,1,3,7,5,8,17,2,1,3,61
23,,NEUROIMAGE,109,0,2,1,6,4,10,22,2,3,3,56
24,10.905,PSYCHOL BULL,105,3,0,4,5,4,4,6,5,1,4,69
25,,LECT NOTES ARTIF INT,104,0,2,2,6,5,0,1,1,0,1,86
26,1.847,ORGAN BEHAV HUM DEC,101,0,3,1,3,5,7,5,7,4,0,66
27,,EXP BRAIN RES,92,0,2,1,3,1,1,9,1,1,1,72
