"","doi","year","article_name","article_type","corresponding_author","authors","author_affiliations","author","author_affiliation1","author_affiliation2","author_affiliation3","author_affiliation4"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10.1207/s15516709cog0101_1","1977","Why Cognitive Science","Original Article","Allan Collins","","Allan Collins",NA,NA,NA,NA,NA
"3","10.1207/s15516709cog0101_2","1977","An Overview of KRL, a Knowledge Representation Language","Original Article","TRUE","Daniel G. Bobrow1,* and
Terry Winograd2","             Xerox Palo Alto Research Center
             Stanford University","Daniel G. Bobrow","             Xerox Palo Alto Research Center",NA,NA,NA
"4","10.1207/s15516709cog0101_2","1977","An Overview of KRL, a Knowledge Representation Language","Original Article","FALSE","Daniel G. Bobrow1,* and
Terry Winograd2","             Xerox Palo Alto Research Center
             Stanford University","Terry Winograd","             Stanford University",NA,NA,NA
"5","10.1207/s15516709cog0101_3","1977","Human and Computational Question Answering†","Original Article","TRUE","Wendy Lehnert*","             Yale University","Wendy Lehnert","             Yale University",NA,NA,NA
"6","10.1207/s15516709cog0101_4","1977","Definite Descriptions and Semantic Memory†","Original Article","TRUE","Andrew Ortony* and
Richard C. Anderson","             University of Illinois at Urbana-Champaign","Andrew Ortony","             University of Illinois at Urbana-Champaign",NA,NA,NA
"7","10.1207/s15516709cog0101_4","1977","Definite Descriptions and Semantic Memory†","Original Article","FALSE","Andrew Ortony* and
Richard C. Anderson","             University of Illinois at Urbana-Champaign","Richard C. Anderson","             University of Illinois at Urbana-Champaign",NA,NA,NA
"8","10.1207/s15516709cog0101_5","1977","Artificial Intelligence, Language, and the Study of Knowledge†‡","Original Article","TRUE","Professor Ira Goldstein* and
Seymour Papert","             Massachusetts Institute of Technology","Professor Ira Goldstein","             Massachusetts Institute of Technology",NA,NA,NA
"9","10.1207/s15516709cog0101_5","1977","Artificial Intelligence, Language, and the Study of Knowledge†‡","Original Article","FALSE","Professor Ira Goldstein* and
Seymour Papert","             Massachusetts Institute of Technology","Seymour Papert","             Massachusetts Institute of Technology",NA,NA,NA
"10","10.1207/s15516709cog0102_1","1977","Induction of Augmented Transition Networks†","Original Article","TRUE","John R. Anderson*","             Yale University","John R. Anderson","             Yale University",NA,NA,NA
"11","10.1207/s15516709cog0102_2","1977","Decision Theory and Artificial Intelligence II: The Hungry Monkey†","Original Article","TRUE","Jerome A. Feldman1,* and
Robert F. Sproull2","             University of Rochester
             Xerox Palo Alto Research Center","Jerome A. Feldman","             University of Rochester",NA,NA,NA
"12","10.1207/s15516709cog0102_2","1977","Decision Theory and Artificial Intelligence II: The Hungry Monkey†","Original Article","FALSE","Jerome A. Feldman1,* and
Robert F. Sproull2","             University of Rochester
             Xerox Palo Alto Research Center","Robert F. Sproull","             Xerox Palo Alto Research Center",NA,NA,NA
"13","10.1207/s15516709cog0102_3","1977","Problem Solving in Semantically Rich Domains: An Example from Engineering Thermodynamics†","Original Article","FALSE","R. Bhaskar and
Herbert A. Simon*","             Carnegie-Mellon University","R. Bhaskar","             Carnegie-Mellon University",NA,NA,NA
"14","10.1207/s15516709cog0102_3","1977","Problem Solving in Semantically Rich Domains: An Example from Engineering Thermodynamics†","Original Article","TRUE","R. Bhaskar and
Herbert A. Simon*","             Carnegie-Mellon University","Herbert A. Simon","             Carnegie-Mellon University",NA,NA,NA
"15","10.1207/s15516709cog0102_4","1977","Verbs, Time, and Modality†","Original Article","TRUE","M. J. Steedman*","             University of Sussex","M. J. Steedman","             University of Sussex",NA,NA,NA
"16","10.1207/s15516709cog0103_1","1977","What Sort of Taxonomy of Causation Do We Need for Language Understanding?†","Original Article","Yorick Wilks","             University of Edinbur̀gh","Yorick Wilks","             University of Edinbur̀gh",NA,NA,NA,NA
"17","10.1207/s15516709cog0103_2","1977","A Simulation of Visual Imagery†","Original Article","TRUE","Stephen M. Kosslyn* and
Steven P. Shwartz","             The Johns Hopkins University","Stephen M. Kosslyn","             The Johns Hopkins University",NA,NA,NA
"18","10.1207/s15516709cog0103_2","1977","A Simulation of Visual Imagery†","Original Article","FALSE","Stephen M. Kosslyn* and
Steven P. Shwartz","             The Johns Hopkins University","Steven P. Shwartz","             The Johns Hopkins University",NA,NA,NA
"19","10.1207/s15516709cog0103_3","1977","Identifying the Relevant Aspects of a Problem Text†","Original Article","TRUE","J. R. Hayes*, 
D. A. Waterman‡ and
C. S. Robinson","             Carnegie-Mellon University","J. R. Hayes","             Carnegie-Mellon University",NA,NA,NA
"20","10.1207/s15516709cog0103_3","1977","Identifying the Relevant Aspects of a Problem Text†","Original Article","FALSE","J. R. Hayes*, 
D. A. Waterman‡ and
C. S. Robinson","             Carnegie-Mellon University","D. A. Waterman‡","             Carnegie-Mellon University",NA,NA,NA
"21","10.1207/s15516709cog0103_3","1977","Identifying the Relevant Aspects of a Problem Text†","Original Article","FALSE","J. R. Hayes*, 
D. A. Waterman‡ and
C. S. Robinson","             Carnegie-Mellon University","C. S. Robinson","             Carnegie-Mellon University",NA,NA,NA
"22","10.1207/s15516709cog0104_1","1977","Framed PAINTING: The Representation of a Common Sense Knowledge Fragment","Original Article","TRUE","Eugene Charniak*","             University of Geneva","Eugene Charniak","             University of Geneva",NA,NA,NA
"23","10.1207/s15516709cog0104_2","1977","Dialogue-Games: Metacommunication Structures for Natural Language Interaction†","Original Article","TRUE","James A. Levin* and
James A. Moore","             USC Information Sciences Institute","James A. Levin","             USC Information Sciences Institute",NA,NA,NA
"24","10.1207/s15516709cog0104_2","1977","Dialogue-Games: Metacommunication Structures for Natural Language Interaction†","Original Article","FALSE","James A. Levin* and
James A. Moore","             USC Information Sciences Institute","James A. Moore","             USC Information Sciences Institute",NA,NA,NA
"25","10.1207/s15516709cog0104_3","1977","Rules and Topics in Conversation","Original Article","TRUE","Roger C. Schank†,*","             Yale University","Roger C. Schank†","             Yale University",NA,NA,NA
"26","10.1207/s15516709cog0201_1","1978","Children's Visual Descriptions","Original Article","TRUE","Jean Hayes*","             University of Edinburgh","Jean Hayes","             University of Edinburgh",NA,NA,NA
"27","10.1207/s15516709cog0201_2","1978","The Meaning of Modality","Original Article","TRUE","P. N. Johnson-Laird*","             University of Sussex","P. N. Johnson-Laird","             University of Sussex",NA,NA,NA
"28","10.1207/s15516709cog0201_3","1978","POLITICS: Automated Ideological Reasoning†","Original Article","TRUE","Jaime G. Carbonell Jr*","             Yale University","Jaime G. Carbonell Jr","             Yale University",NA,NA,NA
"29","10.1207/s15516709cog0201_4","1978","Remembering, Understanding, and Representation†","Original Article","TRUE","Andrew Ortony*","             University of Illinois at Urbana-Champaign","Andrew Ortony","             University of Illinois at Urbana-Champaign",NA,NA,NA
"30","10.1207/s15516709cog0202_1","1978","Planning and Acting†","Original Article","TRUE","Drew McDermott*","             Yale University","Drew McDermott","             Yale University",NA,NA,NA
"31","10.1207/s15516709cog0202_2","1978","Has Artificial Intelligence Contributed to an Understanding of the Human Mind?: A Critique of Arguments For and Against","Original Article","TRUE","Laurence Miller*","             Harvard University","Laurence Miller","             Harvard University",NA,NA,NA
"32","10.1207/s15516709cog0202_3","1978","Modeling Spatial Knowledge†","Original Article","TRUE","Benjamin Kuipers*","             Massachusetts Institute of Technology","Benjamin Kuipers","             Massachusetts Institute of Technology",NA,NA,NA
"33","10.1207/s15516709cog0202_4","1978","Diagnostic Models for Procedural Bugs in Basic Mathematical Skills†","Original Article","FALSE","John Seely Brown and
Richard R. Burton*","             Bolt Beranek and Newman","John Seely Brown","             Bolt Beranek and Newman",NA,NA,NA
"34","10.1207/s15516709cog0202_4","1978","Diagnostic Models for Procedural Bugs in Basic Mathematical Skills†","Original Article","TRUE","John Seely Brown and
Richard R. Burton*","             Bolt Beranek and Newman","Richard R. Burton","             Bolt Beranek and Newman",NA,NA,NA
"35","10.1207/s15516709cog0203_1","1978","Editorial","Editorial","Eugene Charniak","             Computer Science Box F Brown University Providence R.I. 02912","Eugene Charniak","             Computer Science Box F Brown University Providence R.I. 02912",NA,NA,NA,NA
"36","10.1207/s15516709cog0203_2","1978","Interacting Plans","Original Article","Bertram Bruce1 and
Denis Newman2","             Bolt Beranek and Newman
             University of California at San Diego","Bertram Bruce","             Bolt Beranek and Newman",NA,NA,NA,NA
"37","10.1207/s15516709cog0203_2","1978","Interacting Plans","Original Article","Bertram Bruce1 and
Denis Newman2","             Bolt Beranek and Newman
             University of California at San Diego","Denis Newman","             University of California at San Diego",NA,NA,NA,NA
"38","10.1207/s15516709cog0203_3","1978","Why John Married Mary: Understanding Stories Involving Recurring Goals","Original Article","Robert Wilensky","             Yale University","Robert Wilensky","             Yale University",NA,NA,NA,NA
"39","10.1207/s15516709cog0203_4","1978","Some Remarks on AI and Linguistics","Original Article","George Lakoff","             University of California, Berkeley","George Lakoff","             University of California, Berkeley",NA,NA,NA,NA
"40","10.1207/s15516709cog0203_5","1978","Tarskian Semantics, or No Notation Without Denotation!","Original Article","Drew McDermott","             Yale University","Drew McDermott","             Yale University",NA,NA,NA,NA
"41","10.1207/s15516709cog0204_1","1978","Conversational Coherency†","Original Article","Rachel Reichman","             Harvard University and Bolt Beranek and Newman","Rachel Reichman","             Harvard University and Bolt Beranek and Newman",NA,NA,NA,NA
"42","10.1207/s15516709cog0204_2","1978","Artificial Intelligence as a Possible Tool for Discovering Laws of Logic","Original Article","David Isles","             Tufts University","David Isles","             Tufts University",NA,NA,NA,NA
"43","10.1207/s15516709cog0204_3","1978","Understanding Understanding Mathematics","Original Article","Edwina Rissland Michener","             Massachusetts Institute of Technology","Edwina Rissland Michener","             Massachusetts Institute of Technology",NA,NA,NA,NA
"44","10.1207/s15516709cog0204_4","1978","On Deriving Aspectual Sense","Original Article","Bonnie Lynn Webber","             University of Pennsylvania and Bolt Beranek and Newman, Inc.","Bonnie Lynn Webber","             University of Pennsylvania and Bolt Beranek and Newman, Inc.",NA,NA,NA,NA
"45","10.1207/s15516709cog0204_5","1978","A Conceptual Analysis of the Verbs Need and Want†","Original Article","TRUE","Robert Wilensky*","             University of California at Berkeley","Robert Wilensky","             University of California at Berkeley",NA,NA,NA
"46","10.1207/s15516709cog0301_1","1979","A Critical Perspective on KRL","Original Article","Wendy Lehnert1 and
Yorick Wilks2","             Yale University
             University of Essex","Wendy Lehnert","             Yale University",NA,NA,NA,NA
"47","10.1207/s15516709cog0301_1","1979","A Critical Perspective on KRL","Original Article","Wendy Lehnert1 and
Yorick Wilks2","             Yale University
             University of Essex","Yorick Wilks","             University of Essex",NA,NA,NA,NA
"48","10.1207/s15516709cog0301_2","1979","KRL: Another Perspective","Original Article","Daniel G. Bobrow and
Terry Winograd","             Xerox Palo Alto Research Center and Stanford University","Daniel G. Bobrow","             Xerox Palo Alto Research Center and Stanford University",NA,NA,NA,NA
"49","10.1207/s15516709cog0301_2","1979","KRL: Another Perspective","Original Article","Daniel G. Bobrow and
Terry Winograd","             Xerox Palo Alto Research Center and Stanford University","Terry Winograd","             Xerox Palo Alto Research Center and Stanford University",NA,NA,NA,NA
"50","10.1207/s15516709cog0301_3","1979","Narrative Models of Action and Interaction†","Original Article","Robert de Beaugrande1 and
Benjamin N. Colby2","             University of Florida
             University of California, Irvine","Robert de Beaugrande","             University of Florida",NA,NA,NA,NA
"51","10.1207/s15516709cog0301_3","1979","Narrative Models of Action and Interaction†","Original Article","Robert de Beaugrande1 and
Benjamin N. Colby2","             University of Florida
             University of California, Irvine","Benjamin N. Colby","             University of California, Irvine",NA,NA,NA,NA
