Cited Journal Data: COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2904,6,57,85,120,99,78,63,74,164,111,2047
2,,ALL OTHERS (247),247,3,3,2,9,9,9,4,2,15,5,186
3,2.753,J EXP PSYCHOL LEARN,126,0,7,5,10,1,2,4,4,7,4,82
4,2.247,J EXP PSYCHOL HUMAN,115,0,2,2,4,2,5,2,3,16,4,75
5,1.507,MEM COGNITION,97,0,0,2,7,2,2,7,6,1,2,68
6,1.252,PERCEPT PSYCHOPHYS,80,0,1,1,2,3,0,0,3,9,3,58
7,,VISION RES,67,0,0,1,1,2,0,0,3,5,11,44
8,2.622,COGNITION,64,0,5,4,1,5,3,1,1,5,0,39
9,0.295,VIS COGN,63,0,1,1,1,3,1,0,0,11,8,37
10,2.638,J MEM LANG,59,0,2,4,1,1,2,0,2,0,0,47
11,6.069,PSYCHOL REV,59,0,2,1,3,4,1,1,3,3,3,38
12,1.580,PSYCHON B REV,47,0,2,6,2,3,1,1,1,2,3,26
13,3.636,J EXP PSYCHOL GEN,46,0,0,0,4,2,0,1,1,3,1,34
14,1.452,Q J EXP PSYCHOL-A,46,0,0,3,1,1,0,0,1,0,1,39
15,3.463,COGNITIVE PSYCHOL,45,0,0,2,3,4,2,1,1,2,0,30
16,14.250,BEHAV BRAIN SCI,41,0,2,3,6,0,1,0,0,0,6,23
17,,TRENDS COGN SCI,41,1,3,3,1,4,0,2,1,7,1,18
18,1.193,PERCEPTION,36,0,2,0,0,1,0,0,5,1,4,23
19,5.851,ANNU REV PSYCHOL,34,0,0,5,4,1,3,2,1,1,2,15
20,5.115,J COGNITIVE NEUROSCI,28,0,0,1,1,3,2,0,0,1,3,17
21,0.286,AM J PSYCHOL,27,0,0,0,1,1,1,1,2,0,3,18
22,0.308,PERCEPT MOTOR SKILL,26,0,0,0,0,0,0,0,0,0,2,24
23,2.565,PSYCHOL SCI,25,0,0,3,0,2,1,0,2,1,0,16
24,2.768,CHILD DEV,23,0,0,1,1,1,1,1,0,1,0,17
25,,LECT NOTES ARTIF INT,23,0,1,0,0,0,0,2,0,0,1,19
26,2.778,NEUROPSYCHOLOGIA,23,0,0,2,4,1,0,0,1,0,2,13
27,6.913,PSYCHOL BULL,23,0,0,1,1,1,1,0,0,0,0,19
28,1.360,PSYCHOL RES-PSYCH FO,22,0,0,1,1,0,3,0,1,0,0,16
29,3.172,J PERS SOC PSYCHOL,21,0,0,0,0,1,0,1,1,5,0,13
30,0.725,J PSYCHOLINGUIST RES,20,0,0,0,0,0,0,0,0,2,3,15
31,1.629,COGNITIVE SCI,19,0,0,1,0,3,0,0,0,0,0,15
32,2.044,DEV PSYCHOL,19,0,0,0,0,1,3,0,0,0,0,15
33,0.452,EUR J COGN PSYCHOL,19,0,0,1,0,0,0,0,0,2,0,16
34,,PROC ANN BUCLD,19,0,1,0,1,0,6,1,1,1,0,8
35,1.200,ORGAN BEHAV HUM DEC,18,0,1,1,0,0,0,0,1,1,0,14
36,0.962,COGNITIVE DEV,17,0,0,0,0,0,1,1,2,0,2,11
37,1.357,DEV REV,17,0,0,1,0,0,1,1,1,1,2,10
38,,ADV CHILD DEV BEHAV,16,0,0,1,0,2,0,1,1,2,1,8
39,1.473,BRAIN LANG,16,0,0,0,1,0,0,0,0,0,0,15
40,0.417,PSYCHOL BELG,16,0,2,0,0,0,1,0,1,1,0,11
41,,PSYCHOL LEARN MOTIV,16,0,0,0,2,0,1,2,1,1,0,9
42,2.180,COGNITIVE NEUROPSYCH,14,0,0,0,0,0,0,0,1,0,3,10
43,1.962,CONSCIOUS COGN,14,0,0,1,0,2,0,0,0,2,0,9
44,1.276,J EXP CHILD PSYCHOL,14,0,0,2,0,0,0,0,1,1,2,8
45,0.519,J GEN PSYCHOL,14,0,0,1,0,1,0,0,0,0,1,11
46,2.308,PSYCHOL AGING,14,1,0,1,0,2,0,4,0,0,0,6
47,1.581,DISCOURSE PROCESS,13,0,0,0,0,1,1,3,0,0,0,8
48,,FRONT BIOSCI,13,0,0,0,0,0,0,0,0,3,0,10
49,0.333,INT J HUM-COMPUT ST,13,0,0,1,0,0,0,0,0,0,0,12
50,3.106,PSYCHOPHYSIOLOGY,13,0,0,0,1,0,0,0,0,0,0,12
51,1.267,ACTA PSYCHOL,12,0,1,0,2,0,0,0,0,0,0,9
52,0.630,BRAIN COGNITION,12,0,0,0,0,0,0,0,0,0,0,12
53,1.053,BRIT J PSYCHOL,12,0,0,0,0,2,0,1,0,0,0,9
54,0.500,CAN J EXP PSYCHOL,12,0,1,0,0,0,1,1,0,4,0,5
55,0.696,COGNITION INSTRUCT,12,0,0,0,0,0,1,1,2,0,0,8
56,1.844,J EDUC PSYCHOL,12,0,0,0,1,0,0,0,1,0,0,10
57,,NEUROREPORT,12,0,0,0,1,1,0,0,0,0,0,10
58,0.500,Z EXP PSYCHOL,12,0,0,0,1,0,0,0,0,0,1,10
59,,CEREB CORTEX,11,0,0,0,4,1,0,0,0,0,0,6
60,0.875,LANG COGNITIVE PROC,11,0,0,1,0,0,2,0,0,1,1,6
61,,LECT NOTES COMPUT SC,11,0,0,0,1,0,1,1,0,0,0,8
62,1.522,MEMORY,11,0,0,1,0,0,0,0,0,0,0,10
63,,NEUROIMAGE,11,0,0,0,4,0,0,0,0,0,0,7
64,0.473,PSICOTHEMA,11,0,0,0,0,0,0,0,0,0,0,11
65,0.929,APPL COGNITIVE PSYCH,10,0,0,0,0,0,0,0,0,0,0,10
66,,COGNITIVE BRAIN RES,10,0,0,0,1,1,0,0,0,0,1,7
67,0.595,CONTEMP EDUC PSYCHOL,10,0,0,0,0,1,0,1,1,0,0,7
68,1.590,J SPEECH LANG HEAR R,10,0,0,1,1,0,1,0,0,1,0,6
69,,PERSP NEURAL COMP,10,0,0,0,1,0,0,0,2,0,0,7
70,1.226,J AM SOC INFORM SCI,9,0,0,0,0,0,0,0,0,0,0,9
71,1.639,J BEHAV DECIS MAKING,9,0,1,0,0,0,0,1,0,2,0,5
