Cited Journal Data: CONTEMPORARY EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,284,0,5,17,27,40,23,35,27,12,15,83
2,,ALL OTHERS (62),62,0,0,2,2,7,10,2,6,1,1,31
3,0.595,CONTEMP EDUC PSYCHOL,38,0,1,2,1,11,1,9,3,3,3,4
4,1.844,J EDUC PSYCHOL,26,0,0,4,4,1,3,5,3,2,2,2
5,0.386,J EXP EDUC,15,0,0,1,2,2,0,1,2,3,1,3
6,0.086,J EDUC COMPUT RES,9,0,0,0,2,3,1,1,1,0,0,1
7,3.517,EDUC PSYCHOL,8,0,0,0,4,0,0,0,4,0,0,0
8,1.000,EDUC PSYCHOL REV,8,0,0,0,0,2,0,1,2,0,0,3
9,0.459,LEARN INDIVID DIFFER,7,0,1,3,2,0,0,0,0,0,0,1
10,0.245,CAN J BEHAV SCI,6,0,0,1,1,0,0,1,1,0,0,2
11,5.851,ANNU REV PSYCHOL,5,0,0,1,2,0,0,2,0,0,0,0
12,1.226,J AM SOC INFORM SCI,5,0,0,0,0,0,0,2,1,0,2,0
13,1.730,J APPL PSYCHOL,5,0,0,0,1,2,1,0,1,0,0,0
14,0.351,J EDUC RES,4,0,0,0,1,2,0,0,0,0,1,0
15,1.507,MEM COGNITION,4,0,0,1,0,1,0,0,2,0,0,0
16,1.743,Z PADAGOG PSYCHOL,4,0,0,1,1,0,0,0,0,0,1,1
17,,FOCUS EXCEPT CHILD,3,0,0,0,0,0,1,0,0,0,0,2
18,0.531,J ADOLESC ADULT LIT,3,0,0,0,0,1,0,0,0,0,0,2
19,0.647,J EDUC GIFTED,3,0,0,0,0,0,1,0,1,0,0,1
20,2.753,J EXP PSYCHOL LEARN,3,0,0,0,0,1,0,1,0,0,0,1
21,0.040,JPN J EDUC PSYCHOL,3,0,0,0,0,0,0,1,0,0,0,2
22,0.920,PERS INDIV DIFFER,3,0,0,0,0,1,1,1,0,0,0,0
23,0.174,READ RES INSTRUCT,3,0,0,0,0,0,0,1,0,0,1,1
24,0.227,SOC BEHAV PERSONAL,3,0,0,0,0,0,0,1,0,0,1,1
25,0.286,AM J PSYCHOL,2,0,0,0,0,1,0,1,0,0,0,0
26,0.238,ANN PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
27,0.692,APPL LINGUIST,2,0,0,0,0,0,0,1,0,1,0,0
28,1.500,BIOL PSYCHOL,2,0,0,0,0,0,0,1,0,0,0,1
29,0.537,BRIT J EDUC PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
30,1.053,BRIT J PSYCHOL,2,0,0,0,0,1,0,0,0,0,1,0
31,0.500,CAN J EXP PSYCHOL,2,0,0,0,1,0,0,0,0,1,0,0
32,1.357,DEV REV,2,0,0,0,0,0,0,0,0,0,0,2
33,0.211,EDUC GERONTOL,2,0,0,0,1,0,0,1,0,0,0,0
34,0.865,ELEM SCHOOL J,2,0,0,0,0,1,0,0,0,0,0,1
35,0.177,ETR&D-EDUC TECH RES,2,0,0,0,0,0,2,0,0,0,0,0
36,0.328,FOREIGN LANG ANN,2,0,0,0,0,0,0,0,0,0,1,1
37,,INT FED INFO PROC,2,0,0,0,0,1,0,0,0,0,0,1
38,1.276,J EXP CHILD PSYCHOL,2,0,2,0,0,0,0,0,0,0,0,0
39,1.058,J FAM PSYCHOL,2,0,0,0,0,0,0,1,0,0,0,1
40,0.992,J RES SCI TEACH,2,0,0,0,0,0,0,0,0,0,0,2
41,1.091,LEARN DISABILITY Q,2,0,0,0,0,0,0,0,0,0,0,2
42,1.522,MEMORY,2,0,0,1,0,0,0,0,0,0,0,1
43,1.452,Q J EXP PSYCHOL-A,2,0,0,0,0,0,0,0,0,0,0,2
44,2.486,READ RES QUART,2,0,1,0,0,0,0,0,0,1,0,0
45,0.490,READ TEACH,2,0,0,0,0,0,0,0,0,0,0,2
46,0.603,REM SPEC EDUC,2,0,0,0,0,0,0,0,0,0,0,2
47,0.979,RES Q EXERCISE SPORT,2,0,0,0,0,0,2,0,0,0,0,0
48,1.424,SCHOOL PSYCHOL REV,2,0,0,0,0,1,0,0,0,0,0,1
49,0.352,TEACH PSYCHOL,2,0,0,0,0,1,0,0,0,0,0,1
50,0.404,TOP LANG DISORD,2,0,0,0,2,0,0,0,0,0,0,0
51,0.345,Z ENTWICKL PADAGOGIS,2,0,0,0,0,0,0,1,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
