Cited Journal Data: JOURNAL OF COMPUTER ASSISTED LEARNING,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,58,0,4,10,22,10,4,4,0,0,4,0
2,0.300,COMPUT EDUC,13,0,0,2,11,0,0,0,0,0,0,0
3,0.212,J COMPUT ASSIST LEAR,13,0,3,1,4,1,3,1,0,0,0,0
4,0.318,BRIT J EDUC TECHNOL,3,0,0,1,2,0,0,0,0,0,0,0
5,0.086,J EDUC COMPUT RES,3,0,0,0,0,0,0,2,0,0,1,0
6,0.537,BRIT J EDUC PSYCHOL,2,0,0,0,2,0,0,0,0,0,0,0
7,0.333,COMPUT HUM BEHAV,2,0,0,1,0,1,0,0,0,0,0,0
8,,INT FED INFO PROC,2,0,0,1,1,0,0,0,0,0,0,0
9,0.705,INT J SCI EDUC,2,0,0,0,0,2,0,0,0,0,0,0
10,0.636,STUD HIGH EDUC,2,0,0,1,1,0,0,0,0,0,0,0
11,,BRIT J BIOMED SCI,1,0,0,0,0,0,0,1,0,0,0,0
12,,CYBERNET SYST,1,0,0,0,0,1,0,0,0,0,0,0
13,,DECIS SUPPORT SYST,1,0,0,0,0,1,0,0,0,0,0,0
14,0.535,DISABIL REHABIL,1,0,0,1,0,0,0,0,0,0,0,0
15,,ENVIRON TECHNOL,1,0,0,0,0,1,0,0,0,0,0,0
16,,HYDROL PROCESS,1,0,0,0,0,0,1,0,0,0,0,0
17,0.683,INFORM MANAGE,1,0,0,0,0,0,0,0,0,0,1,0
18,0.134,INT J EDUC DEV,1,0,0,0,0,0,0,0,0,0,1,0
19,,INT J ELEC ENG EDUC,1,0,0,0,0,1,0,0,0,0,0,0
20,0.255,INT J IND ERGONOM,1,0,0,0,0,1,0,0,0,0,0,0
21,,J CHEM EDUC,1,0,0,0,0,0,0,0,0,0,1,0
22,0.351,J EDUC RES,1,0,0,0,0,1,0,0,0,0,0,0
23,,KNOWL-BASED SYST,1,0,1,0,0,0,0,0,0,0,0,0
24,0.308,PERCEPT MOTOR SKILL,1,0,0,1,0,0,0,0,0,0,0,0
25,0.338,RES HIGH EDUC,1,0,0,0,1,0,0,0,0,0,0,0
26,0.415,SEX ROLES,1,0,0,1,0,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
