Cited Journal Data: JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2415,23,82,195,196,233,128,185,167,187,257,762
2,,ALL OTHERS (86),86,0,0,4,3,5,3,4,6,5,16,40
3,2.638,J MEM LANG,235,4,12,22,31,23,17,27,12,8,12,67
4,2.753,J EXP PSYCHOL LEARN,192,2,8,11,23,14,9,17,15,8,31,54
5,1.507,MEM COGNITION,168,1,4,14,14,13,13,13,13,8,15,60
6,0.875,LANG COGNITIVE PROC,98,2,7,4,14,9,5,7,6,3,9,32
7,1.580,PSYCHON B REV,92,0,3,8,7,11,4,9,6,8,15,21
8,0.725,J PSYCHOLINGUIST RES,82,3,6,12,9,4,3,9,7,4,5,20
9,2.247,J EXP PSYCHOL HUMAN,67,0,1,7,10,3,6,3,4,6,8,19
10,1.452,Q J EXP PSYCHOL-A,63,0,1,3,2,3,8,7,1,11,11,16
11,2.622,COGNITION,55,1,5,15,8,5,3,0,3,3,3,9
12,14.250,BEHAV BRAIN SCI,44,0,2,8,10,3,3,1,0,5,0,12
13,,TRENDS COGN SCI,44,2,5,5,2,4,3,6,1,4,0,12
14,1.473,BRAIN LANG,42,3,1,1,1,4,1,4,4,5,5,13
15,1.522,MEMORY,39,0,0,1,1,6,2,3,4,5,5,12
16,6.069,PSYCHOL REV,37,0,0,3,4,1,2,1,2,5,2,17
17,1.581,DISCOURSE PROCESS,34,0,0,2,2,3,2,4,0,3,0,18
18,3.636,J EXP PSYCHOL GEN,34,0,0,6,1,3,2,1,2,2,4,13
19,1.276,J EXP CHILD PSYCHOL,29,0,0,2,0,2,3,5,2,7,3,5
20,3.463,COGNITIVE PSYCHOL,27,0,1,3,4,5,1,2,1,4,0,6
21,5.851,ANNU REV PSYCHOL,25,0,2,3,1,11,0,2,1,1,0,4
22,5.115,J COGNITIVE NEUROSCI,25,0,2,5,0,5,3,1,2,3,2,2
23,1.590,J SPEECH LANG HEAR R,24,0,0,0,1,3,0,2,3,3,5,7
24,0.093,PSYCHOLOGIA,23,0,0,2,2,2,1,2,2,0,4,8
25,1.252,PERCEPT PSYCHOPHYS,22,1,1,2,5,3,1,1,2,1,1,4
26,2.565,PSYCHOL SCI,22,0,1,4,3,6,1,0,0,2,2,3
27,2.778,NEUROPSYCHOLOGIA,21,0,1,1,1,3,2,0,1,5,4,3
28,2.308,PSYCHOL AGING,20,0,1,0,2,4,0,1,4,1,2,5
29,0.122,READ WRIT,20,0,0,0,0,0,0,2,2,0,0,16
30,0.452,EUR J COGN PSYCHOL,19,0,0,1,0,1,2,1,0,0,6,8
31,1.844,J EDUC PSYCHOL,18,0,0,1,1,1,0,1,0,1,2,11
32,0.417,PSYCHOL BELG,18,2,2,2,3,3,1,0,2,2,0,1
33,,REV NEUROPSYCHOL,18,0,0,1,0,1,2,1,1,2,3,7
34,0.238,ANN PSYCHOL,15,0,0,0,2,2,2,0,1,3,0,5
35,2.180,COGNITIVE NEUROPSYCH,15,0,1,0,1,4,1,0,1,2,0,5
36,0.818,APPL PSYCHOLINGUIST,13,0,3,1,0,2,0,1,0,0,3,3
37,,COGNITIVE BRAIN RES,13,1,1,2,0,2,0,0,0,1,1,5
38,,PROC ANN BUCLD,13,0,0,2,2,3,1,2,1,1,0,1
39,0.929,APPL COGNITIVE PSYCH,12,0,0,1,0,5,0,0,0,1,0,5
40,,EXP AGING RES,12,0,1,0,1,3,0,1,0,0,1,5
41,2.702,NEUROPSYCHOLOGY,12,0,0,0,1,3,1,2,0,0,2,3
42,3.106,PSYCHOPHYSIOLOGY,12,0,1,1,0,0,0,1,0,0,1,8
43,0.500,Z EXP PSYCHOL,12,0,0,1,0,0,0,2,0,2,3,4
44,1.267,ACTA PSYCHOL,11,0,0,3,0,1,0,1,1,0,2,3
45,0.286,AM J PSYCHOL,11,0,0,0,1,3,1,1,2,0,2,1
46,,APHASIOLOGY,11,0,0,0,0,0,0,0,3,0,2,6
47,1.962,CONSCIOUS COGN,11,0,0,0,0,3,0,0,2,0,3,3
48,3.352,J ABNORM PSYCHOL,10,0,0,0,0,6,0,0,0,0,2,2
49,0.340,LANG LEARN,10,0,1,0,2,1,0,2,1,0,1,2
50,0.660,AUST J PSYCHOL,9,0,0,1,0,0,0,0,1,0,1,6
51,2.768,CHILD DEV,9,0,0,1,0,0,0,1,0,1,2,4
52,0.837,CLIN LINGUIST PHONET,9,0,1,0,0,0,0,1,1,1,1,4
