Cited Journal Data: JOURNAL OF RESEARCH IN SCIENCE TEACHING,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1025,8,35,82,59,88,73,87,83,91,74,345
2,,ALL OTHERS (62),62,0,3,1,4,1,5,1,6,7,1,33
3,0.992,J RES SCI TEACH,316,6,20,37,17,23,11,23,22,22,16,119
4,0.705,INT J SCI EDUC,171,0,4,10,10,14,12,12,20,18,22,49
5,0.918,SCI EDUC,140,1,2,11,7,17,15,14,9,14,12,38
6,,J CHEM EDUC,51,0,0,4,5,3,7,3,7,3,4,15
7,0.696,COGNITION INSTRUCT,22,0,0,1,0,4,0,1,4,2,4,6
8,0.438,J CURRICULUM STUD,16,0,0,7,1,1,1,2,0,2,0,2
9,0.651,INSTR SCI,14,0,0,0,2,0,0,4,2,2,2,2
10,0.281,HISPANIC J BEHAV SCI,13,0,0,0,2,1,2,0,0,0,1,7
11,0.351,J EDUC RES,13,0,0,0,0,2,4,2,0,2,0,3
12,0.667,EDUC RES,12,0,0,1,2,2,0,2,0,1,0,4
13,1.286,J LEARN SCI,12,0,0,0,2,2,1,3,1,0,1,2
14,,J BIOL EDUC,11,1,0,0,0,2,1,2,0,0,1,4
15,,IEEE T EDUC,10,0,0,1,0,0,0,1,1,0,1,6
16,,AM J PHYS,9,0,0,0,1,1,1,0,3,1,0,2
17,0.086,J EDUC COMPUT RES,8,0,0,0,0,0,1,0,0,0,1,6
18,0.536,LEARN INSTR,8,0,2,0,1,0,0,0,0,0,1,4
19,0.317,TEACH TEACH EDUC,8,0,0,0,0,1,3,2,1,0,0,1
20,1.357,DEV REV,7,0,0,1,0,0,0,1,2,1,1,1
21,0.412,J TEACH PHYS EDUC,7,0,0,0,1,2,2,0,1,1,0,0
22,0.219,CURRICULUM INQ,6,0,0,1,0,0,0,0,0,3,0,2
23,,INT J TECHNOL DES ED,6,0,0,1,0,0,1,1,0,0,1,2
24,0.533,J CREATIVE BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
25,,MONAS ENGN EDUC SER,6,0,0,0,0,2,1,0,0,2,0,1
26,0.054,AUST J EDUC,5,0,0,0,0,0,0,0,0,0,0,5
27,,IBM SYST J,5,0,0,0,0,1,0,0,0,1,3,0
28,,ISRAEL J PLANT SCI,5,0,0,1,1,0,0,1,0,0,0,2
29,1.844,J EDUC PSYCHOL,5,0,1,1,0,0,0,0,0,2,0,1
30,0.045,J NEGRO EDUC,5,0,0,1,0,0,1,1,0,0,0,2
31,,JAMA-J AM MED ASSOC,5,0,1,1,0,1,0,1,0,0,0,1
32,,ADV PHYSIOL EDUC,4,0,0,0,0,1,0,1,0,0,0,2
33,0.595,CONTEMP EDUC PSYCHOL,4,0,0,0,0,0,1,3,0,0,0,0
34,0.255,INT J IND ERGONOM,4,0,0,0,0,1,1,1,1,0,0,0
35,0.750,MERRILL PALMER QUART,4,0,0,0,0,0,1,0,0,1,0,2
36,,TRZS NSW,4,0,0,0,2,1,0,0,0,0,0,1
37,,CAN J PHYS,3,0,0,0,1,0,0,1,0,0,0,1
38,,COMPUT GEOSCI-UK,3,0,0,0,0,0,0,0,0,1,0,2
39,3.517,EDUC PSYCHOL,3,0,1,0,0,0,0,1,0,0,0,1
40,,INT J INTELL SYST,3,0,0,0,0,0,0,0,0,0,0,3
41,0.531,J ADOLESC ADULT LIT,3,0,0,0,0,0,0,2,0,1,0,0
42,0.703,OXFORD REV EDUC,3,0,0,0,0,0,0,0,0,1,1,1
43,,PUBL ASTRON SOC AUST,3,0,1,1,0,1,0,0,0,0,0,0
44,0.300,COMPUT EDUC,2,0,0,0,0,0,0,0,1,0,0,1
45,,FR REV,2,0,0,0,0,2,0,0,0,0,0,0
46,6.347,HARVARD LAW REV,2,0,0,0,0,0,0,0,0,2,0,0
47,0.954,HUM FACTORS,2,0,0,0,0,0,0,1,1,0,0,0
48,0.386,J EXP EDUC,2,0,0,0,0,0,0,0,1,0,0,1
49,0.831,J GEOGR,2,0,0,0,0,2,0,0,0,0,0,0
50,0.420,J NURS EDUC,2,0,0,0,0,0,0,0,0,0,1,1
51,,PERSPECT BIOL MED,2,0,0,1,0,0,1,0,0,0,0,0
52,2.414,PSYCHOL INQ,2,0,0,0,0,0,0,0,0,0,0,2
53,0.352,TEACH PSYCHOL,2,0,0,0,0,0,0,0,0,1,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
