Cited Journal Data: MEMORY ,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,3219,22,106,197,214,179,139,178,225,175,86,1698
2,,ALL OTHERS (170),170,1,7,9,6,11,3,4,6,14,3,106
3,1.507,MEM COGNITION,323,8,9,28,25,24,20,21,15,16,10,147
4,2.753,J EXP PSYCHOL LEARN,301,6,15,22,20,18,9,12,23,14,14,148
5,1.580,PSYCHON B REV,162,4,10,13,16,12,9,10,7,5,2,74
6,1.452,Q J EXP PSYCHOL-A,119,0,1,6,3,4,3,7,17,2,2,74
7,2.638,J MEM LANG,112,0,4,6,7,5,5,5,10,8,4,58
8,2.247,J EXP PSYCHOL HUMAN,96,0,5,1,4,3,1,7,8,1,2,64
9,6.069,PSYCHOL REV,76,0,2,5,4,2,3,1,7,4,2,46
10,1.522,MEMORY,68,0,2,2,5,2,0,10,7,4,0,36
11,0.286,AM J PSYCHOL,49,0,1,1,5,3,1,1,3,0,1,33
12,1.473,BRAIN LANG,46,0,1,2,4,2,1,1,1,6,0,28
13,3.636,J EXP PSYCHOL GEN,44,1,0,3,0,4,4,3,3,5,0,21
14,1.276,J EXP CHILD PSYCHOL,42,0,1,4,0,2,3,4,5,1,2,20
15,0.452,EUR J COGN PSYCHOL,40,0,3,1,3,3,1,1,4,3,1,20
16,0.929,APPL COGNITIVE PSYCH,38,0,0,2,3,1,2,5,3,6,2,14
17,2.622,COGNITION,37,0,0,3,2,0,5,2,5,0,1,19
18,1.252,PERCEPT PSYCHOPHYS,37,0,0,7,1,0,2,1,3,0,0,23
19,5.115,J COGNITIVE NEUROSCI,36,0,5,2,6,2,1,2,0,3,2,13
20,2.778,NEUROPSYCHOLOGIA,35,0,0,2,6,1,1,1,2,4,0,18
21,0.260,CAH PSYCHOL COGN,31,0,0,2,1,1,2,3,1,0,2,19
22,2.565,PSYCHOL SCI,29,0,2,2,3,2,3,4,2,2,1,8
23,5.851,ANNU REV PSYCHOL,27,0,0,4,3,1,2,2,0,1,0,14
24,,TRENDS COGN SCI,27,0,3,6,2,1,0,1,2,2,0,10
25,0.875,LANG COGNITIVE PROC,26,0,2,1,1,2,0,0,1,1,1,17
26,0.308,PERCEPT MOTOR SKILL,26,0,1,0,1,0,0,0,1,1,0,22
27,2.308,PSYCHOL AGING,26,0,2,5,3,3,1,1,2,0,0,9
28,3.463,COGNITIVE PSYCHOL,25,0,1,0,4,2,3,0,3,1,0,11
29,0.500,Z EXP PSYCHOL,24,0,0,0,3,1,2,0,4,2,0,12
30,1.053,BRIT J PSYCHOL,22,0,0,2,0,2,2,3,1,2,0,10
31,0.500,CAN J EXP PSYCHOL,22,0,1,0,2,2,3,2,0,2,2,8
32,1.500,BIOL PSYCHOL,21,0,0,0,1,2,1,1,3,0,0,13
33,1.360,PSYCHOL RES-PSYCH FO,21,0,1,3,0,0,0,2,4,2,0,9
34,2.460,J CONSUM RES,20,0,0,1,1,1,2,1,3,0,0,11
35,0.473,PSICOTHEMA,20,0,1,0,1,0,4,0,3,1,0,10
36,,REV NEUROPSYCHOL,20,0,0,2,2,1,2,1,1,0,1,10
37,1.267,ACTA PSYCHOL,19,0,2,2,1,1,0,2,3,1,0,7
38,2.702,NEUROPSYCHOLOGY,19,0,2,1,5,2,1,0,2,2,0,4
39,0.238,ANN PSYCHOL,17,0,0,0,1,0,1,3,1,3,0,8
40,,LECT NOTES ARTIF INT,17,0,2,1,0,0,1,1,0,4,0,8
41,3.106,PSYCHOPHYSIOLOGY,17,0,0,2,0,1,0,0,1,1,1,11
42,0.595,CONTEMP EDUC PSYCHOL,16,0,0,0,0,1,1,2,1,1,1,9
43,2.044,DEV PSYCHOL,16,0,0,1,1,1,0,1,0,1,1,10
44,1.193,PERCEPTION,16,0,1,2,5,1,0,1,1,0,0,5
45,0.330,SCAND J PSYCHOL,16,0,0,1,0,0,1,1,2,1,1,9
46,,BRAIN,15,0,0,0,2,1,0,0,0,0,0,12
47,,CORTEX,15,0,1,0,0,1,0,0,0,0,1,12
48,1.844,J EDUC PSYCHOL,15,0,0,2,0,0,1,1,1,1,0,9
49,1.000,J EXP PSYCHOL-APPL,15,0,2,1,1,2,0,1,1,0,0,7
50,1.200,ORGAN BEHAV HUM DEC,15,0,1,0,1,1,0,0,4,0,0,8
51,0.122,READ WRIT,14,0,0,0,0,1,1,0,1,1,0,10
52,0.295,VIS COGN,14,0,0,2,1,0,1,2,1,1,1,5
53,,VISION RES,14,0,0,0,0,0,0,4,2,0,1,7
54,0.167,Z PSYCHOL,14,0,0,0,1,1,0,1,2,1,0,8
55,14.250,BEHAV BRAIN SCI,13,0,1,1,0,0,1,0,0,0,0,10
56,,COGNITIVE BRAIN RES,13,0,0,0,1,2,0,1,1,0,0,8
57,1.962,CONSCIOUS COGN,13,0,0,2,1,1,0,1,1,1,0,6
58,,EXP AGING RES,13,0,0,0,4,0,0,1,1,0,2,5
59,0.093,PSYCHOLOGIA,13,0,0,0,1,0,1,0,2,0,0,9
60,0.630,BRAIN COGNITION,12,0,0,0,0,2,1,0,0,2,0,7
61,2.180,COGNITIVE NEUROPSYCH,12,0,0,0,2,1,0,0,0,0,2,7
62,3.352,J ABNORM PSYCHOL,11,0,0,0,2,2,0,1,1,1,0,4
63,0.519,J GEN PSYCHOL,11,0,0,0,1,1,0,1,0,0,0,8
64,1.629,COGNITIVE SCI,10,0,0,0,0,1,1,0,0,1,0,7
65,1.590,J SPEECH LANG HEAR R,10,0,0,0,0,2,1,1,1,1,0,4
66,1.065,MUSIC PERCEPT,10,0,0,2,1,0,0,0,0,0,3,4
67,,PSYCHOL LEARN MOTIV,10,0,0,1,0,2,0,0,3,0,1,3
68,,APHASIOLOGY,9,0,0,2,0,0,0,0,0,2,0,5
69,0.818,APPL PSYCHOLINGUIST,9,0,0,0,1,0,1,0,0,0,0,7
70,0.750,BEHAV RES METH INS C,9,0,0,0,0,2,1,0,0,2,0,4
71,0.962,COGNITIVE DEV,9,0,0,2,0,1,0,1,0,1,0,4
72,0.133,JPN J PSYCHOL,9,0,0,1,1,0,0,0,0,0,0,7
73,0.417,PSYCHOL BELG,9,0,1,1,0,1,1,0,1,1,0,3
74,2.768,CHILD DEV,8,0,0,0,1,2,0,0,0,0,0,5
75,1.067,J CLIN EXP NEUROPSYC,8,0,0,1,1,1,0,0,0,0,1,4
76,0.725,J PSYCHOLINGUIST RES,8,0,0,1,0,2,0,0,0,0,0,5
77,,NEUROREPORT,8,0,0,0,0,0,0,1,2,0,0,5
78,0.238,PSYCHOL REP,8,0,0,0,1,0,0,0,0,1,1,5
79,1.357,DEV REV,7,0,0,0,0,2,1,0,0,1,1,2
80,,NEUROCASE,7,0,0,0,1,0,0,0,0,2,0,4
81,,NEUROIMAGE,7,0,1,0,0,0,0,1,2,0,0,3
82,6.913,PSYCHOL BULL,7,0,0,1,0,0,0,0,0,0,1,5
83,1.000,Q J EXP PSYCHOL-B,7,0,0,0,0,2,0,0,2,0,0,3
84,0.107,ADV CONSUM RES,6,0,0,0,0,0,1,1,0,0,0,4
85,0.725,AGING NEUROPSYCHOL C,6,0,0,0,2,1,0,0,0,1,0,2
86,0.660,AUST J PSYCHOL,6,0,0,0,0,0,0,1,0,2,0,3
87,0.710,AUST PSYCHOL,6,0,0,1,0,1,1,0,1,0,0,2
88,,CEREB CORTEX,6,0,0,1,0,0,0,0,1,0,1,3
89,,CONTEMP PSYCHOL,6,0,0,0,1,0,0,3,0,0,0,2
90,1.581,DISCOURSE PROCESS,6,0,0,0,1,0,0,0,0,0,0,5
91,,FRONT BIOSCI,6,0,0,0,0,0,0,0,0,0,0,6
92,2.309,J AUTISM DEV DISORD,6,0,0,0,1,0,1,0,1,1,0,2
93,1.639,J BEHAV DECIS MAKING,6,0,0,0,1,0,1,0,0,1,0,3
94,1.102,J GERONTOL B-PSYCHOL,6,0,0,0,2,1,0,1,0,1,0,1
95,3.172,J PERS SOC PSYCHOL,6,0,1,1,0,1,0,0,0,2,0,1
96,,P NATL ACAD SCI USA,6,0,1,0,2,0,0,0,0,1,0,2
97,0.684,PSYCHOL REC,6,0,0,0,0,0,0,1,2,0,0,3
98,0.357,SPRACHE KOGNIT,6,0,0,0,0,0,0,0,0,1,0,5
99,,THERAPIE,6,0,0,1,0,1,0,0,0,0,0,4
