Cited Journal Data: ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2733,28,45,75,128,233,206,192,104,136,230,1356
2,,ALL OTHERS (203),203,2,3,5,8,12,12,6,6,11,44,94
3,1.200,ORGAN BEHAV HUM DEC,198,20,6,11,18,22,21,10,7,14,6,63
4,1.730,J APPL PSYCHOL,94,0,0,1,1,7,8,2,5,2,7,61
5,1.235,J MANAGE,81,0,1,1,1,2,6,5,6,3,5,51
6,2.460,J CONSUM RES,77,0,1,3,7,18,10,9,2,5,3,19
7,1.639,J BEHAV DECIS MAKING,71,0,0,3,4,10,2,3,4,7,6,32
8,0.808,J ORGAN BEHAV,68,0,1,4,1,2,5,2,3,1,4,45
9,0.722,J APPL SOC PSYCHOL,53,0,0,0,3,0,3,2,4,1,12,28
10,3.172,J PERS SOC PSYCHOL,53,1,1,6,6,10,4,4,2,2,0,17
11,1.267,ACTA PSYCHOL,49,3,0,4,4,2,2,4,1,6,0,23
12,6.069,PSYCHOL REV,49,0,2,3,3,13,2,10,0,2,0,14
13,0.518,APPL PSYCHOL-INT REV,45,0,1,2,4,6,2,4,0,1,3,22
14,0.294,GROUP DECIS NEGOT,44,0,0,2,4,2,7,11,0,5,0,13
15,1.733,HUM PERFORM,37,0,0,2,1,3,2,3,1,0,1,24
16,3.912,ACAD MANAGE REV,31,0,0,0,3,0,6,1,1,2,2,16
17,1.356,J VOCAT BEHAV,31,0,1,0,1,3,1,5,0,1,3,16
18,5.851,ANNU REV PSYCHOL,30,0,1,0,4,4,3,2,3,4,0,9
19,0.633,INT J CONFL MANAGE,30,0,1,1,0,1,2,4,0,1,1,19
20,1.000,J EXP PSYCHOL-APPL,29,0,3,1,3,4,1,6,0,1,0,10
21,1.011,MANAGE SCI,29,0,1,0,1,3,3,1,2,5,2,11
22,0.590,GROUP ORGAN MANAGE,28,0,0,0,1,1,1,3,1,1,0,20
23,1.093,INFORM SYST RES,28,1,1,0,0,1,3,7,0,0,2,13
24,0.532,SMALL GR RES,26,0,0,1,1,2,2,3,0,3,0,14
25,0.832,HUM RELAT,25,0,0,0,0,0,0,1,2,0,0,22
26,2.064,MIS QUART,25,0,1,0,0,0,4,3,0,4,4,9
27,0.203,J BUS PSYCHOL,24,0,0,0,0,0,0,2,3,2,1,16
28,1.733,PERS PSYCHOL,24,0,1,0,1,0,0,1,3,0,3,15
29,2.375,ACAD MANAGE J,23,0,0,1,1,1,3,4,1,0,3,9
30,1.863,COGNITION EMOTION,23,0,1,2,3,6,4,1,0,2,0,4
31,2.753,J EXP PSYCHOL LEARN,21,0,1,1,1,1,1,4,0,1,1,10
32,1.052,ORGAN SCI,21,0,0,0,0,0,2,0,0,1,1,17
33,0.363,PSYCHOL MARKET,19,0,0,1,2,4,4,0,0,0,3,5
34,1.069,EUR J SOC PSYCHOL,18,0,1,1,2,2,2,4,1,0,3,2
35,0.466,J OCCUP ORGAN PSYCH,18,0,0,0,0,0,0,2,1,0,0,15
36,0.830,LEADERSHIP QUART,18,0,0,0,0,2,1,1,3,0,0,11
37,0.929,APPL COGNITIVE PSYCH,17,0,0,0,2,0,0,0,0,3,1,11
38,1.679,J MARKETING RES,17,0,0,0,4,2,1,2,1,0,1,6
39,0.437,ACCOUNT ORG SOC,16,0,0,0,2,1,1,1,0,3,0,8
40,1.481,J EXP SOC PSYCHOL,16,0,2,0,1,3,4,1,0,0,0,5
41,0.330,SCAND J PSYCHOL,16,0,0,0,0,2,5,2,0,1,2,4
42,0.700,HUM COMMUN RES,15,0,0,0,0,1,0,0,1,1,0,12
43,0.909,PSYCHOL HEALTH,15,0,0,0,0,0,1,0,0,0,11,3
44,2.562,RES ORGAN BEHAV,15,0,1,1,1,2,1,0,1,0,0,8
45,0.630,ACCOUNT REV,14,0,0,0,1,1,0,1,2,1,0,8
46,1.629,COGNITIVE SCI,14,0,0,0,0,1,2,0,0,1,0,10
47,3.278,NORTHWEST U LAW REV,14,0,0,0,0,2,0,0,1,0,1,10
48,0.862,POLIT PSYCHOL,14,0,0,0,1,4,2,0,0,1,0,6
49,0.395,INT J SELECT ASSESS,13,0,0,0,0,0,0,0,1,0,0,12
50,0.317,NEGOTIATION J,12,1,1,1,0,1,0,2,0,2,1,3
51,6.913,PSYCHOL BULL,12,0,0,0,0,5,3,1,0,1,0,2
52,0.455,SYST DYNAM REV,12,0,0,0,0,0,2,1,0,0,0,9
53,0.473,PSICOTHEMA,11,0,0,0,0,2,0,2,1,0,1,5
