Cited Journal Data: PSYCHOLOGICAL REVIEW,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,11062,42,163,274,323,493,432,386,491,578,432,7448
2,,ALL OTHERS (520),520,0,1,8,9,11,12,9,23,25,11,411
3,2.753,J EXP PSYCHOL LEARN,360,1,9,11,14,14,12,19,15,21,17,227
4,6.069,PSYCHOL REV,306,12,11,8,20,14,17,23,8,8,20,165
5,2.247,J EXP PSYCHOL HUMAN,272,0,1,7,11,30,10,6,12,4,5,186
6,3.172,J PERS SOC PSYCHOL,236,3,10,2,1,20,20,10,6,3,12,149
7,1.507,MEM COGNITION,214,0,1,10,10,13,9,13,15,14,6,123
8,1.580,PSYCHON B REV,197,0,10,12,11,5,12,5,8,11,3,120
9,14.250,BEHAV BRAIN SCI,194,2,7,8,8,15,10,14,15,10,3,102
10,1.252,PERCEPT PSYCHOPHYS,158,1,1,4,5,3,7,5,3,1,4,124
11,2.638,J MEM LANG,153,0,6,7,15,11,3,15,10,11,7,68
12,6.913,PSYCHOL BULL,122,2,2,7,1,5,7,7,7,7,4,73
13,,VISION RES,122,0,0,1,4,3,8,4,0,5,5,92
14,2.622,COGNITION,97,0,4,0,2,10,6,11,3,8,9,44
15,3.636,J EXP PSYCHOL GEN,95,0,0,0,3,1,2,4,8,3,6,68
16,1.452,Q J EXP PSYCHOL-A,94,0,1,4,4,2,1,4,4,6,2,66
17,1.473,BRAIN LANG,77,5,0,2,6,7,1,3,3,9,8,33
18,2.565,PSYCHOL SCI,76,0,3,4,6,0,2,2,5,2,1,51
19,6.857,AM PSYCHOL,75,1,1,0,1,1,3,3,0,1,3,61
20,3.463,COGNITIVE PSYCHOL,71,1,2,1,7,2,0,2,2,6,2,46
21,2.778,NEUROPSYCHOLOGIA,65,0,2,2,10,2,5,0,5,4,2,33
22,1.069,EUR J SOC PSYCHOL,64,0,1,1,0,6,4,0,2,4,3,43
23,1.200,ORGAN BEHAV HUM DEC,63,0,5,0,3,3,4,7,4,1,1,35
