Cited Journal Data: PSYCHONOMIC BULLETIN ,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1136,15,77,149,213,244,231,205,0,0,0,2
2,,ALL OTHERS (86),86,0,7,11,9,24,11,24,0,0,0,0
3,2.247,J EXP PSYCHOL HUMAN,73,1,6,10,6,6,26,18,0,0,0,0
4,2.753,J EXP PSYCHOL LEARN,71,0,4,10,13,15,19,10,0,0,0,0
5,1.580,PSYCHON B REV,70,11,9,9,16,9,12,4,0,0,0,0
6,1.507,MEM COGNITION,63,1,4,5,12,18,13,10,0,0,0,0
7,1.252,PERCEPT PSYCHOPHYS,57,1,2,11,7,9,8,19,0,0,0,0
8,2.638,J MEM LANG,35,0,4,5,11,7,5,3,0,0,0,0
9,3.636,J EXP PSYCHOL GEN,32,0,2,1,21,3,2,3,0,0,0,0
10,,VISION RES,30,0,1,4,2,2,6,15,0,0,0,0
11,0.295,VIS COGN,27,0,1,5,16,0,1,4,0,0,0,0
12,,TRENDS COGN SCI,22,0,1,6,5,3,3,3,0,0,0,1
13,6.069,PSYCHOL REV,20,0,2,0,7,4,6,1,0,0,0,0
14,2.565,PSYCHOL SCI,18,0,2,6,0,4,1,5,0,0,0,0
15,1.452,Q J EXP PSYCHOL-A,17,0,1,0,3,3,7,3,0,0,0,0
16,14.250,BEHAV BRAIN SCI,15,0,2,3,2,3,4,1,0,0,0,0
17,1.193,PERCEPTION,15,0,0,3,2,1,6,3,0,0,0,0
18,1.360,PSYCHOL RES-PSYCH FO,15,0,1,1,0,2,8,2,0,0,0,1
19,2.622,COGNITION,14,0,1,3,2,0,6,2,0,0,0,0
20,5.115,J COGNITIVE NEUROSCI,14,0,0,3,1,6,3,1,0,0,0,0
21,2.308,PSYCHOL AGING,14,0,1,2,2,6,2,1,0,0,0,0
22,0.906,BEHAV PROCESS,13,0,0,4,3,1,1,4,0,0,0,0
23,2.778,NEUROPSYCHOLOGIA,13,0,0,1,0,7,4,1,0,0,0,0
24,1.522,MEMORY,11,0,3,0,1,4,2,1,0,0,0,0
25,5.851,ANNU REV PSYCHOL,10,0,0,2,3,2,0,3,0,0,0,0
26,0.286,AM J PSYCHOL,9,0,0,0,3,4,1,1,0,0,0,0
27,1.156,LEARN MOTIV,9,0,0,2,2,1,0,4,0,0,0,0
28,1.267,ACTA PSYCHOL,8,0,1,0,1,4,0,2,0,0,0,0
29,0.452,EUR J COGN PSYCHOL,8,0,0,2,2,0,4,0,0,0,0,0
30,1.056,J MATH PSYCHOL,8,0,1,0,4,2,1,0,0,0,0,0
31,3.352,J ABNORM PSYCHOL,7,0,0,1,3,1,1,1,0,0,0,0
32,1.000,J EXP PSYCHOL-APPL,7,0,1,1,2,0,2,1,0,0,0,0
33,1.194,PSYCHOBIOLOGY,7,0,0,1,0,5,0,1,0,0,0,0
34,1.105,ANIM LEARN BEHAV,6,0,0,3,0,0,0,3,0,0,0,0
35,0.500,BEHAV ANALYST,6,0,0,0,6,0,0,0,0,0,0,0
36,1.500,BIOL PSYCHOL,6,0,0,1,0,3,2,0,0,0,0,0
37,1.053,BRIT J PSYCHOL,6,0,0,2,1,2,0,1,0,0,0,0
38,,COGNITIVE BRAIN RES,6,0,1,0,0,3,2,0,0,0,0,0
39,3.463,COGNITIVE PSYCHOL,6,0,1,2,1,1,0,1,0,0,0,0
40,1.430,CURR DIR PSYCHOL SCI,6,0,2,0,3,1,0,0,0,0,0,0
41,1.276,J EXP CHILD PSYCHOL,6,0,0,0,2,1,3,0,0,0,0,0
42,,NEUROIMAGE,6,0,0,1,1,4,0,0,0,0,0,0
43,,NEUROREPORT,6,0,0,2,0,2,1,1,0,0,0,0
44,0.473,PSICOTHEMA,6,0,1,0,3,1,1,0,0,0,0,0
45,6.913,PSYCHOL BULL,6,0,0,1,1,1,2,1,0,0,0,0
46,,BEHAV NEUROSCI,5,0,0,0,0,1,0,4,0,0,0,0
47,2.768,CHILD DEV,5,0,0,0,1,3,1,0,0,0,0,0
48,1.747,EXP CLIN PSYCHOPHARM,5,0,1,1,0,2,1,0,0,0,0,0
49,,LATERALITY,5,0,2,0,1,2,0,0,0,0,0,0
50,0.920,PERS INDIV DIFFER,5,0,0,1,1,3,0,0,0,0,0,0
51,2.190,PSYCHOL METHODS,5,0,0,1,2,1,0,1,0,0,0,0
52,,REV NEUROPSYCHOL,5,0,0,0,0,5,0,0,0,0,0,0
53,0.500,Z EXP PSYCHOL,5,0,0,1,1,2,1,0,0,0,0,0
54,0.929,APPL COGNITIVE PSYCH,4,0,1,0,0,1,0,2,0,0,0,0
55,0.630,BRAIN COGNITION,4,0,1,1,0,1,0,1,0,0,0,0
56,1.473,BRAIN LANG,4,0,0,2,0,0,1,1,0,0,0,0
57,2.044,DEV PSYCHOL,4,0,0,1,0,1,1,1,0,0,0,0
58,3.172,J PERS SOC PSYCHOL,4,0,1,0,1,0,0,2,0,0,0,0
59,0.488,J THEOR SOC BEHAV,4,0,0,0,1,1,1,1,0,0,0,0
60,2.702,NEUROPSYCHOLOGY,4,0,0,0,2,0,2,0,0,0,0,0
61,,P NATL ACAD SCI USA,4,0,0,0,0,2,2,0,0,0,0,0
62,,PERSP NEURAL COMP,4,0,0,0,1,0,1,2,0,0,0,0
63,0.684,PSYCHOL REC,4,0,0,0,1,2,0,1,0,0,0,0
64,3.106,PSYCHOPHYSIOLOGY,4,0,0,0,0,0,3,1,0,0,0,0
65,1.000,Q J EXP PSYCHOL-B,4,0,0,1,0,2,0,1,0,0,0,0
66,0.330,SCAND J PSYCHOL,4,0,0,0,0,2,0,2,0,0,0,0
67,,ANIM BEHAV,3,0,0,2,1,0,0,0,0,0,0,0
68,,BEHAV BRAIN RES,3,0,0,0,0,0,0,3,0,0,0,0
69,,BRAIN,3,0,0,0,0,1,2,0,0,0,0,0
