Citing Journal Data: COGNITIVE SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1457,5,25,72,91,105,98,76,99,80,62,744
2, ,ALL OTHERS (496),496,2,9,21,22,33,26,24,26,25,29,279
3,1.477,J COMP PSYCHOL,64,0,3,4,4,5,8,10,6,3,2,19
4, ,ANIM BEHAV,40,0,0,5,2,2,5,2,3,3,1,17
5,1.629,COGNITIVE SCI,35,0,0,0,3,0,0,4,3,0,1,24
6,6.069,PSYCHOL REV,34,0,0,0,1,1,2,1,0,3,0,26
7,14.250,BEHAV BRAIN SCI,33,0,0,9,1,0,0,0,5,0,2,16
8,2.768,CHILD DEV,23,0,1,2,1,0,0,0,6,1,2,10
9, ,SCIENCE,21,0,0,1,0,0,1,0,0,0,0,19
10,2.622,COGNITION,20,0,0,1,3,1,3,0,0,2,1,9
11,3.463,COGNITIVE PSYCHOL,19,0,0,1,0,3,0,0,0,0,0,15
12,3.172,J PERS SOC PSYCHOL,18,0,0,0,1,1,0,0,1,0,1,14
13, ,PRIMATES,18,0,0,0,0,0,2,3,1,0,0,12
14, ,AM J PRIMATOL,15,0,0,0,1,1,1,1,4,1,0,6
15,2.753,J EXP PSYCHOL LEARN,14,0,0,1,2,0,2,1,0,2,1,5
16,1.200,ORGAN BEHAV HUM DEC,14,0,0,0,0,1,2,0,0,1,0,10
17,1.365,J EXP PSYCHOL ANIM B,13,0,0,0,1,2,1,1,0,1,1,6
18, ,NATURE,13,0,0,0,1,1,0,1,0,0,0,10
19, ,MACHIAVELLIAN INTELL,12,0,0,0,5,0,0,0,0,0,0,7
20, ,BEHAVIOUR,11,0,0,1,0,0,3,0,1,2,0,4
21,2.044,DEV PSYCHOL,11,0,0,0,0,0,3,0,1,0,1,6
22, ,J EXP PSYCHOL ANIMA,11,0,0,0,1,0,0,0,0,0,1,9
23,0.286,AM J PSYCHOL,10,0,1,1,0,0,0,1,1,0,0,6
24,1.507,MEM COGNITION,10,0,0,0,0,1,1,0,0,1,0,7
25,3.000,MONOGR SOC RES CHILD,10,0,0,1,0,4,1,0,3,0,0,1
26, ,REACHING THOUGHT MIN,10,0,0,0,0,10,0,0,0,0,0,0
27,2.565,PSYCHOL SCI,9,0,0,1,2,1,0,1,1,2,1,0
28,6.857,AM PSYCHOL,8,0,0,0,2,1,0,0,1,0,0,4
29,1.053,BRIT J PSYCHOL,8,0,0,0,2,0,1,0,0,2,0,3
30,2.675,J HUM EVOL,8,0,0,0,0,0,2,1,0,2,0,3
31,2.638,J MEM LANG,8,0,0,1,0,1,0,0,2,1,0,3
32, ,LANGUAGE INTELLIGENC,8,0,0,0,0,0,0,0,0,0,0,8
33, ,SOC LEARN ANIM,8,0,0,0,0,8,0,0,0,0,0,0
34, ,ARTIF INTELL,7,0,0,1,1,1,0,0,0,0,1,3
35,0.906,BEHAV PROCESS,7,0,0,3,2,1,0,1,0,0,0,0
36, ,HUM COMPUT INTER,7,0,0,0,1,0,0,0,0,1,0,5
