Citing Journal Data: JOURNAL OF COMPUTER ASSISTED LEARNING,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,828,3,35,67,69,73,62,67,48,68,43,293
2, ,ALL OTHERS (374),374,0,21,25,38,29,22,29,21,31,19,139
3,1.629,COGNITIVE SCI,17,0,0,1,1,0,0,1,1,0,0,13
4,0.300,COMPUT EDUC,16,0,0,0,1,5,2,2,0,2,1,3
5, ,INT J MAN MACH STUD,16,0,0,0,0,0,0,0,3,0,4,9
6,1.844,J EDUC PSYCHOL,16,0,0,2,0,0,1,4,0,1,1,7
7,0.696,COGNITION INSTRUCT,14,0,0,0,0,0,1,3,0,1,3,6
8,0.212,J COMPUT ASSIST LEAR,13,0,3,1,4,1,3,1,0,0,0,0
9, ,ACTIVE LEARN,11,0,0,1,4,1,3,2,0,0,0,0
10, ,COMPUTERS EDUC,11,0,0,0,0,1,2,0,0,0,0,8
11, ,J COMPUT ASSIST TOMO,9,0,1,1,0,0,0,0,2,2,0,3
12, ,HYPERTEXT COGNITION,8,0,0,0,0,8,0,0,0,0,0,0
13,0.086,J EDUC COMPUT RES,8,0,0,0,0,1,4,1,0,2,0,0
14,1.000,J LEARN DISABIL-US,8,0,0,0,1,1,1,1,2,1,0,1
15, ,LECT NOTES COMPUT SC,8,0,0,0,0,0,0,0,0,4,1,3
16, ,COMMUN ACM,7,0,0,0,0,1,1,1,1,0,0,3
17,0.177,ETR&D-EDUC TECH RES,7,0,1,0,0,0,2,0,2,2,0,0
18, ,HUM COMPUT INTER,6,0,0,0,0,0,0,0,0,0,2,4
19,0.954,HUM FACTORS,6,0,0,1,0,0,0,0,1,0,0,4
20,1.226,J AM SOC INFORM SCI,6,1,1,3,0,0,0,0,1,0,0,0
21,0.536,LEARN INSTR,6,0,1,1,0,0,0,0,0,1,1,2
22, ,MINIMALISM NURNBERG,6,0,0,6,0,0,0,0,0,0,0,0
23, ,NURNBERG FUNNEL DESI,6,0,0,0,0,0,0,0,0,0,0,6
24, ,COGNITIVE ASPECTS EL,5,0,0,0,0,5,0,0,0,0,0,0
25, ,COMPUT NETW,5,0,0,0,0,2,1,2,0,0,0,0
26,2.753,J EXP PSYCHOL LEARN,5,0,0,0,0,0,0,0,0,0,1,4
27,6.069,PSYCHOL REV,5,0,0,0,0,0,1,0,0,1,0,3
28, ,AM J PHYS,4,0,0,0,0,0,0,0,0,1,1,2
