Citing Journal Data: JOURNAL OF PSYCHOLINGUISTIC RESEARCH,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1090,47,83,85,52,77,65,70,65,37,35,474
2, ,ALL OTHERS (360),360,10,28,17,18,27,19,14,11,12,12,192
3,2.638,J MEM LANG,82,3,6,12,9,4,3,9,7,4,5,20
4,2.622,COGNITION,51,4,6,5,1,3,3,1,3,1,0,24
5,0.725,J PSYCHOLINGUIST RES,50,4,7,5,2,5,10,7,3,0,0,7
6,0.875,LANG COGNITIVE PROC,39,1,3,3,4,4,1,2,8,0,3,10
7,2.753,J EXP PSYCHOL LEARN,34,0,0,7,1,4,4,3,6,3,0,6
8,6.069,PSYCHOL REV,30,0,0,1,2,0,0,10,1,6,0,10
9,3.463,COGNITIVE PSYCHOL,20,0,0,0,0,0,0,0,0,2,3,15
10,3.636,J EXP PSYCHOL GEN,15,0,0,0,0,0,3,0,1,0,1,10
11, ,J VERB LEARN VERB BE,14,0,0,0,0,0,0,0,0,0,0,14
12, ,ATTENTION PERFORM,12,0,0,0,0,1,0,0,0,0,0,11
13,1.452,Q J EXP PSYCHOL-A,12,0,2,0,2,3,0,0,0,2,0,3
14, ,13 ANN CUNY C HUM SE,10,10,0,0,0,0,0,0,0,0,0,0
15,1.477,LINGUIST INQ,10,0,3,0,1,0,0,0,1,0,0,5
16,3.371,LANGUAGE,9,0,0,0,0,2,0,0,1,1,1,4
17, ,METAPHOR THOUGHT,9,0,0,0,0,0,0,0,3,0,0,6
18, ,BRAIN,8,0,0,0,0,0,0,0,1,1,0,6
19,1.473,BRAIN LANG,8,0,0,0,1,2,2,1,0,0,0,2
20,1.629,COGNITIVE SCI,8,0,0,0,0,3,1,0,1,0,0,3
21,5.115,J COGNITIVE NEUROSCI,8,0,3,2,0,0,0,2,1,0,0,0
22,1.507,MEM COGNITION,8,0,0,1,0,2,0,0,0,0,0,5
23, ,REANALYSIS SENTENCE,8,0,0,8,0,0,0,0,0,0,0,0
24,2.247,J EXP PSYCHOL HUMAN,7,0,1,0,0,0,0,0,0,1,0,5
