Citing Journal Data: JOURNAL OF RESEARCH IN SCIENCE TEACHING,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2750,17,97,204,153,215,163,189,179,138,147,1248
2, ,ALL OTHERS (949),949,2,32,51,50,73,65,60,61,45,54,456
3,0.992,J RES SCI TEACH,316,6,20,37,17,23,11,23,22,22,16,119
4,0.918,SCI EDUC,149,0,6,12,16,9,8,3,10,8,9,68
5,0.705,INT J SCI EDUC,68,1,3,10,8,9,4,6,4,0,5,18
6, ,EDUC RESEARCHER,31,0,2,3,1,2,3,4,0,0,1,15
7, ,ANNU M AM EDUC RES,29,1,5,6,4,1,2,2,1,2,1,4
8, ,NAT SCI ED STAND,27,0,0,0,0,27,0,0,0,0,0,0
9, ,AM J PHYS,21,0,0,1,3,0,2,3,0,2,0,10
10, ,AM EDUC RES J,20,0,0,2,0,2,4,3,1,0,0,8
11,2.088,REV EDUC RES,20,0,0,4,0,1,1,2,2,2,2,6
12, ,RES SCI ED,19,0,1,8,2,0,1,1,0,2,1,3
13, ,ANN M NAT ASS RES SC,18,0,2,8,1,0,2,1,3,1,0,0
14, ,SCI TEACH,17,0,0,0,2,0,0,0,0,0,1,14
15, ,SCHOOL SCI MATH,16,0,0,1,0,1,1,0,0,0,1,12
16, ,STUD SCI ED,16,0,0,0,2,2,0,1,3,0,0,8
17,1.844,J EDUC PSYCHOL,15,0,0,1,0,2,0,0,0,0,0,12
18,1.286,J LEARN SCI,15,1,1,2,2,2,0,1,2,4,0,0
19, ,INT HANDB SCI ED,14,0,0,14,0,0,0,0,0,0,0,0
20, ,J SCI TEACHER ED,14,0,2,2,3,2,3,0,0,0,1,1
21,0.317,TEACH TEACH EDUC,14,0,2,1,0,1,0,0,0,0,3,7
22, ,BENCHM SCI LIT,13,0,0,0,0,0,0,0,13,0,0,0
23, ,HDB RES SCI TEACHING,12,0,0,0,0,0,0,12,0,0,0,0
24,0.519,PHI DELTA KAPPAN,12,0,0,1,1,0,4,0,2,0,2,2
25, ,SCI ALL AM,12,0,0,0,0,0,0,0,0,0,0,12
26, ,SCIENCE,12,0,1,0,0,0,0,1,1,1,0,8
27,0.696,COGNITION INSTRUCT,11,0,0,1,1,0,1,1,0,2,2,3
28,3.517,EDUC PSYCHOL,11,0,0,1,0,1,1,0,4,0,0,4
29,0.963,HARVARD EDUC REV,11,0,0,0,0,0,0,0,0,2,0,9
30,2.044,DEV PSYCHOL,10,0,1,0,0,1,0,0,0,0,0,8
31, ,STRUCT SCI REVOLU,10,0,0,0,0,2,0,0,0,0,0,8
32, ,AM BIOL TEACH,9,1,0,0,0,0,1,0,1,1,0,5
33,0.857,EDUC EVAL POLICY AN,9,0,1,0,2,0,0,0,3,0,0,3
34, ,HANDB RES TEACHING,9,0,0,0,0,0,0,0,0,0,0,9
35,0.438,J CURRICULUM STUD,9,0,0,0,0,0,0,2,0,0,2,5
36,0.255,EDUC LEADERSHIP,8,0,0,0,1,0,0,2,0,0,1,4
37, ,EUR J SCI EDUC,8,0,0,0,0,0,0,0,0,0,0,8
38,0.651,INSTR SCI,8,1,0,1,1,2,0,1,0,0,0,2
39, ,J CLASSROOM INTERACT,8,0,0,0,7,0,0,0,0,1,0,0
40,6.069,PSYCHOL REV,8,0,0,0,0,1,0,1,0,0,0,6
41, ,RES SCI TECHNOLOGICA,8,0,0,0,1,3,0,1,0,1,0,2
42,0.537,BRIT J EDUC PSYCHOL,7,0,0,1,0,0,0,0,0,0,0,6
43,1.629,COGNITIVE SCI,7,0,0,0,0,1,0,1,0,0,0,5
44, ,GEN CHEM,7,0,0,1,1,1,0,0,0,0,0,4
45, ,J CHEM EDUC,7,0,1,0,1,0,1,2,0,0,0,2
46,0.394,J TEACH EDUC,7,0,0,0,0,3,0,0,0,0,0,4
47,2.778,NEUROPSYCHOLOGIA,7,0,0,0,0,2,0,0,0,1,0,4
48,0.308,PERCEPT MOTOR SKILL,7,0,0,0,0,0,0,0,0,0,0,7
49, ,SCHOOL SCI REV,7,0,0,0,2,1,0,0,0,0,0,4
50, ,ADV RES TEACHING,6,0,0,0,0,0,0,0,0,0,6,0
51, ,EXPLORING TEACHERS T,6,0,0,0,0,0,0,0,0,0,0,6
52, ,GROWTH LOGICAL THINK,6,0,0,0,0,0,0,0,0,0,0,6
53, ,NAT SCI SCI ED RA,6,0,0,6,0,0,0,0,0,0,0,0
54, ,RESTRUCTURING SCI ED,6,0,0,0,0,0,0,0,0,0,0,6
55, ,SCI TEACHING ROLE HI,6,0,0,0,0,0,0,6,0,0,0,0
56, ,AUST SCI TEACHERS J,5,0,1,0,0,1,0,1,0,0,0,2
57, ,BRIT EDUC RES J,5,0,0,0,0,0,0,0,2,0,0,3
58, ,CHEMISTRY,5,0,1,0,0,0,0,0,1,0,0,3
59, ,CONSTRUCTIVISM EDUC,5,0,0,0,0,0,5,0,0,0,0,0
60,0.426,EDUC POLICY,5,1,1,2,0,1,0,0,0,0,0,0
61, ,INTERACTIVE LEARN,5,0,0,0,0,1,0,4,0,0,0,0
62, ,INTERCHANGE,5,0,0,0,0,0,0,0,3,0,0,2
63, ,J SCI ED TECHNOLOGY,5,1,0,1,1,0,0,1,1,0,0,0
64,0.536,LEARN INSTR,5,0,1,0,2,0,0,1,0,0,1,0
65, ,PHYS TEACH,5,0,0,0,1,0,0,0,0,2,0,2
