Citing Journal Data: LEARNING AND INSTRUCTION,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1027,4,38,36,64,82,68,77,96,69,60,433
2, ,ALL OTHERS (457),457,4,11,14,35,37,30,30,39,30,23,204
3,0.536,LEARN INSTR,42,0,4,0,8,5,5,4,1,9,5,1
4,0.806,TESOL QUART,22,0,0,0,0,1,3,2,4,0,3,9
5,1.844,J EDUC PSYCHOL,18,0,0,1,1,1,0,0,3,1,1,10
6,0.258,EUR J PSYCHOL EDUC,15,0,0,1,1,0,0,3,1,3,0,6
7,0.340,LANG LEARN,15,0,0,0,2,1,2,0,0,0,2,8
8,3.517,EDUC PSYCHOL,12,0,0,0,1,0,5,2,2,0,1,1
9,0.537,BRIT J EDUC PSYCHOL,9,0,1,1,0,0,0,0,1,0,1,5
10,0.696,COGNITION INSTRUCT,9,0,0,0,1,1,2,0,2,1,0,2
11,0.667,EDUC RES,9,0,0,0,1,0,0,3,1,0,0,4
12, ,EDUC RESEARCHER,9,0,1,0,3,0,0,2,0,0,2,1
13, ,INT J ED RES,9,0,1,0,0,0,0,0,2,1,0,5
14, ,J 2 LANGUAGE WRITING,9,0,0,1,1,0,1,4,1,1,0,0
15, ,2 LANGUAGE WRITING R,8,0,0,0,0,0,0,0,0,0,0,8
16,1.629,COGNITIVE SCI,8,0,0,0,1,1,0,1,2,1,0,2
17, ,COLL COMPOS COMMUN,8,0,0,0,0,0,1,0,0,0,0,7
18,2.044,DEV PSYCHOL,8,0,0,0,0,0,1,0,0,0,1,6
19,0.294,J RES MATH EDUC,8,0,0,1,1,1,2,0,1,0,1,1
20,0.992,J RES SCI TEACH,8,0,2,0,1,0,0,0,0,0,1,4
21, ,LEARN COMPUTERS A,8,0,8,0,0,0,0,0,0,0,0,0
22,2.088,REV EDUC RES,8,0,0,0,0,0,1,1,1,0,1,4
23,2.768,CHILD DEV,7,0,0,0,0,0,0,0,1,1,1,4
24,0.705,INT J SCI EDUC,7,0,1,0,0,0,2,1,0,1,1,1
25,6.069,PSYCHOL REV,7,0,0,0,0,0,1,0,0,0,0,6
26,1.080,RES TEACH ENGL,7,0,0,0,0,0,0,0,0,1,0,6
27, ,ANNU M AM EDUC RES,6,0,1,2,0,0,0,0,0,2,0,1
28, ,DYNAMIC ASSESSMENT I,6,0,0,0,0,0,0,0,0,0,0,6
29, ,EVALUATION FORMATIVE,6,0,0,0,0,0,0,0,5,0,0,1
30,0.651,INSTR SCI,6,0,4,0,0,0,0,0,0,1,0,1
31,1.286,J LEARN SCI,6,0,0,1,2,0,1,0,0,2,0,0
32,1.478,AM J MENT RETARD,5,0,0,0,0,0,0,0,0,0,0,5
33,6.857,AM PSYCHOL,5,0,0,0,0,0,0,0,0,0,2,3
34, ,COGNITIVE PROCESS,5,0,0,0,0,0,0,0,0,0,0,5
35,0.300,COMPUT EDUC,5,0,0,1,0,1,0,0,2,0,1,0
36, ,GROUP INTERACTIVE LE,5,0,0,0,0,0,0,5,0,0,0,0
37, ,HANDB EDUC PSYCHOL,5,0,0,0,0,5,0,0,0,0,0,0
38,3.172,J PERS SOC PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
39,0.918,SCI EDUC,5,0,0,0,0,0,1,0,0,1,0,3
40, ,SCI WRITING,5,0,0,0,0,5,0,0,0,0,0,0
41,0.886,SOC DEV,5,0,0,0,0,0,0,0,5,0,0,0
42, ,THEORIES MODELS METH,5,0,0,0,0,5,0,0,0,0,0,0
43, ,ABORIGINAL CHILD SCH,4,0,0,0,0,0,0,0,1,0,1,2
44, ,ADV INSTRUCT PSYCHOL,4,0,0,0,0,0,0,0,2,0,0,2
45, ,AM EDUC RES J,4,0,0,0,0,1,0,1,0,0,0,2
46, ,ANN REV APPL LINGUIS,4,0,0,4,0,0,0,0,0,0,0,0
47,2.940,J CHILD PSYCHOL PSYC,4,0,0,0,1,0,0,0,0,0,0,3
48,1.276,J EXP CHILD PSYCHOL,4,0,0,0,0,0,0,1,0,0,0,3
49,0.750,MERRILL PALMER QUART,4,0,0,0,0,0,0,0,0,0,1,3
50,0.918,MOD LANG J,4,0,0,0,0,0,0,0,0,4,0,0
51, ,PSYCHOL WRITTEN COMP,4,0,0,0,0,0,0,0,0,0,0,4
52,0.536,WRIT COMMUN,4,0,0,0,0,0,0,0,1,0,0,3
53,0.692,APPL LINGUIST,3,0,0,0,0,0,0,0,0,0,0,3
54,0.054,AUST J EDUC,3,0,0,0,0,0,0,0,1,0,1,1
55,3.463,COGNITIVE PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
56, ,COMPUTERS CLASSROOMS,3,0,0,0,0,0,0,0,3,0,0,0
57, ,COMPUTERS COLLABORAT,3,0,0,0,0,0,0,3,0,0,0,0
58, ,COMPUTERS TALK PRIMA,3,0,0,0,2,0,0,0,0,0,0,1
59,1.000,EDUC PSYCHOL REV,3,0,0,0,0,1,1,0,1,0,0,0
60,0.426,EDUC STUD,3,0,0,0,0,0,0,0,0,0,0,3
61,1.069,EUR J SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
62, ,HDB RES MATH TEACHIN,3,0,0,0,0,0,0,0,0,3,0,0
63,0.259,HIGH EDUC,3,0,0,0,0,1,1,0,0,0,0,1
64,0.575,INT J PSYCHOL,3,0,0,0,0,0,0,3,0,0,0,0
65, ,J COMPUT ASSIST TOMO,3,0,0,0,0,0,0,0,1,0,1,1
66, ,MIND SOC DEV HIGHER,3,0,0,0,0,0,0,0,0,0,0,3
67, ,PHYS EDUC,3,0,0,0,0,0,0,0,1,0,0,2
68,6.913,PSYCHOL BULL,3,0,0,0,0,0,0,1,0,0,0,2
69,2.486,READ RES QUART,3,0,0,0,0,1,1,0,0,0,1,0
70, ,SOC DEV INTELLECT,3,0,0,0,0,0,0,0,0,0,0,3
71, ,TEXT PROD SCI,3,0,0,0,0,0,0,0,0,0,0,3
72, ,TEXTPRODUKTION INTER,3,0,0,0,0,0,0,0,0,0,0,3
73, ,THESIS MARBURG U,3,0,0,0,0,0,0,2,0,1,0,0
74, ,THESIS OPEN U MILTON,3,0,0,0,0,1,0,0,2,0,0,0
75, ,WRITING LANGUAGES AN,3,0,0,0,0,0,0,0,0,0,0,3
76, ,5 EARLI C AIX EN PRO,2,0,0,0,0,0,0,0,2,0,0,0
77, ,76 U GOT DEP ED,2,0,0,0,0,0,0,0,0,0,0,2
78, ,ADV RES TEACHING,2,0,0,2,0,0,0,0,0,0,0,0
79, ,AM ED RES ASS C MONT,2,0,2,0,0,0,0,0,0,0,0,0
80,5.851,ANNU REV PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
81, ,APPRENTICESHIP THINK,2,0,0,0,0,0,0,0,0,0,0,2
82, ,ASSESSMENT AUTHENTIC,2,0,0,0,0,0,0,0,0,2,0,0
83, ,ASSURER REUSSITE APP,2,0,0,0,0,0,0,0,0,0,0,2
84,0.413,BEHAV INFORM TECHNOL,2,0,0,0,0,0,1,0,0,0,1,0
85, ,BRIT EDUC RES J,2,0,0,0,0,0,1,0,0,0,0,1
86,0.800,BRIT J DEV PSYCHOL,2,0,0,0,0,0,0,0,0,2,0,0
87, ,CHILDRENS MATH THINK,2,0,0,0,0,0,1,0,0,0,0,1
88, ,COLLABORATIVE LEARNI,2,0,2,0,0,0,0,0,0,0,0,0
89, ,COMMON KNOWLEDGE DEV,2,0,0,0,0,0,0,0,0,0,0,2
90, ,CONTEXT CONSCIOUSNES,2,0,0,0,0,2,0,0,0,0,0,0
91, ,CULT COMMUNICATIO,2,0,0,0,0,0,0,0,0,0,0,2
92, ,EDUC STUD MATH,2,0,0,0,0,0,1,1,0,0,0,0
93,0.865,ELEM SCHOOL J,2,0,0,0,0,0,0,0,1,0,0,1
94, ,ENGLISCH ZWEITSPRACH,2,0,0,0,0,0,0,0,0,0,0,2
95, ,EVERYDAY COGNITION I,2,0,0,0,0,0,0,0,0,0,0,2
96, ,EXPLORING SPEAKING W,2,0,0,0,0,0,0,0,0,0,0,2
97,0.963,HARVARD EDUC REV,2,0,0,0,0,0,0,0,0,0,0,2
98, ,HIGHER EDUC RES DEV,2,0,0,0,2,0,0,0,0,0,0,0
99, ,HUM-COMPUT INTERACT,2,0,0,0,0,0,0,2,0,0,0,0
100, ,INNOVATIONS LEARN,2,0,0,0,0,2,0,0,0,0,0,0
101, ,INT ENCY DEV INSTRUC,2,0,0,0,0,2,0,0,0,0,0,0
102, ,INT HANDB SCI ED 1,2,0,0,2,0,0,0,0,0,0,0,0
103,0.333,INT J HUM-COMPUT ST,2,0,0,0,0,0,1,1,0,0,0,0
104, ,INT J MAN MACH STUD,2,0,0,0,0,0,0,0,0,1,0,1
105, ,INT PERSPECTIVES DES,2,0,0,0,0,2,0,0,0,0,0,0
106, ,LANGUAGE TEACHING,2,0,0,0,0,0,0,0,0,0,1,1
107,0.459,LEARN INDIVID DIFFER,2,0,0,0,0,0,0,0,1,0,0,1
108, ,LEEDS CTR STUDIES SC,2,0,0,1,0,1,0,0,0,0,0,0
109,1.507,MEM COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
110, ,PAC LANGUAGES ED,2,0,0,0,0,2,0,0,0,0,0,0
111, ,PERSPECTIVES DEV MEM,2,0,0,0,0,0,0,0,0,0,0,2
112, ,PERSPECTIVES LANGUAG,2,0,0,0,0,0,0,0,0,0,0,2
113, ,PERSPECTIVES SOCIALL,2,0,0,0,0,0,0,0,0,0,2,0
114, ,POWERS LITERACY GENR,2,0,0,0,0,0,0,0,2,0,0,0
115, ,PRACT WORK SCI W,2,0,0,2,0,0,0,0,0,0,0,0
116, ,REALISTIC MATH ED PR,2,0,0,0,0,0,0,0,0,0,2,0
117,2.421,REV RES EDUC,2,0,0,1,0,0,0,1,0,0,0,0
118, ,SAVOIRS THEORIQUES S,2,0,0,0,0,2,0,0,0,0,0,0
119, ,SCHREIBPROZESS TEXTS,2,0,0,0,0,0,0,0,2,0,0,0
120, ,SPRACHE VERSTEHEN VE,2,0,0,0,0,0,2,0,0,0,0,0
121, ,STUD 2ND LANGUAGE,2,0,0,0,0,0,0,1,0,0,0,1
122, ,STUDY 2 LANGUAGE ACQ,2,0,0,0,0,0,0,2,0,0,0,0
123, ,SUCCESS UNDERSTANDIN,2,0,0,0,0,0,0,0,0,0,0,2
124, ,TEXT,2,0,0,0,0,0,0,0,0,0,0,2
125, ,VOICES MIND SOCIOCUL,2,0,0,0,0,0,0,0,0,0,2,0
126, ,VYGOTSKY ED INSTRUCT,2,0,0,0,0,0,0,0,0,0,0,2
127, ,WRITING REAL TIME MO,2,0,0,0,0,0,0,0,0,0,0,2
