Citing Journal Data: MEMORY ,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,4159,43,112,239,251,319,294,258,250,206,187,2000
2, ,ALL OTHERS (651),651,18,19,33,25,40,43,35,32,29,30,347
3,2.753,J EXP PSYCHOL LEARN,459,4,15,26,25,40,44,32,47,32,29,165
4,1.507,MEM COGNITION,323,8,9,28,25,24,20,21,15,16,10,147
5,6.069,PSYCHOL REV,214,0,1,10,10,13,9,13,15,14,6,123
6,2.638,J MEM LANG,168,1,4,14,14,13,13,13,13,8,15,60
7,2.247,J EXP PSYCHOL HUMAN,127,1,3,6,10,8,8,9,4,8,6,64
8, ,J VERB LEARN VERB BE,113,0,0,0,0,0,0,0,0,0,0,113
9,3.463,COGNITIVE PSYCHOL,97,0,0,2,7,2,2,7,6,1,2,68
10,3.636,J EXP PSYCHOL GEN,93,1,6,4,6,8,11,7,6,6,3,35
11,2.622,COGNITION,80,0,3,4,6,4,8,4,4,14,2,31
12,1.452,Q J EXP PSYCHOL-A,68,1,5,7,4,10,6,5,4,5,2,19
13,1.580,PSYCHON B REV,63,1,4,5,12,18,13,10,0,0,0,0
14,1.252,PERCEPT PSYCHOPHYS,52,1,3,3,2,6,6,4,2,1,3,21
15,2.565,PSYCHOL SCI,52,1,4,4,8,4,11,6,2,6,5,1
16, ,J EXP PSYCHOL,51,0,0,0,0,0,0,0,0,0,0,51
17,6.913,PSYCHOL BULL,48,0,0,4,3,5,3,3,8,1,3,18
18,3.172,J PERS SOC PSYCHOL,37,0,0,0,0,3,0,2,1,2,0,29
19,2.308,PSYCHOL AGING,37,0,1,4,3,5,3,4,3,4,3,7
20,1.629,COGNITIVE SCI,36,0,2,3,1,0,1,3,2,1,2,21
21,1.053,BRIT J PSYCHOL,33,0,0,2,1,1,2,1,1,0,1,24
22, ,J EXP PSYCHOL GENER,33,0,0,0,0,0,0,0,0,0,0,33
23, ,ATTENTION PERFORM,30,0,1,0,0,1,0,3,2,0,0,23
24, ,PSYCHOL LEARN MOTIV,30,0,0,0,1,5,1,1,3,0,2,17
25,0.286,AM J PSYCHOL,27,0,0,0,0,3,2,0,2,1,0,19
26,1.844,J EDUC PSYCHOL,25,0,1,0,1,3,3,3,2,4,2,6
27,2.778,NEUROPSYCHOLOGIA,24,0,1,2,6,0,5,1,0,1,0,8
28,0.750,BEHAV RES METH INS C,23,0,0,1,2,1,0,1,7,0,0,11
29,1.581,DISCOURSE PROCESS,21,1,1,5,2,0,0,0,5,1,1,5
30,1.276,J EXP CHILD PSYCHOL,21,0,0,1,4,1,0,1,1,1,0,12
31, ,SCIENCE,20,0,1,2,1,0,0,0,0,1,0,15
32,1.267,ACTA PSYCHOL,19,0,0,3,0,4,0,0,0,0,2,10
33,6.857,AM PSYCHOL,19,0,0,0,4,2,0,4,0,0,0,9
34,5.115,J COGNITIVE NEUROSCI,19,0,1,0,1,1,1,3,3,5,3,1
35, ,B PSYCHONOMIC SOC,18,0,0,0,0,0,0,0,3,1,3,11
36,1.360,PSYCHOL RES-PSYCH FO,18,0,1,0,0,0,7,5,0,0,1,4
37,2.486,READ RES QUART,18,0,0,0,0,0,0,0,2,1,1,14
38,14.250,BEHAV BRAIN SCI,17,0,3,4,1,3,0,4,0,0,0,2
39, ,CAN J PSYCHOL,17,0,0,0,0,0,1,0,0,3,2,11
40, ,COMPUT ANAL P,17,0,0,0,0,0,0,0,0,0,0,17
41,1.473,BRAIN LANG,15,1,0,1,2,1,0,0,1,1,0,8
42,1.193,PERCEPTION,15,0,1,1,3,1,1,0,0,0,2,6
43,0.725,J PSYCHOLINGUIST RES,14,0,2,0,0,2,1,1,2,0,2,4
44, ,Q J EXP PSYCHOL,14,0,0,0,0,0,0,0,1,0,0,13
45, ,NATURE,13,0,1,3,2,1,1,1,0,0,0,4
46,0.500,CAN J EXP PSYCHOL,12,0,1,0,0,8,0,1,2,0,0,0
47,5.851,ANNU REV PSYCHOL,11,0,0,1,2,2,1,0,1,1,1,2
48, ,BRAIN,11,0,2,0,1,2,0,1,0,0,1,4
49,0.452,EUR J COGN PSYCHOL,11,0,0,1,1,2,4,2,0,0,1,0
50,1.481,J EXP SOC PSYCHOL,11,0,0,0,1,1,1,0,1,0,0,7
51,0.875,LANG COGNITIVE PROC,11,0,0,0,1,1,1,0,0,1,0,7
52, ,LANG COMPREH ACQUIS,11,0,0,0,0,0,0,0,0,0,0,11
53,2.702,NEUROPSYCHOLOGY,11,1,0,2,1,3,2,1,1,0,0,0
54,2.180,COGNITIVE NEUROPSYCH,10,0,3,0,3,2,0,0,0,0,0,2
55,2.044,DEV PSYCHOL,10,0,0,0,1,0,0,1,0,1,2,5
56, ,J ACOUST SOC AM,10,0,0,1,2,1,1,0,0,0,0,5
57,1.522,MEMORY,10,0,0,2,3,2,0,2,1,0,0,0
58, ,PSYCHOL LEARN MOT,10,0,1,1,1,1,0,0,0,0,0,6
59,0.929,APPL COGNITIVE PSYCH,9,0,0,1,0,3,2,0,0,1,0,2
60,1.962,CONSCIOUS COGN,9,0,0,4,2,2,1,0,0,0,0,0
61, ,ELECTROEN CLIN NEURO,9,0,0,0,0,0,0,0,2,0,0,7
62, ,HDB NEUROPSYCHOLOGY,9,0,0,0,0,0,3,0,6,0,0,0
63, ,THINKING REASONING,9,1,0,1,1,0,6,0,0,0,0,0
64,0.630,BRAIN COGNITION,8,0,0,0,0,1,1,1,1,1,2,1
65, ,PHILOS T ROY SOC B,8,0,0,0,1,1,0,0,0,2,0,4
66,1.000,Q J EXP PSYCHOL-B,8,1,0,1,0,1,0,1,0,1,0,3
67, ,CHEM SENSES,7,0,0,1,0,1,1,0,1,1,0,2
68, ,J GERONTOL,7,0,0,0,0,0,0,0,0,1,0,6
69,1.102,J GERONTOL B-PSYCHOL,7,0,0,1,0,1,2,1,1,0,1,0
70,1.065,MUSIC PERCEPT,7,0,0,1,1,0,1,0,0,1,1,2
71, ,P 19 ANN C COGN SCI,7,0,0,0,7,0,0,0,0,0,0,0
72, ,PRACT ASPECTS ME,7,0,0,0,0,0,0,0,0,0,0,7
73, ,ANN NY ACAD SCI,6,0,0,1,0,0,1,0,0,0,0,4
74,1.357,DEV REV,6,0,0,0,1,0,0,0,1,1,0,3
75,3.352,J ABNORM PSYCHOL,6,0,0,0,1,1,0,0,0,0,0,4
76,1.365,J EXP PSYCHOL ANIM B,6,0,0,2,1,0,0,0,0,0,1,2
77,1.056,J MATH PSYCHOL,6,0,0,0,0,0,0,1,1,0,1,3
78,1.200,ORGAN BEHAV HUM DEC,6,0,0,0,0,1,2,0,0,1,1,1
79,3.106,PSYCHOPHYSIOLOGY,6,0,0,0,1,0,0,0,0,0,0,5
80, ,STRATEGIES DISCOURSE,6,0,0,0,0,0,0,0,0,0,0,6
81,1.105,ANIM LEARN BEHAV,5,0,1,0,0,0,1,0,0,0,1,2
82, ,BASIC PROCESSES READ,5,0,0,0,0,0,0,0,0,0,5,0
83,2.768,CHILD DEV,5,0,0,1,0,0,0,1,0,0,0,3
84,1.430,CURR DIR PSYCHOL SCI,5,0,1,1,1,0,0,0,0,2,0,0
85, ,DEDUCTION,5,0,0,0,0,0,0,0,0,0,5,0
86, ,EUR J COGNITIVE,5,0,0,0,0,0,0,0,0,0,1,4
87, ,EXP AGING RES,5,0,0,0,0,0,1,0,2,0,0,2
88, ,FREQUENCY ANAL ENGLI,5,0,0,0,0,0,0,0,0,0,0,5
89, ,HDB PSYCHOLINGUISTIC,5,0,0,0,0,0,0,5,0,0,0,0
90, ,INHIBITORY PROCESSES,5,0,0,0,0,0,0,5,0,0,0,0
91, ,MENT LOGIC,5,0,0,5,0,0,0,0,0,0,0,0
92, ,NEUROREPORT,5,0,0,1,2,1,1,0,0,0,0,0
93, ,OPER RES,5,0,0,0,0,0,0,0,0,0,0,5
94,0.308,PERCEPT MOTOR SKILL,5,0,0,0,1,0,0,0,0,0,0,4
95,1.205,PERS SOC PSYCHOL B,5,0,0,0,0,1,0,0,0,1,0,3
96, ,RESOLVING SEMANTIC A,5,0,0,0,0,0,0,0,0,0,0,5
97, ,RIGHT HEMISPHERE LAN,5,0,0,5,0,0,0,0,0,0,0,0
98,0.330,SCAND J PSYCHOL,5,0,0,0,0,0,0,0,1,0,0,4
99, ,THEORIES MEMORY,5,0,0,1,0,0,0,0,4,0,0,0
100, ,VARIETIES MEMORY CON,5,0,0,0,0,0,0,0,0,0,0,5
101, ,WORKING MEMORY,5,0,0,0,0,0,0,0,0,1,0,4
102,0.766,AM ANN DEAF,4,0,0,0,0,0,0,0,0,0,0,4
103,0.818,APPL PSYCHOLINGUIST,4,0,0,1,1,0,0,0,0,0,0,2
104, ,CELEX LEXICAL DATABA,4,0,0,0,0,0,0,0,4,0,0,0
105, ,COGNITIVE NEUROSCIEN,4,0,0,0,2,0,2,0,0,0,0,0
106, ,COGNITIVE PROCESS,4,0,0,0,0,0,0,0,0,0,0,4
107,0.595,CONTEMP EDUC PSYCHOL,4,0,0,1,0,1,0,0,2,0,0,0
108, ,HUM REASONING PSYC,4,0,0,0,0,0,0,0,4,0,0,0
109, ,INFORM PROCESSI,4,0,0,0,0,0,0,0,0,0,0,4
110, ,INTERFERENCE INHIBIT,4,0,0,0,0,0,4,0,0,0,0,0
111, ,J EXP PSYCHOLOGY HU,4,0,0,0,0,0,0,0,0,0,0,4
112,0.519,J GEN PSYCHOL,4,0,2,0,0,0,0,0,0,0,0,2
113, ,J NEUROSCI,4,0,0,1,1,0,0,1,0,1,0,0
114, ,J READING BEHAV,4,0,0,0,0,0,0,2,0,1,0,1
115, ,JUDGMENT UNCERTAINTY,4,0,0,0,0,0,0,0,0,0,0,4
116,1.156,LEARN MOTIV,4,0,0,0,0,1,0,2,0,0,1,0
117, ,MEMORY CONTRIB,4,0,0,0,0,0,0,0,0,0,0,4
118, ,METACOGNITION KNOWIN,4,0,0,0,0,0,0,4,0,0,0,0
119,0.385,MIND LANG,4,0,0,0,0,3,1,0,0,0,0,0
120, ,P 18 ANN C COGN SCI,4,0,0,0,0,4,0,0,0,0,0,0
121, ,P NATL ACAD SCI USA,4,0,0,1,1,1,1,0,0,0,0,0
122, ,PROSPECTIVE MEMORY T,4,0,0,0,0,4,0,0,0,0,0,0
123, ,PSYCHON SCI,4,0,0,0,0,0,0,0,0,0,0,4
124, ,RELEVANCE COMMUNICAT,4,0,0,0,0,0,3,0,0,0,0,1
125, ,VISION RES,4,0,0,0,1,0,1,0,0,0,0,2
126, ,37 ANN M PSYCH SOC C,3,0,0,0,0,3,0,0,0,0,0,0
127, ,ADV PSYCHOPHYSIOLOGY,3,0,0,0,0,0,0,0,0,0,0,3
128, ,AGING COGNITION,3,0,0,0,0,0,2,1,0,0,0,0
129,0.710,AM ANTHROPOL,3,0,0,0,0,0,0,0,0,0,0,3
130, ,AM EDUC RES J,3,0,0,0,0,0,0,0,0,0,0,3
131, ,ANN M PSYCH SOC CHIC,3,0,0,0,0,3,0,0,0,0,0,0
132, ,ANNU REV NEUROSCI,3,0,0,0,0,0,0,0,3,0,0,0
133, ,AUTOBIOGRAPHICAL MEM,3,0,0,1,0,1,0,0,0,0,0,1
134,0.260,CAH PSYCHOL COGN,3,0,0,0,1,1,1,0,0,0,0,0
135, ,CLASSICAL CONDITION,3,0,0,0,0,0,0,0,0,0,0,3
136, ,COMMUN ACM,3,0,0,0,0,0,0,1,0,0,0,2
137, ,COMPREHENSION PROCES,3,0,0,0,0,0,0,0,0,0,0,3
138, ,CORTEX,3,0,0,0,0,0,0,2,0,0,0,1
139, ,DECISION MAKING ACTI,3,0,0,0,0,0,0,0,3,0,0,0
140, ,DETECTION THEOR USE,3,0,0,0,0,0,0,0,0,0,3,0
141, ,DISCOURSE COMPREHENS,3,0,0,0,0,0,3,0,0,0,0,0
142,1.069,EUR J SOC PSYCHOL,3,0,0,0,0,0,1,0,0,2,0,0
143, ,EYE MOVEMENTS READIN,3,0,0,0,0,0,0,0,0,0,0,3
144, ,HDB AGING COGNITION,3,0,0,0,0,0,0,0,0,3,0,0
145, ,HDB PERCEPTION HUMAN,3,0,0,0,0,0,0,0,0,0,0,3
146, ,IMPLICIT IMPLICIT LE,3,0,0,0,3,0,0,0,0,0,0,0
147, ,IMPLICIT MEMORY META,3,0,0,0,0,3,0,0,0,0,0,0
148, ,IN PRESS J MEMORY LA,3,0,0,0,0,0,0,0,0,0,0,3
