Citing Journal Data: TRAVAIL HUMAIN,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,653,3,23,42,34,54,40,32,52,33,47,293
2, ,ALL OTHERS (387),387,1,17,32,24,38,24,17,35,18,22,159
3,0.212,TRAV HUMAIN,15,1,1,0,1,0,4,3,0,1,2,2
4, ,INT J MAN MACH STUD,11,0,0,0,0,0,0,0,2,1,4,4
5,1.844,J EDUC PSYCHOL,11,0,0,0,0,2,0,1,0,1,1,6
6, ,HUM COMPUT INTER,10,0,0,0,0,0,0,1,2,1,5,1
7,0.954,HUM FACTORS,10,0,0,0,0,0,3,0,0,0,0,7
8,1.629,COGNITIVE SCI,7,0,0,0,0,0,1,0,0,0,0,6
9, ,COMPUT SUPPORTED C,7,0,0,0,0,0,0,2,2,2,0,1
10,1.730,J APPL PSYCHOL,7,0,0,0,0,0,0,2,0,0,0,5
11, ,SEMIOTICA,7,0,0,0,0,0,0,0,0,0,0,7
12, ,BRIT J SOC CLIN PSYC,6,0,0,0,0,0,0,0,0,0,0,6
13, ,COLLECTIVE REMEMBERI,5,0,0,0,0,0,0,0,0,0,0,5
14,1.581,DISCOURSE PROCESS,5,0,0,0,0,0,1,0,1,1,0,2
15, ,HUM FACTORS INTELL,5,0,0,5,0,0,0,0,0,0,0,0
16,3.172,J PERS SOC PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
17, ,PSYCHOLOGIE,5,0,0,0,0,1,0,1,0,0,1,2
18,3.912,ACAD MANAGE REV,4,0,0,0,0,0,0,0,0,0,2,2
19,0.929,APPL COGNITIVE PSYCH,4,0,1,0,0,0,1,0,0,0,0,2
20,2.638,J MEM LANG,4,0,0,0,0,0,0,0,1,1,0,2
21, ,PSYCHOL ILLUSTRATION,4,0,0,0,0,0,0,0,0,0,0,4
22, ,THESIS U VALENCIENNE,4,0,0,0,0,1,0,0,0,0,1,2
23,0.238,ANN PSYCHOL,3,0,0,0,1,1,1,0,0,0,0,0
24,0.642,APPL ERGON,3,0,0,0,0,0,0,0,0,0,1,2
25,0.696,COGNITION INSTRUCT,3,0,0,0,0,0,1,1,1,0,0,0
26, ,J COMPUT-BASE INSTR,3,0,0,0,0,0,0,0,0,0,1,2
27,1.481,J EXP SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
28, ,J VERB LEARN VERB BE,3,0,0,0,0,0,0,0,0,0,0,3
29, ,KNOWL ACQUIS,3,0,0,0,0,0,0,0,0,0,0,3
30, ,LANGAGE COGNITION SP,3,0,0,0,3,0,0,0,0,0,0,0
31, ,P INT C COMP HUM INT,3,0,0,0,0,2,1,0,0,0,0,0
32,6.913,PSYCHOL BULL,3,0,0,0,0,1,0,0,0,0,0,2
33, ,AI MAG,2,0,0,1,0,0,0,0,0,0,0,1
34, ,ARCH NEUROL-CHICAGO,2,0,0,0,0,0,0,1,0,0,0,1
35, ,ARTIF INTELL,2,0,0,0,0,0,0,0,0,0,0,2
36,14.250,BEHAV BRAIN SCI,2,0,0,0,0,0,0,0,2,0,0,0
37,0.260,CAH PSYCHOL COGN,2,0,0,0,2,0,0,0,0,0,0,0
38,2.622,COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
39, ,COLLECTIVE MEMORY,2,0,0,0,0,0,0,0,0,2,0,0
40, ,COMMUN ACM,2,1,0,0,0,0,0,0,0,0,1,0
41, ,COMPREHENSION GRAPHI,2,0,0,0,0,0,0,0,2,0,0,0
42, ,CONDUITE SYSTEMES RI,2,0,0,0,0,2,0,0,0,0,0,0
43, ,CONT SCI NATURAL EXP,2,0,0,0,0,0,0,0,0,0,0,2
44, ,COOP 96 P 2 INT C DE,2,0,0,0,0,2,0,0,0,0,0,0
45, ,DES RATIONALE CON,2,0,0,0,0,2,0,0,0,0,0,0
46, ,ECTJ-EDUC COMMUN TEC,2,0,0,0,0,0,0,0,0,0,0,2
47, ,EMPIRICAL STUD PR,2,0,0,0,0,0,0,0,0,0,1,1
48, ,ERGONOMICS SAFETY IN,2,0,0,0,2,0,0,0,0,0,0,0
49, ,ESCALADE,2,0,0,0,0,0,0,0,0,0,0,2
50,1.069,EUR J SOC PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
51, ,FDN COGNITIVE GRAMMA,2,0,0,0,0,0,0,0,0,0,1,1
52, ,GROUPWARE COMPUT S,2,0,0,0,0,0,0,0,0,0,0,2
53, ,HOMMES TECHNOLOGIES,2,0,0,0,0,0,2,0,0,0,0,0
54, ,HUM-COMPUT INTERACT,2,0,1,0,0,0,1,0,0,0,0,0
55, ,IEEE VEH NAV INF SYS,2,0,0,0,0,0,0,0,1,0,1,0
56, ,INFORM PROCESSI,2,0,0,0,0,0,0,0,0,0,0,2
57,0.651,INSTR SCI,2,0,0,0,0,0,0,0,0,0,0,2
58,0.333,INT J HUM-COMPUT ST,2,0,1,0,0,1,0,0,0,0,0,0
59, ,INTELLECTICA,2,0,0,0,0,0,0,0,0,2,0,0
60, ,INTELLIGENT MULTIMED,2,0,0,0,1,0,0,0,1,0,0,0
61, ,J NAVIGATION,2,0,0,0,0,0,0,0,0,0,0,2
62,0.639,LANG SPEECH,2,0,0,0,0,0,0,1,0,0,1,0
63, ,LEARN MULTIPLE RE,2,0,0,2,0,0,0,0,0,0,0,0
64,1.507,MEM COGNITION,2,0,0,0,0,0,0,1,0,0,0,1
