Cited Journal Data: Frontiers in Psychology,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,6105,644,1846,1528,1661,371,0,11,0,6,1,37
2,,ALL OTHERS (421),421,23,148,111,90,31,0,1,0,0,1,16
3,2.560,FRONT PSYCHOL,1297,413,471,190,176,46,0,0,0,1,0,0
4,,FRONT HUM NEUROSCI,360,42,119,77,103,18,0,1,0,0,0,0
5,,PLOS ONE,290,25,95,79,67,23,0,0,0,0,0,1
6,,NEUROIMAGE,140,1,19,37,80,3,0,0,0,0,0,0
7,3.302,NEUROPSYCHOLOGIA,122,5,36,35,38,8,0,0,0,0,0,0
8,,FRONT NEUROSCI-SWITZ,81,10,18,15,33,5,0,0,0,0,0,0
9,3.479,COGNITION,75,3,23,25,19,4,0,0,0,0,0,1
10,,J NEUROSCI,72,2,19,15,34,2,0,0,0,0,0,0
11,,NEUROSCI BIOBEHAV R,68,4,11,22,27,3,0,1,0,0,0,0
12,,J VISION,67,2,18,22,16,9,0,0,0,0,0,0
13,,FRONT BEHAV NEUROSCI,63,9,20,10,23,1,0,0,0,0,0,0
14,,PHILOS T R SOC B,59,1,26,11,12,9,0,0,0,0,0,0
15,2.248,ACTA PSYCHOL,55,0,20,14,16,5,0,0,0,0,0,0
16,3.358,J EXP PSYCHOL HUMAN,53,4,16,13,18,2,0,0,0,0,0,0
17,,HEARING RES,50,0,17,9,22,2,0,0,0,0,0,0
18,4.085,J COGNITIVE NEUROSCI,49,1,5,11,30,2,0,0,0,0,0,0
19,,COGN AFFECT BEHAV NE,45,0,11,11,22,1,0,0,0,0,0,0
20,,P NATL ACAD SCI USA,45,4,15,8,13,4,0,1,0,0,0,0
21,,CORTEX,43,1,12,14,14,1,0,1,0,0,0,0
22,,EXP BRAIN RES,43,3,14,18,7,1,0,0,0,0,0,0
23,5.929,J EXP PSYCHOL GEN,43,0,12,12,15,4,0,0,0,0,0,0
24,3.369,PSYCHON B REV,41,0,10,18,9,4,0,0,0,0,0,0
25,2.127,Q J EXP PSYCHOL,41,1,14,7,16,3,0,0,0,0,0,0
26,2.168,ATTEN PERCEPT PSYCHO,40,1,7,14,9,9,0,0,0,0,0,0
27,3.215,BRAIN LANG,40,3,4,10,21,2,0,0,0,0,0,0
28,1.941,CONSCIOUS COGN,37,0,11,14,8,3,0,1,0,0,0,0
29,,HUM BRAIN MAPP,36,1,6,12,15,1,0,0,0,0,0,1
30,2.863,PSYCHOL RES-PSYCH FO,33,0,2,11,15,5,0,0,0,0,0,0
31,,VISION RES,32,1,13,6,7,5,0,0,0,0,0,0
32,,ANN NY ACAD SCI,31,1,15,12,2,1,0,0,0,0,0,0
33,2.862,J EXP PSYCHOL LEARN,30,0,6,13,10,1,0,0,0,0,0,0
34,,CEREB CORTEX,28,0,0,6,19,3,0,0,0,0,0,0
35,4.237,J MEM LANG,28,0,7,11,8,2,0,0,0,0,0,0
36,3.063,TOP COGN SCI,28,0,2,5,15,6,0,0,0,0,0,0
37,,ANIM COGN,27,0,7,15,4,1,0,0,0,0,0,0
38,2.477,BRAIN COGNITION,26,1,12,4,5,4,0,0,0,0,0,0
39,1.431,J COGN PSYCHOL,26,5,3,2,15,0,0,0,0,0,0,1
40,21.965,TRENDS COGN SCI,26,1,8,5,11,1,0,0,0,0,0,0
