Cited Journal Data: JOURNAL OF CHILD LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,2146,19,59,88,94,114,72,122,70,53,85,1370
2,,ALL OTHERS (111),111,1,3,3,3,8,4,6,5,2,4,72
3,1.598,J CHILD LANG,235,0,4,9,13,13,12,13,7,7,8,149
4,1.400,FIRST LANG,102,0,1,3,3,2,1,3,2,1,6,80
5,2.560,FRONT PSYCHOL,84,5,1,3,5,8,1,3,0,3,1,54
6,2.070,J SPEECH LANG HEAR R,78,2,5,2,3,3,3,10,2,4,3,41
7,1.512,APPL PSYCHOLINGUIST,62,0,0,1,5,3,1,1,2,5,5,39
8,4.141,DEV PSYCHOL,49,2,1,1,1,2,2,4,1,0,2,33
9,0.575,CLIN LINGUIST PHONET,46,1,1,3,5,1,0,1,0,1,2,31
10,0.647,LINGUA,45,0,0,2,1,1,1,8,2,0,1,29
11,2.009,BILING-LANG COGN,41,0,0,3,4,3,1,4,1,0,1,24
12,,PLOS ONE,38,1,0,0,0,2,0,2,3,0,1,29
13,4.061,CHILD DEV,37,0,1,2,0,4,3,2,0,1,2,22
14,1.671,EARLY CHILD RES Q,37,0,1,3,2,4,0,1,2,0,1,23
15,4.237,J MEM LANG,37,1,3,1,1,3,2,2,1,1,2,20
16,1.594,AM J SPEECH-LANG PAT,36,1,0,0,3,0,3,1,0,2,1,25
17,2.549,J EXP CHILD PSYCHOL,33,0,1,2,2,1,3,1,0,0,2,21
18,1.349,INFANT BEHAV DEV,28,0,0,1,1,1,1,0,0,0,2,22
19,1.083,LANG ACQUIS,28,0,1,3,0,0,4,1,0,4,1,14
20,0.633,J PSYCHOLINGUIST RES,27,0,1,0,0,1,2,2,1,0,2,18
21,3.808,DEVELOPMENTAL SCI,26,0,1,1,2,1,2,3,1,0,2,13
22,1.887,RES DEV DISABIL,26,0,7,0,0,1,0,1,2,1,1,13
23,,SHS WEB CONF,25,0,0,0,2,0,0,2,0,0,1,20
24,3.665,J AUTISM DEV DISORD,24,0,1,1,2,0,1,1,3,0,1,14
25,1.634,READ WRIT,24,0,1,1,1,0,2,0,2,1,0,16
26,,PHILOS T R SOC B,23,0,2,1,2,0,0,0,3,0,3,12
27,5.064,COGNITIVE PSYCHOL,21,0,1,1,0,2,0,0,0,2,1,14
28,1.449,J COMMUN DISORD,21,0,2,1,2,2,0,3,1,0,0,10
29,2.446,COGNITIVE SCI,19,0,1,2,2,1,0,0,1,1,1,10
30,1.612,LANG LEARN,19,0,2,0,0,1,0,0,0,1,1,14
31,,LANG COGN NEUROSCI,18,0,0,0,2,2,1,2,0,0,1,10
32,1.025,CHILD LANG TEACH THE,17,0,1,0,0,0,0,3,0,1,1,11
33,3.479,COGNITION,17,0,2,2,1,2,0,1,0,1,0,8
34,1.316,INT J BEHAV DEV,17,0,0,5,1,2,0,0,0,0,0,9
35,,EARLY HUM DEV,16,0,0,1,1,2,0,1,7,2,0,2
36,1.683,J COGN DEV,16,0,0,1,0,0,3,0,0,0,1,11
37,2.212,RES AUTISM SPECT DIS,15,0,0,2,1,0,2,0,2,0,1,7
38,1.175,COGN LINGUIST,13,1,0,0,1,2,0,1,0,0,1,7
39,0.765,EARLY EDUC DEV,13,0,1,1,0,0,1,2,0,0,0,8
40,0.239,LANG LINGUIST-TAIWAN,13,0,0,0,0,0,0,0,0,0,0,13
41,1.435,LANG SPEECH HEAR SER,13,0,0,1,1,1,0,0,0,0,2,8
42,1.239,INT J SPEECH-LANG PA,12,0,0,0,0,1,0,1,0,0,1,9
43,0.147,PSICOL-REFLEX CRIT,12,0,0,1,0,0,1,0,0,1,0,9
44,1.869,WIRES COGN SCI,12,0,1,2,2,1,2,0,1,1,0,2
45,2.588,AUGMENT ALTERN COMM,11,0,0,1,1,3,1,1,1,0,0,3
46,2.241,DEV NEUROPSYCHOL,11,1,0,1,1,1,0,1,1,0,0,5
47,,EAR HEARING,11,0,0,0,0,1,0,2,0,0,0,8
48,2.086,INFANCY,11,0,0,0,0,0,0,0,1,0,0,10
49,1.625,J DEAF STUD DEAF EDU,11,0,0,0,1,1,0,1,0,0,1,7
50,,HNO,10,0,1,0,0,1,2,1,0,0,0,5
51,1.625,TOP LANG DISORD,10,0,0,1,2,0,0,2,0,1,1,3
52,2.928,BEHAV RES METHODS,9,0,1,0,0,0,1,0,0,0,0,7
53,2.172,COGNITIVE DEV,9,0,0,0,0,2,0,0,0,0,0,7
54,,COMPUT SPEECH LANG,9,0,1,0,0,0,1,0,0,0,0,7
55,,DEV PSYCHOBIOL,9,0,0,1,0,3,0,0,0,0,0,5
56,1.471,INT J LANG COMM DIS,9,0,1,1,0,1,0,0,0,0,0,6
57,0.296,IRAL-INT REV APPL LI,9,0,0,0,0,0,0,1,0,0,0,8
58,0.826,LANG SCI,9,0,0,1,0,1,0,0,0,0,0,7
59,,INTERDISC EVOL RES,8,0,0,0,0,0,0,0,0,0,0,8
60,,J ACOUST SOC AM,8,0,1,0,0,0,0,0,0,0,0,7
61,0.364,NORD J LINGUIST,8,0,0,0,0,0,0,4,0,2,0,2
62,1.505,SOC DEV,8,0,0,2,0,0,0,0,0,0,1,5
63,3.264,CHILD DEV PERSPECT,7,0,0,0,1,0,1,1,0,0,2,2
64,,ACTA PAEDIATR,6,0,1,2,1,0,0,1,1,0,0,0
65,0.790,EUR J PSYCHOL EDUC,6,0,0,0,0,0,0,1,0,0,0,5
66,2.129,J DEV BEHAV PEDIATR,6,0,0,0,0,0,0,0,0,0,1,5
67,0.317,J FR LANG STUD,6,0,0,0,0,0,0,1,1,0,0,4
68,0.831,J PRAGMATICS,6,0,0,0,0,1,0,1,0,0,0,4
69,,NAT COMMUN,6,0,0,0,0,0,0,1,0,0,0,5
70,3.369,PSYCHON B REV,6,0,0,0,0,2,0,0,0,0,1,3
71,2.127,Q J EXP PSYCHOL,6,0,1,0,0,0,0,2,0,0,0,3
72,2.941,SCI STUD READ,6,0,0,0,0,0,0,1,0,0,1,4
73,1.368,SECOND LANG RES,6,0,0,1,0,1,1,0,0,1,0,2
74,0.504,AN PSICOL-SPAIN,5,0,0,0,0,0,0,1,0,0,1,3
75,3.639,AUTISM,5,0,0,0,0,2,0,0,0,0,0,3
76,4.330,AUTISM RES,5,0,0,0,0,1,1,0,0,0,0,3
77,,CLEFT PALATE-CRAN J,5,0,0,0,2,0,0,1,0,0,0,2
78,,FRONT HUM NEUROSCI,5,0,0,0,0,0,0,0,0,0,0,5
79,1.905,HUM COMMUN RES,5,0,0,2,0,0,0,0,0,0,0,3
