Cited Journal Data: JOURNAL OF PHONETICS,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,1926,14,42,113,132,102,75,75,83,100,46,1144
2,,ALL OTHERS (99),99,1,3,7,6,10,4,4,4,2,1,57
3,1.598,J PHONETICS,388,3,16,26,29,26,22,15,23,11,12,205
4,,J ACOUST SOC AM,124,0,1,15,4,4,5,6,5,2,1,81
5,2.070,J SPEECH LANG HEAR R,85,0,2,3,6,3,3,2,5,1,4,56
6,2.560,FRONT PSYCHOL,75,1,2,6,10,5,5,6,2,7,0,31
7,,SPEECH COMMUN,72,0,1,1,1,4,5,8,5,1,2,44
8,0.647,LINGUA,56,1,0,0,1,4,2,0,0,13,2,33
9,1.040,LANG SPEECH,52,0,0,1,1,1,0,3,3,6,1,36
10,1.556,STUD SECOND LANG ACQ,43,0,0,2,1,0,0,2,5,2,1,30
11,,PHILOS T R SOC B,41,1,2,6,0,5,2,1,6,0,0,18
12,0.515,J INT PHON ASSOC,39,1,0,2,0,1,0,1,1,0,4,29
13,,PLOS ONE,35,0,1,4,1,4,2,2,1,2,1,17
14,0.520,PHONETICA,34,0,2,3,3,1,1,1,0,1,0,22
15,,LANG COGN NEUROSCI,28,0,0,0,0,1,0,2,0,4,1,20
16,3.358,J EXP PSYCHOL HUMAN,27,0,1,0,1,1,2,0,1,0,0,21
17,2.009,BILING-LANG COGN,24,0,0,2,2,1,2,2,0,3,1,11
18,1.598,J CHILD LANG,23,0,1,0,0,0,1,0,2,2,0,17
19,,J VOICE,20,0,0,0,0,0,0,1,0,0,0,19
20,,2014 9 INT S CHIN,19,0,0,1,0,2,1,1,0,0,1,13
21,3.479,COGNITION,17,0,2,0,5,0,1,1,0,2,0,6
22,,DEV PSYCHOBIOL,17,0,0,0,12,0,1,1,0,0,0,3
23,4.237,J MEM LANG,17,0,0,5,1,2,0,0,0,2,1,6
24,,FRONT HUM NEUROSCI,16,0,0,0,0,1,0,0,0,1,1,13
25,,COMPUT SPEECH LANG,15,0,0,1,0,0,1,0,1,0,0,12
26,4.061,CHILD DEV,14,0,1,1,5,0,0,0,1,0,1,5
27,0.132,J CHINESE LINGUIST,14,1,0,0,0,3,1,0,0,1,1,7
28,2.127,Q J EXP PSYCHOL,13,0,0,1,2,0,0,1,1,2,0,6
29,1.368,SECOND LANG RES,13,0,0,0,1,0,0,2,0,2,0,8
30,0.575,CLIN LINGUIST PHONET,12,0,0,0,2,0,0,0,0,0,0,10
31,0.067,POZ STUD CONTEMP LIN,12,2,0,0,3,0,0,0,0,1,0,6
32,0.529,PROBUS,12,0,0,0,0,1,1,0,1,1,2,6
33,2.863,PSYCHOL RES-PSYCH FO,12,0,0,0,0,0,0,0,0,0,0,12
34,1.594,AM J SPEECH-LANG PAT,11,0,1,0,1,0,0,0,0,1,0,8
35,0.714,J LINGUIST,11,0,1,0,0,2,0,0,0,1,0,7
36,1.512,APPL PSYCHOLINGUIST,10,0,0,0,0,0,1,0,1,0,0,8
37,3.215,BRAIN LANG,10,0,0,0,0,1,0,1,2,0,0,6
38,,INT CONF ACOUST SPEE,10,0,0,1,0,0,0,0,0,0,0,9
39,3.302,NEUROPSYCHOLOGIA,10,0,0,0,0,0,0,1,1,1,0,7
40,1.449,J COMMUN DISORD,9,0,0,0,0,0,0,1,0,0,0,8
41,0.633,J PSYCHOLINGUIST RES,9,0,0,0,0,0,0,2,0,0,0,7
42,0.658,LANG COMMUN,9,0,0,1,2,0,0,1,0,3,0,2
43,0.826,LANG SCI,9,0,0,0,2,1,1,1,0,0,0,4
44,0.186,AM SPEECH,8,0,0,0,0,0,0,0,0,1,0,7
45,,HEARING RES,8,0,0,0,0,0,2,0,0,0,0,6
46,1.316,INT J BEHAV DEV,8,0,0,0,5,0,0,0,0,0,0,3
47,0.831,J PRAGMATICS,8,1,0,1,0,1,1,0,0,0,0,4
48,1.019,LANG TEST,8,0,0,1,0,0,0,0,0,1,0,6
49,1.884,LANGUAGE,8,0,1,0,0,2,0,0,0,0,0,5
50,,LECT NOTES ARTIF INT,8,1,1,1,0,0,0,0,0,0,0,5
51,20.771,BEHAV BRAIN SCI,7,0,0,1,0,0,1,0,0,0,0,5
52,0.588,CAN MOD LANG REV,7,0,0,1,0,0,1,0,0,1,0,4
53,0.239,LANG LINGUIST-TAIWAN,7,0,0,0,0,0,1,0,1,1,0,4
54,0.506,LINGUISTICS,7,1,0,0,2,0,0,0,0,0,0,4
55,,SHS WEB CONF,7,0,0,0,2,0,0,0,1,0,0,4
56,2.168,ATTEN PERCEPT PSYCHO,6,0,0,0,0,0,0,0,0,0,1,5
57,,BIOESSAYS,6,0,0,0,0,2,0,0,0,0,0,4
58,,BIOMED ENG ONLINE,6,0,0,1,0,2,0,0,1,0,2,0
59,,J AM ACAD AUDIOL,6,0,0,0,1,0,1,0,0,0,0,4
60,1.612,LANG LEARN,6,0,0,0,1,1,0,0,1,0,0,3
61,4.940,PSYCHOL SCI,6,0,2,1,1,0,0,0,0,0,0,2
62,,ACTA ACUST UNITED AC,5,0,0,0,0,0,0,0,1,0,0,4
63,0.579,CORPUS LINGUIST LING,5,0,0,0,2,0,0,0,0,1,0,2
64,3.808,DEVELOPMENTAL SCI,5,0,0,0,2,0,0,1,0,0,0,2
65,,EAR HEARING,5,0,0,1,0,0,0,0,0,0,0,4
66,0.375,J EAST ASIAN LINGUIS,5,0,0,0,0,1,0,0,0,0,0,4
67,0.317,J FR LANG STUD,5,0,0,0,0,0,0,1,0,0,0,4
68,,J NEUROSCI,5,0,0,0,0,0,0,0,0,0,0,5
69,0.917,J SOCIOLING,5,0,0,2,0,0,0,0,0,2,0,1
70,1.500,LANG VAR CHANGE,5,0,0,1,0,0,0,0,0,1,0,3
71,0.942,MOD LANG J,5,0,0,0,0,0,0,0,0,1,0,4
72,1.444,NEW IDEAS PSYCHOL,5,0,0,0,0,1,0,0,0,1,1,2
73,,P NATL ACAD SCI USA,5,0,0,0,0,1,0,1,0,1,0,2
74,0.708,PHONOLOGY,5,0,0,1,0,0,0,0,0,1,0,3
75,0.721,SYSTEM,5,0,0,1,0,0,0,0,1,0,0,3
76,0.158,AUST J LINGUIST,4,0,0,0,1,1,0,0,0,0,0,2
77,,B HISPANIC STUD,4,0,0,0,0,0,0,0,0,0,0,4
78,,BIOMED SIGNAL PROCES,4,0,0,1,0,1,0,0,0,0,0,2
79,1.671,EARLY CHILD RES Q,4,0,0,0,4,0,0,0,0,0,0,0
80,,HUM BRAIN MAPP,4,0,0,0,1,0,0,0,0,0,0,3
81,0.697,INT J BILINGUAL,4,0,0,0,1,0,0,0,0,1,0,2
82,,INT J PEDIATR OTORHI,4,0,0,0,0,0,0,0,0,0,0,4
83,1.073,LANG SOC,4,0,0,0,1,0,0,0,0,2,0,1
84,,LINGUISTIQUE,4,0,0,0,0,1,0,0,0,1,0,2
85,3.369,PSYCHON B REV,4,0,0,0,0,0,0,0,0,0,0,4
86,,ACTA LINGUIST HUNGAR,3,0,0,1,0,0,0,0,0,0,0,2
87,1.453,APPL LINGUIST,3,0,0,0,0,0,0,0,0,1,1,1
88,,CAN J LING/REV CAN L,3,0,0,1,0,0,0,0,0,0,0,2
89,1.000,COMPUT ASSIST LANG L,3,0,0,0,0,0,0,0,0,0,0,3
90,4.141,DEV PSYCHOL,3,0,0,0,1,0,0,0,0,0,0,2
91,0.414,ENGL TODAY,3,0,0,0,0,0,0,0,0,1,0,2
92,2.076,EXP PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
93,1.239,INT J SPEECH-LANG PA,3,0,0,0,0,0,0,1,0,1,0,1
94,4.085,J COGNITIVE NEUROSCI,3,0,0,0,0,1,0,0,0,0,0,2
95,1.891,J FLUENCY DISORD,3,0,0,2,0,0,0,0,0,0,0,1
96,,NEUROIMAGE,3,0,0,1,0,0,0,0,0,0,0,2
97,,PHYS MEDICA,3,0,0,0,0,0,1,0,0,0,1,1
98,21.965,TRENDS COGN SCI,3,0,0,0,0,1,0,0,0,0,0,2
99,1.869,WIRES COGN SCI,3,0,0,0,1,0,1,0,0,0,0,1
100,0.419,WORLD ENGLISH,3,0,0,0,0,0,0,0,0,0,1,2
101,,2014 6 INT S COMM,2,0,0,0,0,0,0,0,1,0,0,1
102,,ACOUST AUST,2,0,0,1,0,0,1,0,0,0,0,0
103,0.504,AN PSICOL-SPAIN,2,0,0,0,1,0,0,0,0,0,0,1
104,,ANIM BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
105,,APPL ACOUST,2,0,0,0,0,0,0,0,0,0,0,2
106,2.589,ARCH SEX BEHAV,2,0,0,1,0,0,0,0,0,1,0,0
107,,BRAIN RES,2,0,0,0,1,0,0,0,0,0,0,1
108,,CEREB CORTEX,2,0,0,0,0,0,0,0,0,0,0,2
109,,CLEFT PALATE-CRAN J,2,0,0,0,0,0,0,0,0,0,0,2
110,2.446,COGNITIVE SCI,2,0,0,0,0,1,0,0,0,1,0,0
111,,CORTEX,2,0,0,0,0,0,0,1,0,0,0,1
112,,CURR OPIN NEUROBIOL,2,0,0,0,0,0,1,0,0,0,0,1
113,,EURASIP J AUDIO SPEE,2,0,0,0,0,0,0,0,0,0,0,2
114,,EXP BRAIN RES,2,0,0,0,0,0,0,0,1,0,0,1
115,0.875,FOREIGN LANG ANN,2,0,0,0,0,0,0,1,0,0,0,1
116,,FORENSIC SCI INT,2,0,0,1,0,0,0,0,1,0,0,0
117,,FRONT BEHAV NEUROSCI,2,0,0,0,0,0,0,0,0,0,0,2
118,,FRONT NEUROSCI-SWITZ,2,0,0,0,0,0,0,0,0,0,0,2
119,,IEEE J-STSP,2,0,0,0,0,0,0,0,0,0,0,2
120,,IEEE-ACM T AUDIO SPE,2,0,0,0,0,0,0,0,0,0,0,2
121,,IEICE T INF SYST,2,0,0,0,0,0,0,0,1,0,0,1
122,0.042,INDOGER FORSCH,2,0,0,0,0,0,0,0,1,0,0,1
123,,INN COMM ENG,2,0,0,1,1,0,0,0,0,0,0,0
124,1.471,INT J LANG COMM DIS,2,0,0,0,0,0,0,0,0,0,0,2
125,,INTERDISC EVOL RES,2,0,0,0,0,0,0,0,0,0,0,2
126,1.683,J COGN DEV,2,0,0,0,1,0,0,0,0,0,0,1
127,0.833,J ENGL LINGUIST,2,0,0,0,0,0,0,0,0,2,0,0
128,2.549,J EXP CHILD PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
129,5.929,J EXP PSYCHOL GEN,2,0,0,0,0,0,0,0,0,0,0,2
130,1.020,J LANG SOC PSYCHOL,2,0,0,0,0,0,0,0,0,2,0,0
131,1.083,LANG ACQUIS,2,0,0,1,0,0,0,0,0,0,0,1
132,0.548,LANG AWARE,2,0,0,0,0,0,0,0,0,0,0,2
133,0.430,LIT LINGUIST COMPUT,2,0,0,0,0,1,0,0,0,0,0,1
134,,LOGOP PHONIATR VOCO,2,0,0,0,0,0,0,0,0,0,0,2
135,2.457,MEM COGNITION,2,0,1,0,0,0,0,0,1,0,0,0
136,0.123,ONOMAZEIN,2,0,0,0,0,0,0,0,0,0,0,2
137,0.659,PSYCHOL BELG,2,0,0,0,0,0,0,0,0,0,0,2
138,7.372,SOC COGN AFFECT NEUR,2,0,0,0,0,0,0,0,0,0,1,1
139,3.063,TOP COGN SCI,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
