Cited Journal Data: QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,4280,97,269,386,328,452,502,457,275,357,5,1152
2,,ALL OTHERS (291),291,2,11,18,14,34,26,29,12,30,0,115
3,2.560,FRONT PSYCHOL,301,19,24,31,21,34,26,22,23,30,0,71
4,2.127,Q J EXP PSYCHOL,180,25,13,17,17,26,26,8,8,10,0,30
5,,PLOS ONE,165,2,13,21,15,15,17,15,6,13,1,47
6,,FRONT HUM NEUROSCI,148,7,13,11,9,12,17,23,13,8,0,35
7,2.248,ACTA PSYCHOL,115,4,10,12,7,11,17,14,6,9,0,25
8,3.358,J EXP PSYCHOL HUMAN,113,1,12,8,11,10,14,13,2,11,0,31
9,2.168,ATTEN PERCEPT PSYCHO,110,1,7,8,10,11,13,9,6,11,0,34
10,2.862,J EXP PSYCHOL LEARN,108,0,10,8,8,10,24,9,10,4,0,25
11,5.929,J EXP PSYCHOL GEN,78,0,9,9,8,6,12,5,10,5,0,14
12,3.302,NEUROPSYCHOLOGIA,74,4,4,7,3,10,2,6,5,4,0,29
13,3.479,COGNITION,71,1,7,4,7,8,10,6,10,5,0,13
14,,J VISION,63,1,7,0,3,2,16,3,3,6,0,22
15,2.863,PSYCHOL RES-PSYCH FO,61,0,3,8,8,4,6,3,6,7,1,15
16,3.369,PSYCHON B REV,61,0,3,4,3,9,8,6,2,5,0,21
17,2.457,MEM COGNITION,60,0,5,4,9,6,8,8,5,5,0,10
18,1.431,J COGN PSYCHOL,55,1,4,12,7,9,8,5,3,2,0,4
19,4.237,J MEM LANG,52,3,5,10,2,6,8,6,2,1,0,9
20,,EXP BRAIN RES,45,0,1,2,5,3,3,6,3,1,0,21
21,1.941,CONSCIOUS COGN,44,1,3,2,1,8,10,5,3,2,0,9
22,1.921,VIS COGN,43,0,4,2,0,4,13,5,1,3,0,11
23,,LANG COGN NEUROSCI,40,0,2,3,4,12,3,3,2,3,0,8
24,2.549,J EXP CHILD PSYCHOL,35,1,2,7,5,5,3,3,5,2,0,2
25,2.076,EXP PSYCHOL,34,1,2,7,3,5,2,1,5,5,0,3
26,,NEUROIMAGE,33,1,4,2,3,6,2,3,3,1,0,8
27,1.949,J EXP PSYCHOL-ANIM L,30,0,0,0,3,0,4,5,4,7,0,7
28,14.756,PSYCHOL BULL,30,0,4,5,1,0,3,5,3,3,0,6
29,4.085,J COGNITIVE NEUROSCI,29,1,1,2,3,2,4,3,1,3,0,9
30,,FRONT NEUROSCI-SWITZ,28,1,0,2,1,7,2,1,1,2,0,11
31,,VISION RES,28,0,2,1,0,3,6,1,1,3,0,11
32,,CORTEX,27,0,1,2,3,4,1,5,1,0,0,10
33,,J NEUROSCI,27,0,1,2,3,1,4,3,0,1,0,12
34,,PHILOS T R SOC B,27,0,3,0,5,2,0,4,1,3,0,9
35,,NEUROSCI BIOBEHAV R,26,0,3,3,3,2,4,3,1,1,0,6
36,3.215,BRAIN LANG,22,0,2,0,0,5,1,8,3,0,0,3
37,2.446,COGNITIVE SCI,22,1,0,2,3,5,4,2,0,0,0,5
38,1.388,COGN PROCESS,21,0,1,1,1,5,0,2,1,4,0,6
39,1.321,APPL COGNITIVE PSYCH,20,0,1,0,0,2,3,3,2,3,0,6
40,2.928,BEHAV RES METHODS,20,0,0,3,2,4,1,1,1,5,0,3
41,1.688,MEMORY,19,0,0,3,3,2,0,2,6,1,0,2
42,0.906,PERCEPTION,19,2,2,1,3,1,0,2,0,2,0,6
43,2.964,PSYCHOL LEARN MOTIV,19,0,1,3,0,1,2,1,2,2,0,7
44,1.887,RES DEV DISABIL,19,0,1,1,3,2,2,4,1,2,0,3
45,3.665,J AUTISM DEV DISORD,18,0,2,4,0,0,1,7,0,1,0,3
46,21.965,TRENDS COGN SCI,18,0,3,5,0,1,3,3,3,0,0,0
47,,BEHAV BRAIN RES,17,0,0,2,2,1,0,5,2,1,0,4
48,4.940,PSYCHOL SCI,17,0,2,2,3,1,6,0,0,2,0,1
49,,COGN AFFECT BEHAV NE,16,0,1,1,0,3,0,1,3,2,0,5
50,2.646,PSYCHOL AGING,16,0,2,1,0,2,7,0,1,1,0,2
51,2.477,BRAIN COGNITION,15,0,1,1,0,2,2,0,2,0,0,7
52,,BRAIN RES,15,0,0,2,1,1,1,3,1,0,0,6
53,2.254,BRIT J PSYCHOL,15,0,0,3,1,3,2,2,1,2,0,1
54,1.885,LEARN BEHAV,15,0,0,1,1,0,3,2,3,1,0,4
55,,NEUROSCIENCE,15,0,0,3,2,2,1,0,1,0,0,6
56,1.869,WIRES COGN SCI,15,1,1,0,2,1,2,2,2,1,0,3
57,2.201,COGNITION EMOTION,14,0,0,2,2,4,1,0,0,1,0,4
58,5.064,COGNITIVE PSYCHOL,14,0,2,1,1,2,2,1,3,0,0,2
59,7.972,PSYCHOL REV,14,0,0,0,1,2,1,1,1,3,0,5
60,,CEREB CORTEX,13,0,0,0,0,1,2,1,2,1,0,6
61,,SCI REP-UK,13,0,1,3,0,0,1,0,0,1,0,7
62,1.567,BEHAV PROCESS,12,0,0,0,0,1,1,6,0,2,0,2
63,1.218,CAN J EXP PSYCHOL,12,0,0,2,1,1,1,0,1,1,0,5
64,,FRONT BEHAV NEUROSCI,12,1,0,1,1,0,1,0,2,2,0,4
65,,J NEUROPHYSIOL,12,0,1,2,0,0,2,0,0,0,0,7
66,2.986,PSYCHOPHYSIOLOGY,12,0,0,0,0,3,0,1,3,0,2,3
67,1.512,APPL PSYCHOLINGUIST,11,0,0,2,1,0,3,1,0,1,0,3
68,4.061,CHILD DEV,11,0,0,4,0,2,0,1,1,2,0,1
69,,DEV PSYCHOBIOL,11,0,1,1,1,1,2,2,1,0,0,2
70,3.383,EMOTION,11,0,2,0,1,4,1,1,0,1,0,1
71,,EUR J NEUROSCI,11,0,0,1,0,0,0,3,0,0,0,7
72,,FRONT AGING NEUROSCI,11,0,1,0,3,2,2,1,0,0,0,2
73,2.070,J SPEECH LANG HEAR R,11,0,1,0,1,1,1,4,1,0,0,2
74,1.436,LEARN MOTIV,11,0,0,1,0,0,1,4,1,3,0,1
75,2.000,MUSIC PERCEPT,11,0,0,0,1,2,1,3,0,0,0,4
76,1.803,AGING NEUROPSYCHOL C,10,0,0,0,0,1,2,1,1,2,0,3
77,1.444,ANN DYSLEXIA,10,0,0,1,0,1,2,6,0,0,0,0
78,,APPETITE,10,0,0,2,2,0,4,0,0,1,0,1
79,,EAR HEARING,10,1,0,0,1,0,2,1,1,0,0,4
80,1.556,ERGONOMICS,10,0,1,1,0,1,2,0,0,0,0,5
81,2.882,INT J PSYCHOPHYSIOL,10,0,0,1,1,1,0,1,2,2,0,2
82,1.836,J EXP PSYCHOL-APPL,10,0,2,1,3,0,1,1,0,0,0,2
83,1.621,LEARN INDIVID DIFFER,10,1,0,0,2,2,0,1,0,3,0,1
84,,P NATL ACAD SCI USA,10,0,2,0,1,0,1,2,0,1,0,3
85,0.441,PSICOLOGICA,10,0,1,0,0,2,2,2,1,0,0,2
86,1.634,READ WRIT,10,0,1,2,0,0,3,1,0,1,0,2
87,0.831,COGN SYST RES,9,0,0,0,0,1,1,5,0,0,0,2
88,5.678,CURR DIR PSYCHOL SCI,9,2,0,0,2,1,2,0,0,0,0,2
89,4.141,DEV PSYCHOL,9,0,0,1,0,0,0,2,2,0,0,4
90,3.808,DEVELOPMENTAL SCI,9,0,2,0,1,0,2,1,0,1,0,2
91,,HUM BRAIN MAPP,9,0,0,1,0,2,0,1,1,1,0,3
92,3.245,INTELLIGENCE,9,0,0,1,0,0,0,0,0,4,0,4
93,7.372,SOC COGN AFFECT NEUR,9,0,0,1,1,4,0,1,0,1,0,1
94,,APHASIOLOGY,8,0,1,0,0,0,2,0,0,1,0,4
95,4.330,AUTISM RES,8,0,1,1,1,2,1,2,0,0,0,0
96,2.009,BILING-LANG COGN,8,0,1,2,1,3,0,0,0,1,0,0
97,3.403,BIOL PSYCHOL,8,0,1,0,1,0,1,1,0,3,0,1
98,2.073,COGN NEUROPSYCHOL,8,1,0,1,0,0,2,0,0,0,0,4
99,2.694,COMPUT HUM BEHAV,8,0,0,0,0,0,1,0,0,2,0,5
100,0.887,DISCOURSE PROCESS,8,0,0,0,2,1,0,3,1,0,0,1
101,,EXP AGING RES,8,0,0,1,0,1,1,1,2,0,0,2
102,0.633,J PSYCHOLINGUIST RES,8,0,0,2,0,0,0,1,0,1,0,4
103,2.976,PHYSIOL BEHAV,8,0,0,1,2,0,0,1,1,0,0,3
104,2.467,PSYCHIAT RES,8,0,1,0,0,1,1,1,2,0,0,2
105,3.063,TOP COGN SCI,8,0,0,0,0,3,0,3,0,0,0,2
106,0.619,AM J PSYCHOL,7,0,0,0,0,2,0,1,1,0,0,3
107,20.771,BEHAV BRAIN SCI,7,0,0,1,1,0,2,2,0,0,0,1
108,2.841,BRIT J DEV PSYCHOL,7,0,0,2,0,0,0,1,0,2,0,2
109,2.565,EDUC PSYCHOL REV,7,0,0,0,0,0,2,1,0,0,0,4
110,,FRONT COMPUT NEUROSC,7,0,0,0,1,0,0,0,0,0,0,6
111,2.069,J BEHAV DECIS MAKING,7,0,0,1,0,0,3,0,1,0,0,2
112,2.083,J CLIN EXP NEUROPSYC,7,0,1,1,0,1,0,1,0,1,0,2
113,3.518,J EDUC PSYCHOL,7,0,0,2,1,1,0,1,0,2,0,0
114,2.285,J EXP SOC PSYCHOL,7,0,0,1,0,1,2,1,1,0,0,1
115,2.609,J MATH PSYCHOL,7,0,0,0,0,1,0,0,0,0,0,6
116,1.612,LANG LEARN,7,0,0,1,2,0,1,0,1,0,0,2
117,0.647,LINGUA,7,0,0,0,0,1,1,1,1,0,0,3
118,4.592,NEUROPSYCHOL REV,7,0,0,0,1,2,1,1,0,0,0,2
119,,PROCD SOC BEHV,7,0,2,0,1,0,1,1,0,2,0,0
120,,ANIM COGN,6,0,0,1,2,0,1,1,0,1,0,0
121,,BRAIN STRUCT FUNCT,6,0,0,0,1,2,0,2,0,1,0,0
122,2.172,COGNITIVE DEV,6,0,0,2,0,1,0,2,0,1,0,0
123,,FRONT NEURAL CIRCUIT,6,0,0,0,0,0,1,0,0,2,0,3
124,1.598,HUM MOVEMENT SCI,6,0,0,0,1,2,0,0,0,1,0,2
125,1.482,I-PERCEPTION,6,0,2,0,1,1,1,0,0,0,0,1
126,,J ACOUST SOC AM,6,0,0,0,0,0,0,1,0,0,0,5
127,1.533,METAPHOR SYMBOL,6,0,0,1,0,1,1,3,0,0,0,0
128,3.269,NEUROPSYCHOLOGY,6,0,1,1,2,0,0,0,0,0,0,2
