Citing Journal Data: COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,2359,22,79,119,105,127,122,145,119,98,110,1313
2, ,ALL OTHERS (490),490,7,20,23,23,16,29,15,19,19,19,300
3,3.479,COGNITION,142,1,4,6,9,7,6,18,6,2,9,74
4,7.972,PSYCHOL REV,137,0,1,3,2,4,4,8,10,4,2,99
5,2.862,J EXP PSYCHOL LEARN,90,1,2,3,4,5,3,3,2,1,7,59
6,4.237,J MEM LANG,86,1,8,3,1,5,2,17,5,3,3,38
7,5.064,COGNITIVE PSYCHOL,84,0,2,4,3,3,1,3,5,4,6,53
8,4.940,PSYCHOL SCI,63,0,2,4,2,5,3,2,5,5,4,31
9,3.358,J EXP PSYCHOL HUMAN,59,0,0,6,3,1,3,1,3,3,2,37
10,2.457,MEM COGNITION,55,0,2,1,0,2,6,1,3,4,2,34
11,2.446,COGNITIVE SCI,51,1,2,2,6,3,4,6,1,2,3,21
12,3.369,PSYCHON B REV,51,2,0,3,2,2,4,3,3,8,2,22
13,5.929,J EXP PSYCHOL GEN,45,0,4,3,0,2,2,2,1,0,2,29
14,21.965,TRENDS COGN SCI,39,0,1,2,0,4,5,3,1,3,0,20
15,3.808,DEVELOPMENTAL SCI,30,0,1,1,3,4,6,2,5,2,2,4
16,14.756,PSYCHOL BULL,28,0,1,3,1,5,0,2,1,1,3,11
17, ,PERCEPT PSYCHOPHYS,27,0,0,0,0,0,0,0,0,0,0,27
18,2.248,ACTA PSYCHOL,26,0,1,1,5,3,1,1,2,1,1,10
19,4.141,DEV PSYCHOL,25,1,0,3,2,1,0,2,5,0,1,10
20, ,SCIENCE,25,0,0,3,0,1,1,1,0,1,1,17
21,4.061,CHILD DEV,24,1,0,2,2,0,1,2,1,3,0,12
22,2.134,LANG COGNITIVE PROC,24,0,1,0,1,0,0,2,1,3,1,15
23, ,NATURE,23,0,0,1,0,0,1,2,1,0,1,17
24,20.771,BEHAV BRAIN SCI,22,1,0,0,2,1,1,2,0,0,0,15
25,2.549,J EXP CHILD PSYCHOL,22,0,0,1,0,0,1,1,1,0,1,17
