Citing Journal Data: INSTRUCTIONAL SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,2642,27,49,105,132,133,148,133,155,169,121,1470
2, ,ALL OTHERS (879),879,3,15,34,39,52,52,42,43,58,43,498
3,3.518,J EDUC PSYCHOL,104,0,1,3,7,3,7,8,9,2,4,60
4,1.426,INSTR SCI,93,17,5,17,11,7,8,4,1,0,4,19
5,3.585,LEARN INSTR,74,0,2,3,8,9,6,8,5,4,0,29
6,3.897,REV EDUC RES,54,0,1,0,2,0,2,4,8,1,2,34
7,3.611,EDUC PSYCHOL-US,53,1,2,1,2,1,1,4,6,8,1,26
8,2.312,J LEARN SCI,43,0,0,3,2,0,1,0,0,2,3,32
9,2.565,EDUC PSYCHOL REV,35,0,0,1,2,4,0,1,7,0,4,16
10,2.000,BRIT J EDUC PSYCHOL,32,0,0,1,2,0,1,1,1,1,6,19
11,2.000,COGNITION INSTRUCT,32,0,0,0,2,0,1,0,0,0,2,27
12,2.527,EDUC RESEARCHER,26,0,0,0,2,1,1,0,0,0,0,22
13,1.929,CONTEMP EDUC PSYCHOL,22,0,0,0,0,1,1,4,1,1,2,12
14,2.556,COMPUT EDUC,21,1,1,1,2,2,1,2,3,6,0,2
15,2.157,AM EDUC RES J,20,0,0,0,0,0,1,0,0,0,0,19
16,2.446,COGNITIVE SCI,20,1,0,1,0,0,1,0,1,0,0,16
17, ,MED EDUC,18,0,0,2,0,1,2,0,2,2,0,9
18,1.420,ETR&D-EDUC TECH RES,16,0,0,0,1,1,1,1,1,0,1,10
19,6.100,AM PSYCHOL,15,0,0,0,0,0,0,1,0,0,0,14
20,2.694,COMPUT HUM BEHAV,15,0,0,1,1,3,0,4,0,0,3,3
21,3.162,J RES SCI TEACH,15,0,0,0,0,0,0,0,2,0,0,13
22,14.756,PSYCHOL BULL,15,0,0,3,0,0,0,0,0,1,0,11
23, ,ACAD MED,14,0,0,0,0,0,0,0,0,0,0,14
24,1.321,APPL COGNITIVE PSYCH,14,0,0,0,1,1,1,2,2,3,1,3
25,4.061,CHILD DEV,14,0,0,0,1,1,0,0,1,0,1,10
26,1.841,INT J COMP-SUPP COLL,14,0,0,0,1,2,0,3,7,1,0,0
27,4.940,PSYCHOL SCI,13,0,0,1,0,0,1,1,0,2,1,7
28,2.928,BEHAV RES METHODS,12,0,0,0,0,1,1,3,0,0,0,7
29,0.579,EDUC STUD MATH,12,0,0,1,0,1,3,0,0,0,0,7
30, ,INT J EDUC RES,12,0,0,0,0,0,0,0,0,1,0,11
31,5.031,J PERS SOC PSYCHOL,12,0,0,0,0,0,0,0,1,0,0,11
32,1.413,TEACH TEACH EDUC,12,0,0,1,1,0,0,1,3,1,2,3
33,0.790,EUR J PSYCHOL EDUC,11,0,0,1,1,3,0,1,0,0,0,5
34,1.087,J EXP EDUC,11,0,0,1,0,0,0,3,3,0,0,4
35,2.124,ADV HEALTH SCI EDUC,10,0,0,1,3,3,0,2,0,1,0,0
36,0.610,ASSESS EVAL HIGH EDU,10,0,0,0,1,1,3,0,0,0,1,4
37,1.804,J TEACH EDUC,10,0,0,0,0,2,1,2,1,1,0,3
38,1.621,LEARN INDIVID DIFFER,10,0,0,2,0,0,2,0,3,1,0,2
39,7.972,PSYCHOL REV,10,0,0,0,0,0,0,0,0,0,0,10
40,2.825,SCI EDUC,10,0,0,0,0,1,1,0,1,0,1,6
41, ,HANDB EDUC PSYCHOL,9,0,0,0,0,0,0,0,0,3,0,6
42,1.151,HIGH EDUC,9,0,0,1,1,0,0,0,0,0,0,7
43,1.132,INT J SCI EDUC,9,0,0,0,1,1,2,0,0,1,1,3
44,1.233,J RES MATH EDUC,9,0,0,0,0,2,0,1,0,0,0,6
45,1.038,STUD HIGH EDUC,9,1,0,0,1,0,0,0,0,1,0,6
46,21.810,ANNU REV PSYCHOL,8,0,2,0,1,0,0,0,1,0,0,4
47,1.083,ELEM SCHOOL J,8,0,0,0,0,0,0,0,0,0,0,8
48, ,INT J ARTIFICIAL INT,8,0,0,0,0,1,2,0,0,1,0,4
49,0.670,J EDUC COMPUT RES,8,0,0,0,0,0,0,0,1,1,1,5
50,4.141,DEV PSYCHOL,7,0,0,0,1,2,0,0,1,0,0,3
51, ,HANDB RES TEACHING,7,0,0,0,0,0,0,0,0,0,0,7
52,0.607,HARVARD EDUC REV,7,0,0,0,0,0,1,0,0,0,0,6
53,0.840,J EDUC RES,7,0,1,0,0,0,0,0,0,1,1,4
54, ,LEARN ENV RES,7,0,0,0,0,0,0,1,0,2,0,4
55,0.400,MATH THINK LEARN,7,0,0,1,0,1,0,1,0,1,1,2
