Citing Journal Data: JOURNAL OF CHILD LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,3314,14,47,101,126,163,181,180,172,141,145,2044
2, ,ALL OTHERS (812),812,5,15,24,27,26,39,39,41,37,27,532
3,1.598,J CHILD LANG,235,0,4,9,13,13,12,13,7,7,8,149
4,2.070,J SPEECH LANG HEAR R,121,0,2,4,4,15,12,4,5,3,7,65
5,3.479,COGNITION,102,0,2,3,1,4,1,15,4,3,7,62
6,4.061,CHILD DEV,95,0,0,5,3,5,4,5,6,1,6,60
7,4.237,J MEM LANG,79,0,0,2,0,5,3,12,5,3,0,49
8,4.141,DEV PSYCHOL,70,0,2,1,0,3,6,2,3,3,3,47
9,3.808,DEVELOPMENTAL SCI,50,0,0,3,9,4,5,10,1,1,4,13
10,1.512,APPL PSYCHOLINGUIST,47,1,5,0,1,9,0,2,4,3,0,22
11,1.083,LANG ACQUIS,46,0,1,1,2,3,0,2,5,1,0,31
12, ,J ACOUST SOC AM,42,0,0,1,2,2,4,3,1,1,4,24
13,4.940,PSYCHOL SCI,41,0,1,0,0,1,5,3,5,2,8,16
14,1.884,LANGUAGE,40,0,0,2,0,0,1,0,0,1,4,32
15,2.134,LANG COGNITIVE PROC,38,0,0,3,4,1,3,2,4,1,3,17
16, ,J SPEECH HEAR RES,36,0,0,0,0,0,0,0,0,0,0,36
17,0.647,LINGUA,36,0,0,3,4,9,4,2,1,0,2,11
18,5.064,COGNITIVE PSYCHOL,35,0,1,0,0,5,2,0,3,0,0,24
19,0.633,J PSYCHOLINGUIST RES,32,0,0,0,2,0,1,0,2,0,1,26
20,0.575,CLIN LINGUIST PHONET,28,0,0,1,0,1,2,4,2,5,1,12
21,1.400,FIRST LANG,27,0,0,1,0,3,1,0,1,1,2,18
22,1.175,COGN LINGUIST,25,0,0,1,2,0,11,0,2,0,2,7
23,2.446,COGNITIVE SCI,24,1,0,0,3,0,2,5,3,5,0,5
24, ,SCIENCE,24,0,0,0,0,1,1,0,0,0,2,20
25,1.598,J PHONETICS,23,0,1,0,0,0,1,0,2,2,0,17
26, ,CHILDES PROJECT TOOL,20,2,2,0,0,0,0,0,0,0,0,16
27,2.086,INFANCY,20,0,0,1,3,4,2,1,0,3,2,4
28,2.549,J EXP CHILD PSYCHOL,20,0,0,0,2,3,2,1,0,2,0,10
29, ,CROSSLINGUISTIC STUD,19,0,0,0,0,0,0,0,0,0,0,19
30,6.459,J CHILD PSYCHOL PSYC,19,0,0,0,0,1,2,6,0,1,0,9
31,2.172,COGNITIVE DEV,18,0,0,1,0,0,1,2,1,1,0,12
32,1.040,LANG SPEECH,18,0,1,1,1,0,1,3,0,2,2,7
33,7.972,PSYCHOL REV,18,0,0,1,0,0,0,0,0,2,0,15
34,21.965,TRENDS COGN SCI,18,0,0,0,0,0,0,1,0,4,2,11
35,3.358,J EXP PSYCHOL HUMAN,17,0,0,0,0,0,1,0,0,2,0,14
36,3.215,BRAIN LANG,16,0,0,2,0,0,0,0,1,1,0,12
37,0.506,LINGUISTICS,16,0,0,0,0,0,2,0,1,1,0,12
38,1.966,MONOGR SOC RES CHILD,16,0,0,0,0,0,2,0,0,0,0,14
39,2.862,J EXP PSYCHOL LEARN,15,0,0,0,0,0,0,1,2,0,1,11
40,2.841,BRIT J DEV PSYCHOL,14,0,0,0,0,2,1,2,0,2,1,6
41, ,TALKING CHILDREN LAN,14,0,0,0,0,0,0,0,0,0,0,14
42,1.471,INT J LANG COMM DIS,13,0,0,0,3,0,0,0,3,2,0,5
43, ,LANGUAGE LEARN DE,13,0,0,1,0,1,2,1,1,2,4,1
44, ,PRAAT DOING PHONETIC,13,0,0,0,2,2,1,0,3,1,1,3
45,2.009,BILING-LANG COGN,12,0,0,5,1,1,2,1,1,1,0,0
46, ,J VERB LEARN VERB BE,12,0,0,0,0,0,0,0,0,0,0,12
47, ,P NATL ACAD SCI USA,12,0,1,1,0,1,4,0,1,0,2,2
48,0.520,PHONETICA,12,0,0,0,0,0,1,0,1,0,0,10
49,1.349,INFANT BEHAV DEV,11,0,0,0,1,0,1,0,0,0,1,8
50, ,INT GUIDE SPEECH ACQ,11,0,0,0,0,0,0,0,11,0,0,0
51,3.665,J AUTISM DEV DISORD,11,0,0,1,0,0,0,3,0,0,0,7
52,1.500,LANG VAR CHANGE,11,0,0,0,1,0,3,0,3,0,1,3
53,2.928,BEHAV RES METHODS,10,0,0,1,0,0,0,0,1,0,0,8
54,3.518,J EDUC PSYCHOL,10,0,0,0,2,0,0,1,0,2,0,5
55,1.289,MERRILL PALMER QUART,10,0,0,1,0,0,0,0,0,0,0,9
56, ,SPEECH COMMUN,10,0,0,1,0,0,0,1,1,2,0,5
57, ,1 LANGUAGE EARLY STA,9,0,0,0,0,0,0,0,0,0,0,9
58,1.711,LINGUIST INQ,9,0,0,0,0,0,0,0,0,1,0,8
59, ,NATURE,9,0,0,0,0,0,1,0,0,0,0,8
60,20.771,BEHAV BRAIN SCI,8,0,0,0,0,0,1,0,0,0,0,7
61,2.560,FRONT PSYCHOL,8,0,0,6,2,0,0,0,0,0,0,0
62,1.449,J COMMUN DISORD,8,0,0,0,2,1,0,1,0,0,0,4
63,1.073,LANG SOC,8,0,0,0,0,0,0,0,1,0,0,7
64,1.533,METAPHOR SYMBOL,8,0,0,0,0,1,0,0,0,1,0,6
65, ,PROC ANN BUCLD,8,0,0,0,0,0,2,2,0,0,1,3
66,1.634,READ WRIT,8,0,0,1,0,0,1,2,1,0,0,3
67,1.505,SOC DEV,8,0,0,0,0,1,0,0,0,0,0,7
68, ,THESIS MASS I TECH,8,0,1,0,0,0,0,0,0,0,0,7
69, ,CHILDREN SPECIFIC LA,7,1,0,0,0,0,0,0,0,0,0,6
70, ,CONSTRUCTING LANGUAG,7,0,0,0,0,0,0,0,0,0,1,6
71,4.000,DEV REV,7,0,0,0,0,0,0,0,3,4,0,0
72, ,EAR HEARING,7,0,0,0,0,1,0,0,0,1,0,5
73,1.179,INFANT CHILD DEV,7,0,0,1,0,0,1,0,0,2,0,3
74,1.612,LANG LEARN,7,0,0,0,0,1,1,0,0,0,1,4
75,1.435,LANG SPEECH HEAR SER,7,0,0,0,0,1,0,1,2,0,1,2
