Cited Journal Data: JOURNAL OF COMPARATIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1215,6,58,69,84,83,76,75,67,65,53,579
2,,ALL OTHERS (124),124,1,0,4,3,5,4,11,5,5,6,80
3,1.477,J COMP PSYCHOL,128,3,14,12,11,7,16,5,12,6,7,35
4,,ANIM BEHAV,72,0,7,2,9,11,3,7,1,3,2,27
5,1.629,COGNITIVE SCI,64,0,3,4,4,5,8,10,6,3,2,19
6,1.580,PSYCHON B REV,53,0,0,0,1,0,0,0,0,0,0,52
7,,NEUROSCI BIOBEHAV R,35,0,2,2,2,4,2,0,1,2,0,20
8,,DEV PSYCHOBIOL,30,0,2,0,1,4,4,0,4,1,3,11
9,1.419,PHYSIOL BEHAV,29,1,1,0,0,1,1,1,3,1,1,19
10,,BEHAV NEUROSCI,24,0,0,2,1,1,2,0,1,2,0,15
11,,ETHOLOGY,24,0,0,0,3,2,1,1,1,2,1,13
12,,BEHAV BRAIN RES,22,0,0,3,1,2,0,1,1,0,0,14
13,2.778,NEUROPSYCHOLOGIA,22,0,1,4,0,3,5,1,2,1,2,3
14,0.906,BEHAV PROCESS,21,0,0,1,0,2,1,0,2,3,4,8
15,1.365,J EXP PSYCHOL ANIM B,20,0,0,2,3,2,0,2,0,3,1,7
16,1.105,ANIM LEARN BEHAV,18,0,1,0,3,4,0,3,0,1,1,5
17,,ADV STUD BEHAV,17,0,1,2,0,3,3,0,1,0,0,7
18,14.250,BEHAV BRAIN SCI,17,0,0,1,3,2,3,2,0,1,0,5
19,,CAN J ZOOL,16,0,0,0,3,1,0,0,0,2,2,8
20,,J ACOUST SOC AM,16,0,0,2,3,0,1,1,1,0,1,7
21,,BEHAVIOUR,15,0,1,0,2,0,0,1,1,2,0,8
22,,APPL ANIM BEHAV SCI,14,0,0,1,1,1,0,0,0,3,3,5
23,,HORM BEHAV,12,0,2,2,0,1,1,0,1,0,0,5
24,,J CONSCIOUSNESS STUD,12,0,2,1,2,0,1,1,0,0,1,4
25,,P ROY SOC LOND B BIO,12,1,3,0,1,0,0,1,1,1,0,4
26,,BRAIN RES,10,0,0,0,0,2,0,0,0,1,1,6
27,,J NEUROPHYSIOL,10,0,0,1,0,0,0,0,0,2,0,7
28,,PRIMATES,10,0,1,1,1,0,0,2,1,0,0,4
29,,FOLIA PRIMATOL,9,0,1,0,1,1,2,1,2,0,0,1
30,1.194,PSYCHOBIOLOGY,9,0,1,0,0,0,1,0,0,0,0,7
31,,PSYCHONEUROENDOCRINO,9,0,2,1,1,0,0,0,0,0,0,5
32,1.240,ECOL PSYCHOL,8,0,0,1,0,1,0,0,1,1,1,3
33,,MAR FRESHW BEHAV PHY,8,0,0,0,0,0,1,1,0,0,1,5
34,,P NATL ACAD SCI USA,8,0,0,1,1,0,0,0,0,1,1,4
35,,PHARMACOL BIOCHEM BE,8,0,0,1,0,0,1,1,0,2,0,3
36,,PSYCHOPHARMACOLOGY,8,0,0,0,0,0,0,0,0,0,0,8
37,,AM J PRIMATOL,7,0,0,0,2,0,1,0,0,0,1,3
38,,J NEUROBIOL,7,0,0,0,1,2,0,1,0,1,0,2
39,,J NEUROSCI,7,0,0,0,0,0,1,1,0,1,1,3
40,6.913,PSYCHOL BULL,7,0,0,2,0,1,0,0,1,0,1,2
41,,TRENDS COGN SCI,7,0,1,1,2,0,0,0,0,0,0,3
42,,APPETITE,6,0,0,0,1,0,1,0,0,0,0,4
43,2.622,COGNITION,6,0,1,1,0,0,2,1,1,0,0,0
44,,HEARING RES,6,0,0,0,1,0,0,0,0,0,0,5
45,,J COMP NEUROL,6,0,0,0,0,0,0,3,1,0,1,1
46,,J INSECT BEHAV,6,0,0,0,0,0,0,0,0,0,1,5
47,1.156,LEARN MOTIV,6,0,0,0,2,0,0,0,0,0,1,3
48,0.815,AGGRESSIVE BEHAV,5,0,0,0,0,0,0,2,0,0,0,3
49,1.516,BEHAV GENET,5,0,1,0,0,1,0,0,0,0,0,3
50,,BIOL J LINN SOC,5,0,1,1,0,0,0,1,1,0,0,1
