Cited Journal Data: JOURNAL OF HUMAN EVOLUTION,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1720,74,140,165,169,145,96,90,64,94,97,586
2,,ALL OTHERS (96),96,1,5,4,5,8,6,2,4,3,4,54
3,2.675,J HUM EVOL,443,57,34,42,45,40,16,25,16,22,33,113
4,1.827,AM J PHYS ANTHROPOL,173,0,8,24,19,15,9,12,6,8,9,63
5,,J ANAT,123,1,24,26,10,14,7,1,3,6,4,27
6,3.658,EVOL ANTHROPOL,113,3,22,13,16,8,4,8,4,7,6,22
7,,HUMAN EVOLUT SER,94,0,0,3,4,5,9,10,13,11,12,27
8,,P NATL ACAD SCI USA,42,3,4,1,4,7,3,0,0,1,2,17
9,1.089,ANNU REV ANTHROPOL,36,1,1,4,2,6,4,2,0,2,2,12
10,,INT J PRIMATOL,33,1,0,1,2,6,3,3,0,2,0,15
11,2.429,CURR ANTHROPOL,31,0,3,4,5,4,2,2,0,0,2,9
12,0.559,J ANTHROPOL RES,30,0,6,1,3,1,1,6,2,1,0,9
13,,CR ACAD SCI II A,25,0,2,1,3,4,4,0,2,2,3,4
14,,FOLIA PRIMATOL,20,0,0,1,1,2,0,2,0,3,1,10
15,,MEM CALIF ACAD SCI,18,0,0,0,4,3,1,2,1,2,0,5
16,,ARCH ORAL BIOL,16,0,0,10,1,1,0,0,1,0,0,3
17,,NATURE,14,0,3,3,0,1,1,1,0,0,0,5
18,,PRIMATES,13,0,0,0,0,0,1,0,0,2,0,10
19,,SCIENCE,13,2,3,0,2,3,0,0,0,1,1,1
20,,WORLD ARCHAEOL,13,0,0,1,7,0,0,1,0,0,0,4
21,0.289,INT J OSTEOARCHAEOL,12,1,1,3,0,0,0,0,0,0,2,5
22,,J ARCHAEOL SCI,12,0,0,1,3,1,0,1,1,1,0,4
23,1.477,J COMP PSYCHOL,12,0,1,0,0,2,0,0,0,0,2,7
24,,S AFR J SCI,12,0,1,2,0,2,2,0,0,3,0,2
25,,AM J PRIMATOL,10,0,0,0,0,2,0,0,0,1,0,7
26,,J ZOOL,10,0,0,0,0,2,1,0,1,2,0,4
27,0.695,AM J HUM BIOL,9,0,0,1,2,0,0,0,0,0,0,6
28,,ANAT REC,8,4,0,1,2,1,0,0,0,0,0,0
29,,BRAIN BEHAV EVOLUT,8,0,1,0,2,1,1,0,1,1,0,1
30,1.629,COGNITIVE SCI,8,0,0,0,0,0,2,1,0,2,0,3
31,,MOL BIOL EVOL,8,0,0,0,1,1,1,1,1,0,0,3
32,,MOL PHYLOGENET EVOL,8,0,0,1,0,0,1,1,1,0,0,4
33,,ANIM BEHAV,7,0,0,0,0,0,0,0,0,0,0,7
34,,ANTIQUITY,7,0,2,0,1,0,0,0,1,0,0,3
35,,ETHOLOGY,7,0,0,2,1,0,0,0,0,1,0,3
36,,J VERTEBR PALEONTOL,7,0,1,1,2,0,2,0,0,0,0,1
37,,P ROY SOC LOND B BIO,7,0,0,0,0,0,2,0,0,0,0,5
38,,PALEOBIOLOGY,7,0,1,1,1,0,0,1,1,0,1,1
39,1.100,AM ANTIQUITY,6,0,1,1,0,0,1,0,0,0,1,2
40,0.429,ANTHROPOL SCI,6,0,0,0,0,1,1,0,0,0,0,4
41,,DEV PSYCHOBIOL,6,0,0,0,1,1,0,0,0,0,1,3
42,,J FORENSIC SCI,6,0,0,0,1,0,0,0,0,0,0,5
43,,J MAMMAL,6,0,0,0,3,0,0,0,0,0,0,3
44,,MATH BIOSCI,6,0,0,0,3,0,1,0,1,0,0,1
45,0.224,ANTHROPOLOGIE,5,0,2,1,0,0,0,0,0,0,0,2
46,0.355,COLLEGIUM ANTROPOL,5,0,0,0,0,0,0,0,0,0,0,5
47,,COLLOQ SEMI,5,0,0,0,0,0,0,0,0,0,2,3
48,,EUR J NUTR,5,0,0,0,0,0,1,1,0,2,0,1
49,0.368,HOMO,5,0,0,0,0,0,0,0,0,1,0,4
50,,PALAEOGEOGR PALAEOCL,5,0,0,0,0,0,1,0,0,0,1,3
51,,ADV STUD BEHAV,4,0,0,0,0,0,0,0,0,1,0,3
52,,ANN ENTOMOL SOC AM,4,0,0,0,0,0,1,1,0,0,0,2
53,,GEOL SOC AM BULL,4,0,0,0,1,0,0,1,0,0,2,0
54,,HUM BIOL,4,0,0,0,0,0,0,0,0,0,0,4
55,1.379,HUM NATURE-INT BIOS,4,0,1,0,0,0,0,0,0,1,0,2
56,,J CONSCIOUSNESS STUD,4,0,0,0,0,0,0,0,0,0,0,4
57,,J MORPHOL,4,0,0,1,1,1,0,0,0,0,0,1
58,,J PALEONTOL,4,0,1,0,1,0,0,0,1,0,0,1
59,2.778,NEUROPSYCHOLOGIA,4,0,0,0,1,1,0,0,0,0,1,1
60,,TRENDS COGN SCI,4,0,1,0,0,0,0,0,0,0,0,3
61,,AM J CLIN NUTR,3,0,0,0,0,0,0,0,0,0,0,3
62,1.271,ARCH SEX BEHAV,3,0,0,1,0,0,0,0,0,1,0,1
63,14.250,BEHAV BRAIN SCI,3,0,2,0,0,1,0,0,0,0,0,0
64,,BIOL REV,3,0,2,0,0,0,0,0,0,0,0,1
65,,CR ACAD SCI III-VIE,3,0,1,0,0,0,0,0,0,1,0,1
66,,EVOLUTION,3,0,0,0,0,0,0,0,1,1,0,1
67,,GEOBIOS-LYON,3,0,0,0,0,0,0,0,0,0,1,2
68,,J CRAN GENET DEV BIO,3,0,0,1,1,0,0,0,0,0,0,1
69,,J DENT RES,3,0,0,1,2,0,0,0,0,0,0,0
70,1.549,J GERONTOL A-BIOL,3,0,0,0,1,0,0,1,0,0,0,1
71,,J WORLD PREHIST,3,0,1,1,0,0,0,0,0,0,0,1
72,,PALAIOS,3,0,0,0,0,0,1,0,0,0,0,2
73,0.308,PERCEPT MOTOR SKILL,3,0,0,0,0,0,0,0,0,0,0,3
74,1.419,PHYSIOL BEHAV,3,0,0,0,0,0,0,0,0,0,0,3
75,6.913,PSYCHOL BULL,3,0,0,0,0,0,1,1,0,0,1,0
76,,ACTA OTO-LARYNGOL,2,0,0,0,0,0,0,0,0,1,0,1
77,0.667,ADAPT BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
78,0.710,AM ANTHROPOL,2,0,0,1,0,0,0,1,0,0,0,0
79,,AM J HUM GENET,2,0,1,1,0,0,0,0,0,0,0,0
80,,AN ACAD BRAS CIENC,2,0,0,0,0,0,0,0,0,0,0,2
81,,ANN SCI NAT ZOOL,2,0,0,0,0,0,0,1,0,0,0,1
82,,ANNU REV ECOL SYST,2,0,0,0,0,0,0,0,0,0,0,2
