Citing Journal Data: BEHAVIOURAL PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3008,26,132,199,196,187,162,136,154,133,145,1538
2, ,ALL OTHERS (571),571,10,25,26,26,32,26,19,23,23,26,335
3, ,ANIM BEHAV,259,5,14,21,11,20,23,18,15,8,13,111
4,1.172,J EXP ANAL BEHAV,90,0,3,2,5,2,5,2,10,1,3,57
5,1.365,J EXP PSYCHOL ANIM B,83,0,2,11,11,3,4,8,5,3,5,31
6, ,BEHAV ECOL SOCIOBIOL,81,0,9,8,5,3,3,3,2,1,0,47
7, ,BEHAVIOUR,73,1,0,1,2,4,5,6,0,2,2,50
8,0.906,BEHAV PROCESS,70,1,10,15,6,5,6,1,6,1,5,14
9,1.105,ANIM LEARN BEHAV,49,0,2,3,8,3,3,1,2,2,4,21
10, ,AM NAT,48,0,1,3,3,2,3,3,0,11,1,21
11, ,EVOLUTION,47,0,3,3,6,4,3,4,3,1,2,18
12, ,BEHAV ECOL,45,0,9,7,4,2,1,1,4,3,12,2
13, ,NATURE,40,0,2,4,3,2,3,1,2,2,2,19
14, ,SCIENCE,40,0,0,1,4,0,2,1,2,1,0,29
15, ,APPL ANIM BEHAV SCI,38,0,1,4,1,6,9,0,3,1,1,12
16, ,ETHOLOGY,38,0,0,5,3,0,3,3,8,3,4,9
17,1.156,LEARN MOTIV,32,0,1,1,5,1,1,1,0,2,5,15
18,6.069,PSYCHOL REV,32,0,0,0,3,0,0,2,1,0,0,26
19, ,J COMP PHYSIOL PSYCH,28,0,0,0,0,0,0,0,0,0,0,28
20, ,TRENDS ECOL EVOL,28,0,2,5,1,7,0,0,1,4,0,8
21, ,P ROY SOC LOND B BIO,27,1,0,8,5,4,3,3,0,2,0,1
22,1.419,PHYSIOL BEHAV,26,0,1,4,1,1,4,4,1,0,4,6
23, ,Z TIERPSYCHOL,26,0,0,0,0,0,0,0,0,0,1,25
24, ,J MAMMAL,23,0,2,9,0,1,0,1,1,0,1,8
25,1.000,Q J EXP PSYCHOL-B,22,0,0,2,1,1,3,2,0,3,4,6
26,1.477,J COMP PSYCHOL,21,0,0,1,0,2,1,0,2,3,4,8
27, ,AM ZOOL,20,0,0,2,0,2,0,0,0,4,0,12
28, ,CAN J ZOOL,20,0,0,0,2,3,0,1,4,0,0,10
29, ,COPEIA,20,0,0,1,0,0,0,2,0,1,1,15
30, ,P NATL ACAD SCI USA,19,0,1,1,1,4,4,0,0,0,1,7
31, ,J ZOOL,17,0,0,1,3,2,0,1,1,2,1,6
32, ,Q REV BIOL,17,0,1,0,1,1,1,0,0,3,0,10
33, ,J EXP PSYCHOL,16,0,2,0,0,0,0,0,0,1,0,13
34, ,J COMP PHYSIOL,15,0,1,0,0,0,0,0,0,0,0,14
35, ,J EXP PSYCHOL ANIMA,15,0,0,0,0,0,0,0,0,0,0,15
36, ,ADV STUD BEHAV,14,0,2,0,0,0,1,0,0,1,1,9
37, ,BEHAV BRAIN RES,13,0,3,1,2,0,1,1,1,0,1,3
38, ,OIKOS,13,0,1,2,2,0,2,1,0,0,0,5
39,1.580,PSYCHON B REV,13,0,0,4,3,1,1,4,0,0,0,0
40, ,GEN COMP ENDOCR,12,0,1,1,0,0,0,0,0,0,1,9
41, ,PSYCHON SCI,12,0,0,0,0,0,0,0,0,0,0,12
42, ,AM J PHYSIOL-REG I,11,0,1,0,3,0,0,2,0,1,0,4
43, ,AUK,11,0,1,0,1,0,0,0,1,1,1,6
44, ,BRAIN RES,11,0,0,0,2,2,0,1,1,0,1,4
45, ,ECOLOGY,11,0,0,0,0,0,1,0,0,0,0,10
46, ,J ANIM ECOL,11,0,1,0,1,0,0,1,1,0,0,7
47,1.252,PERCEPT PSYCHOPHYS,11,0,0,1,0,0,0,0,2,0,3,5
48,6.913,PSYCHOL BULL,11,0,0,0,0,2,0,0,2,0,0,7
49, ,ANNU REV ECOL SYST,10,0,0,0,0,0,0,2,1,0,1,6
50, ,COMP BIOCHEM PHYS A,10,0,0,1,0,0,1,0,0,0,0,8
51, ,CONDOR,10,0,1,0,0,1,0,0,1,1,0,6
52, ,PARTNERSHIPS BIRDS S,10,0,0,0,0,10,0,0,0,0,0,0
53, ,BEHAV BIOL,9,0,0,0,0,0,0,0,0,0,0,9
54, ,ETHOL ECOL EVOL,9,0,0,1,1,1,1,0,0,2,1,2
55, ,IBIS,9,1,1,0,2,1,1,0,0,0,0,3
56, ,J HERPETOL,9,0,0,0,0,0,1,1,1,1,1,4
57, ,J THEOR BIOL,9,0,0,0,1,0,1,0,0,0,0,7
58, ,OECOLOGIA,9,0,0,2,0,0,0,0,1,0,0,6
59, ,BEHAV NEURAL BIOL,8,0,0,0,0,0,0,0,0,2,0,6
60,0.750,BEHAV RES METH INS C,8,0,0,0,0,1,0,1,0,1,1,4
61, ,GENETICS,8,0,0,0,1,0,0,1,1,0,2,3
62, ,PHILOS T ROY SOC B,8,0,1,0,0,0,0,1,5,0,0,1
63,0.684,PSYCHOL REC,8,0,0,1,0,1,0,0,0,0,0,6
64,1.267,ACTA PSYCHOL,7,0,0,0,0,0,2,0,0,0,0,5
65, ,ANN NY ACAD SCI,7,0,0,0,0,0,0,0,0,0,0,7
66, ,CROSS CULT SAMPL,7,0,0,0,0,0,0,0,0,0,0,7
67, ,ETHOL SOCIOBIOL,7,0,0,0,0,2,0,0,1,1,1,2
68, ,INSECT SOC,7,0,0,0,1,0,1,0,0,0,1,4
69, ,J NEUROSCI,7,0,0,1,1,0,0,0,0,0,2,3
70, ,J ORNITHOL,7,0,0,0,0,0,1,0,0,0,0,6
71, ,NETH J ZOOL,7,1,0,0,0,0,0,0,3,1,0,2
72, ,REV ECOL-TERRE VIE,7,0,0,1,0,0,1,0,3,1,0,1
73, ,TIME ACTION COGNITIO,7,0,0,0,0,0,0,0,0,7,0,0
74, ,Z SAUGETIERKD,7,0,0,0,0,0,0,1,2,0,0,4
75, ,Z VERGL PHYSIOL,7,0,0,0,0,0,0,0,0,0,0,7
76, ,BIOL BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
77,2.429,CURR ANTHROPOL,6,0,1,1,2,0,0,0,0,0,0,2
78, ,CURR ORNITHOL,6,0,0,0,0,0,2,0,0,0,1,3
79, ,NONPARAMETRIC STAT B,6,0,0,0,0,0,0,0,0,0,0,6
80, ,PERSPECTIVES ETHOLOG,6,0,0,0,0,0,0,0,2,0,0,4
81, ,PHARMACOL BIOCHEM BE,6,0,0,0,1,1,0,0,0,1,0,3
82, ,PSYCHOPHARMACOLOGY,6,0,0,0,1,0,0,0,2,0,0,3
83, ,TIME DYNAMIC CONTROL,6,0,0,2,0,0,4,0,0,0,0,0
84, ,B PSYCHONOMIC SOC,5,0,0,0,0,0,0,0,0,1,0,4
85,14.250,BEHAV BRAIN SCI,5,0,0,0,0,0,0,0,1,0,0,4
86, ,BEHAV ECOL EVOLUT,5,0,0,0,1,0,0,0,0,0,3,1
87, ,ECOL EVOLUTION AC,5,0,0,0,0,5,0,0,0,0,0,0
88, ,HORM BEHAV,5,1,0,0,1,0,0,0,0,1,0,2
89,2.247,J EXP PSYCHOL HUMAN,5,0,1,0,0,0,2,0,0,0,0,2
90, ,J EXP ZOOL,5,0,1,0,0,1,1,0,0,0,0,2
91, ,J FISH BIOL,5,0,0,1,1,0,0,0,0,2,0,1
92, ,J IMMUNOL,5,0,0,0,0,0,0,0,0,0,0,5
93, ,J WILDLIFE MANAGE,5,0,0,0,0,1,1,0,0,0,0,3
94, ,MOL ECOL,5,0,0,1,4,0,0,0,0,0,0,0
95, ,SCHEDULES REINFORCE,5,0,0,0,0,0,0,0,0,0,0,5
96, ,SEXUAL SELECTION,5,0,0,0,0,0,0,5,0,0,0,0
97, ,ACOUSTIC COMMUNICATI,4,0,0,0,0,0,0,0,0,0,0,4
98, ,ACTA THERIOLOGICA SI,4,0,0,0,0,0,0,0,0,0,0,4
99, ,AM J PHYSIOL,4,0,0,0,0,0,0,0,0,0,0,4
100, ,AMPHIBIA-REPTILIA,4,0,0,0,1,0,0,0,0,1,0,2
101, ,BEHAV MECH EVOLUTION,4,0,0,0,0,0,0,4,0,0,0,0
102, ,BEHAV NEUROSCI,4,0,1,1,0,0,0,0,1,0,0,1
103, ,BEHAV P,4,1,0,0,0,0,0,0,0,0,0,3
104, ,BEHAV PHARMACOL,4,0,1,0,2,0,1,0,0,0,0,0
105, ,BIOL J LINN SOC,4,0,0,0,1,0,0,0,0,0,1,2
106, ,BRIT SOC ANIMAL SCI,4,0,0,0,3,1,0,0,0,0,0,0
107, ,EVOLUTION PARENTAL C,4,0,0,0,0,0,0,0,0,0,4,0
108, ,EXPERIENTIA,4,0,0,0,0,0,0,0,0,0,0,4
109, ,FATHER CHILD RELATIO,4,0,0,0,0,0,0,0,0,4,0,0
110, ,HERPETOLOGICA,4,0,0,1,0,0,0,0,1,0,0,2
111, ,HUM REPROD BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
112, ,INFORM PROCESSI,4,0,0,0,0,0,0,0,0,0,0,4
113, ,J ANIM SCI,4,0,0,2,0,0,0,0,1,0,0,1
114, ,J EVOLUTION BIOL,4,0,2,0,0,1,0,0,0,0,0,1
115, ,J EXP BIOL,4,0,0,1,0,0,0,0,0,0,0,3
116, ,MAMMALIA,4,0,0,0,0,0,0,1,0,0,1,2
