Citing Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL BEHAVIOR PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1323,12,52,73,68,62,62,50,56,52,51,785
2, ,ALL OTHERS (210),210,5,15,13,9,10,10,3,7,10,8,120
3,1.365,J EXP PSYCHOL ANIM B,138,0,2,8,14,12,9,6,10,5,8,64
4,1.105,ANIM LEARN BEHAV,102,0,7,5,10,6,9,7,6,7,4,41
5,6.069,PSYCHOL REV,60,1,0,2,3,1,0,4,1,2,0,46
6,1.172,J EXP ANAL BEHAV,56,0,4,0,0,3,1,2,1,2,3,40
7,1.156,LEARN MOTIV,50,1,1,4,3,2,0,2,1,1,2,33
8, ,J EXP PSYCHOL ANIMA,45,3,7,0,1,1,2,0,0,1,0,30
9, ,J COMP PHYSIOL PSYCH,37,0,0,0,0,0,0,0,0,0,0,37
10,1.000,Q J EXP PSYCHOL-B,37,1,0,2,3,3,6,2,0,3,3,14
11, ,BEHAV NEUROSCI,29,0,2,0,3,0,2,0,4,3,3,12
12,6.913,PSYCHOL BULL,22,0,3,0,0,0,0,0,5,0,1,13
13,0.906,BEHAV PROCESS,21,0,5,7,1,1,1,2,0,0,0,4
14, ,INFORM PROCESSI,20,0,0,0,0,0,0,0,0,0,0,20
15,1.477,J COMP PSYCHOL,20,0,0,2,3,2,0,2,0,3,1,7
16, ,ANIM BEHAV,19,0,3,2,0,1,3,4,1,0,1,4
17, ,J COMP PHYSIOL,18,0,0,0,0,0,0,0,0,0,0,18
18, ,NATURE,16,0,0,0,3,2,0,2,2,0,0,7
19, ,SCIENCE,16,0,0,4,0,0,0,0,0,0,0,12
20, ,CLASSICAL CONDITION,15,0,0,0,0,0,0,0,0,0,0,15
21, ,J NEUROSCI,15,0,1,1,0,1,5,0,1,0,0,6
22,1.419,PHYSIOL BEHAV,13,0,0,4,0,1,1,0,1,0,1,5
23, ,J EXP PSYCHOL,11,0,0,0,0,0,0,0,0,0,0,11
24,2.565,PSYCHOL SCI,11,0,0,1,2,1,0,2,2,2,1,0
25,1.194,PSYCHOBIOLOGY,10,0,1,0,0,0,0,2,0,1,0,6
26, ,B PSYCHONOMIC SOC,9,0,0,0,0,0,0,0,0,0,0,9
27,2.622,COGNITION,9,0,0,0,0,1,0,0,0,2,0,6
28, ,CONDITIONED REFLEXES,9,0,0,0,0,0,0,0,0,0,0,9
29,2.247,J EXP PSYCHOL HUMAN,9,0,0,2,2,0,1,0,1,0,0,3
30,1.252,PERCEPT PSYCHOPHYS,9,0,0,0,1,0,0,0,0,0,0,8
31, ,QUANT ANAL BE,9,0,0,0,0,0,0,0,0,0,0,9
32, ,BRAIN RES,7,0,0,0,0,0,0,1,1,0,1,4
33, ,PHARMACOL BIOCHEM BE,7,0,0,2,1,0,0,0,1,0,1,2
34,1.699,BEHAV RES THER,6,0,0,0,0,0,1,1,0,1,0,3
35, ,EXP BRAIN RES,6,0,0,0,1,0,1,2,0,0,0,2
36, ,J COMP PHYSIOL A,6,0,0,0,2,0,0,0,1,0,0,3
37, ,PSYCHOL LEARN MOTIV,6,0,0,0,0,0,0,0,0,0,0,6
38, ,PSYCHOPHARMACOLOGY,6,0,0,0,0,1,0,0,0,0,0,5
39,0.286,AM J PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
40,3.463,COGNITIVE PSYCHOL,5,0,1,0,0,0,0,0,0,0,0,4
41, ,ETHOLOGY,5,0,0,1,0,0,1,0,0,0,2,1
42, ,HIPPOCAMPUS,5,0,0,1,0,0,2,0,2,0,0,0
43, ,MECH ANIM DISCRIMI,5,0,0,0,0,0,0,0,0,0,0,5
44, ,PARALLEL DISTRIBUTED,5,0,0,0,0,0,0,0,0,0,0,5
45, ,TRENDS NEUROSCI,5,0,0,1,0,0,0,0,2,1,0,1
46, ,AM ZOOL,4,0,0,0,0,4,0,0,0,0,0,0
47,14.250,BEHAV BRAIN SCI,4,0,0,0,0,0,0,0,0,0,0,4
48, ,BEHAV NEURAL BIOL,4,0,0,0,0,0,0,0,1,0,0,3
49,0.750,BEHAV RES METH INS C,4,0,0,0,0,0,0,0,1,0,0,3
50, ,BIOL CYBERN,4,0,0,0,0,0,0,0,0,0,2,2
51, ,CAN J PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
52, ,CONTEXT LEARN,4,0,0,0,0,0,0,0,0,0,0,4
53,1.430,CURR DIR PSYCHOL SCI,4,0,0,0,0,0,0,3,1,0,0,0
54, ,J ACOUST SOC AM,4,0,0,0,0,0,0,0,0,1,0,3
55, ,PRIMATES,4,0,0,0,0,0,0,0,0,0,0,4
56, ,PSYCHON SCI,4,0,0,0,0,0,0,0,0,0,0,4
57,3.106,PSYCHOPHYSIOLOGY,4,0,0,1,0,1,1,0,0,0,0,1
58, ,APPETITE,3,0,0,0,1,0,0,0,0,0,1,1
59, ,CHEM SENSES,3,0,0,0,0,0,1,0,0,0,0,2
60, ,COGNITIVE PROCESS,3,0,0,0,0,0,0,0,0,0,0,3
61, ,CONT LEARN THEORI,3,0,0,0,0,0,0,0,0,0,0,3
62, ,CURR TOPICS ANIMA,3,0,0,0,0,0,0,0,0,0,3,0
63, ,DEV PSYCHOBIOL,3,0,0,0,0,0,1,0,1,0,0,1
64, ,HABITUATION PERSPECT,3,0,0,0,0,0,0,0,0,0,0,3
65, ,INTEGRATIVE ACTIVITY,3,0,0,0,0,0,0,0,0,0,0,3
66,3.636,J EXP PSYCHOL GEN,3,0,0,0,0,1,0,0,0,1,0,1
67,0.122,JPN PSYCHOL RES,3,0,0,0,3,0,0,0,0,0,0,0
68, ,LEARN BEHAV THERA,3,0,0,3,0,0,0,0,0,0,0,0
69, ,LEARN COMPUTATION,3,0,0,0,0,0,0,0,0,0,0,3
70, ,LECT CONDITIONED REF,3,0,0,0,0,0,0,0,0,0,0,3
71, ,NEURAL NETWORKS,3,0,0,0,0,0,0,0,0,0,0,3
72, ,OCCASION SETTING ASS,3,0,0,3,0,0,0,0,0,0,0,0
73, ,ORG LEARN,3,0,0,0,0,0,0,0,0,0,0,3
74, ,PAVLOVIAN J BIOL SCI,3,0,0,0,0,0,0,0,0,0,0,3
75, ,PERCEPT ASSOC LEARN,3,0,0,0,0,0,0,0,0,0,3,0
76,1.580,PSYCHON B REV,3,0,0,1,0,0,2,0,0,0,0,0
77, ,ACTA BIOL EXP WARSAW,2,0,0,0,0,0,0,0,0,0,0,2
78, ,ADV ANAL BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
79, ,AM J PHYSIOL-REG I,2,0,0,0,0,0,0,0,0,0,0,2
80,6.857,AM PSYCHOL,2,0,0,0,0,0,0,0,0,1,0,1
81, ,ANIM COGNITION TRI,2,0,0,0,0,0,0,0,2,0,0,0
82, ,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,0,0,0,2
83, ,ANNU REV NEUROSCI,2,0,0,0,0,1,0,0,0,0,0,1
84, ,ANOVA ANAL VARIANCE,2,0,0,0,0,0,0,2,0,0,0,0
85, ,ARCH NEERL ZOOL,2,0,0,0,0,0,0,0,0,0,0,2
86, ,AUTOSHAPING CONDITIO,2,0,0,0,0,0,0,0,0,0,0,2
87, ,BEHAV ECOL SOCIOBIOL,2,0,0,0,0,0,0,0,0,0,0,2
88, ,BEHAV NONHUM PRIMATE,2,0,0,0,0,0,0,0,0,0,0,2
89,1.863,COGNITION EMOTION,2,0,0,0,0,0,0,0,0,0,0,2
90, ,COGNITIVE ASPECTS ST,2,0,0,0,0,0,0,0,0,2,0,0
91, ,COGNITIVE BRAIN RES,2,0,0,0,0,1,0,0,0,1,0,0
92, ,COMP PERCEPTION,2,0,0,0,0,0,0,0,0,0,0,2
93, ,ENCY MOL BIOL MOL ME,2,0,0,0,0,2,0,0,0,0,0,0
94, ,EXP BIOL,2,0,0,0,0,0,0,0,0,0,0,2
95, ,EXP NEUROL,2,0,0,0,0,1,0,0,0,0,0,1
96, ,HABITUATION,2,0,0,0,0,0,0,0,0,0,0,2
97, ,IN PRESS J EXPT PSYC,2,0,0,0,0,0,0,0,0,0,0,2
98,1.466,J APPL BEHAV ANAL,2,0,0,0,2,0,0,0,0,0,0,0
99, ,J EXP BIOL,2,0,0,0,0,2,0,0,0,0,0,0
100, ,J EXP PSYCHOL GENER,2,0,0,0,0,0,0,0,0,0,0,2
