Cited Journal Data: DEVELOPMENTAL SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,5700,107,239,397,886,550,758,486,639,359,362,917
2,,ALL OTHERS (313),313,3,19,28,47,38,26,26,37,24,23,42
3,2.560,FRONT PSYCHOL,352,20,16,24,47,31,60,18,35,19,15,67
4,2.549,J EXP CHILD PSYCHOL,230,1,9,16,34,21,38,23,24,9,14,41
5,,PLOS ONE,219,5,11,19,36,19,27,18,26,16,9,33
6,3.808,DEVELOPMENTAL SCI,177,4,6,18,38,14,22,16,20,8,9,22
7,4.141,DEV PSYCHOL,169,2,5,12,23,16,21,20,23,11,11,25
8,4.061,CHILD DEV,147,2,4,10,27,15,24,11,9,6,9,30
9,,DEV PSYCHOBIOL,144,0,2,15,19,23,11,4,15,15,16,24
10,,FRONT HUM NEUROSCI,126,4,6,8,21,15,24,7,12,13,3,13
11,3.479,COGNITION,110,1,7,6,15,12,13,9,16,7,7,17
12,1.683,J COGN DEV,88,0,0,5,14,8,11,10,13,4,6,17
13,,PHILOS T R SOC B,85,0,3,7,16,5,13,4,13,8,1,15
14,1.349,INFANT BEHAV DEV,73,1,0,4,14,1,5,4,13,3,6,22
15,,DEV COGN NEUROS-NETH,69,2,6,6,12,7,5,1,8,4,5,13
16,3.665,J AUTISM DEV DISORD,69,0,1,3,7,4,13,3,4,8,14,12
17,3.302,NEUROPSYCHOLOGIA,69,3,4,6,5,8,8,2,8,5,3,17
18,2.086,INFANCY,67,0,3,5,10,7,5,3,9,3,7,15
19,4.000,DEV REV,59,2,5,3,9,4,6,3,10,2,5,10
20,2.172,COGNITIVE DEV,54,0,1,4,6,7,7,7,7,3,6,6
21,,NEUROIMAGE,52,0,1,6,12,6,5,5,5,3,4,5
22,1.598,J CHILD LANG,50,0,0,3,9,4,5,10,1,1,4,13
23,,NEUROSCI BIOBEHAV R,47,1,3,2,5,4,8,3,8,3,5,5
24,4.940,PSYCHOL SCI,46,3,2,5,8,5,7,6,4,0,0,6
25,3.264,CHILD DEV PERSPECT,44,5,5,6,8,2,6,4,3,0,1,4
26,2.070,J SPEECH LANG HEAR R,43,0,1,6,5,4,7,5,1,4,1,9
27,1.887,RES DEV DISABIL,41,0,2,4,5,7,6,4,2,2,5,4
28,21.965,TRENDS COGN SCI,39,2,5,7,7,3,4,1,5,2,1,2
29,2.841,BRIT J DEV PSYCHOL,36,0,3,2,6,2,7,2,4,0,3,7
30,3.369,PSYCHON B REV,36,0,2,1,9,1,7,7,3,1,2,3
31,2.863,PSYCHOL RES-PSYCH FO,34,0,2,1,10,1,12,3,3,1,0,1
32,7.372,SOC COGN AFFECT NEUR,34,0,0,1,8,7,5,1,2,6,1,3
33,1.671,EARLY CHILD RES Q,32,0,0,2,5,3,3,4,2,3,0,10
34,,ANIM COGN,31,0,0,3,5,2,2,2,3,2,3,9
35,,SCI REP-UK,31,3,2,0,3,4,8,0,2,2,1,6
36,20.771,BEHAV BRAIN SCI,30,0,2,3,7,3,5,2,5,1,0,2
37,2.477,BRAIN COGNITION,30,0,0,1,12,1,1,2,9,3,0,1
38,5.064,COGNITIVE PSYCHOL,30,0,1,1,3,4,6,2,5,2,2,4
39,6.459,J CHILD PSYCHOL PSYC,30,1,3,2,4,6,5,2,2,0,3,2
40,2.127,Q J EXP PSYCHOL,30,0,2,1,5,3,6,5,3,0,2,3
41,,HUM BRAIN MAPP,29,0,1,1,9,4,3,3,2,3,1,2
42,2.212,RES AUTISM SPECT DIS,29,0,1,1,5,5,2,6,1,2,2,4
43,,FRONT BEHAV NEUROSCI,27,1,2,0,3,4,7,0,4,0,2,4
44,,FRONT NEUROSCI-SWITZ,27,2,3,3,5,0,4,1,4,3,0,2
45,1.316,INT J BEHAV DEV,27,1,1,0,3,6,2,3,3,1,2,5
46,,P NATL ACAD SCI USA,27,4,1,1,7,2,1,2,4,1,3,1
47,14.756,PSYCHOL BULL,27,0,0,3,6,3,1,1,1,0,1,11
48,2.241,DEV NEUROPSYCHOL,26,1,2,3,3,2,2,7,2,1,1,2
49,1.179,INFANT CHILD DEV,26,0,1,1,4,4,9,2,0,0,0,5
50,4.085,J COGNITIVE NEUROSCI,26,0,0,1,7,2,3,0,6,3,1,3
51,1.966,MONOGR SOC RES CHILD,26,0,1,0,7,0,1,1,3,3,3,7
52,,CEREB CORTEX,25,0,1,1,6,2,4,1,3,5,0,2
53,2.344,J COMP PSYCHOL,25,0,0,1,4,5,3,2,1,3,0,6
54,1.869,WIRES COGN SCI,25,1,4,3,2,1,5,2,4,1,0,2
55,2.248,ACTA PSYCHOL,24,0,2,0,4,4,2,2,2,2,2,4
56,2.446,COGNITIVE SCI,24,0,1,2,2,0,2,3,8,0,1,5
57,5.929,J EXP PSYCHOL GEN,24,1,1,1,3,2,4,1,4,2,2,3
58,1.512,APPL PSYCHOLINGUIST,23,0,0,0,2,2,3,6,2,1,2,5
59,4.330,AUTISM RES,23,0,2,0,5,3,3,3,2,1,3,1
60,1.612,LANG LEARN,23,1,0,3,3,0,5,1,0,3,2,5
61,,EXP BRAIN RES,22,0,3,4,3,0,4,1,1,2,1,3
62,2.009,BILING-LANG COGN,21,0,0,0,1,0,5,5,3,1,2,4
63,0.842,ECOL PSYCHOL,21,0,1,1,3,1,3,1,4,4,1,2
64,4.237,J MEM LANG,21,0,0,1,1,2,5,3,3,3,0,3
65,,J NEURODEV DISORD,20,2,1,0,2,3,3,2,2,0,2,3
66,5.678,CURR DIR PSYCHOL SCI,19,0,2,3,3,3,2,1,1,2,0,2
67,3.518,J EDUC PSYCHOL,19,0,0,0,6,0,5,5,0,0,1,2
68,,SOC NEUROSCI-UK,19,1,1,2,3,4,2,0,3,1,2,0
69,,BIOL PSYCHIAT,18,0,0,0,4,2,1,1,3,3,3,1
70,3.215,BRAIN LANG,18,1,0,2,3,0,2,3,2,1,0,4
71,,CHILD NEUROPSYCHOL,18,0,0,2,2,2,5,1,0,0,2,4
72,1.389,EVOL PSYCHOL-US,18,0,2,1,2,3,3,1,3,0,1,2
73,1.400,FIRST LANG,18,0,0,0,1,0,4,2,2,3,1,5
74,3.383,EMOTION,17,0,0,2,0,3,7,0,1,0,0,4
75,1.788,HUM DEV,17,0,1,1,1,3,2,2,6,0,0,1
76,3.269,NEUROPSYCHOLOGY,17,0,0,1,3,2,3,2,1,3,1,1
77,,DEV NEUROSCI-BASEL,16,1,2,1,6,1,1,0,3,1,0,0
78,3.240,DEV PSYCHOPATHOL,16,0,0,2,2,3,2,2,1,1,1,2
79,3.779,J ATTEN DISORD,16,0,0,0,2,0,10,2,0,0,1,1
80,1.621,LEARN INDIVID DIFFER,16,1,1,0,4,3,0,2,2,0,1,2
81,,VISION RES,16,0,1,1,7,1,2,1,0,1,0,2
82,0.504,AN PSICOL-SPAIN,15,0,0,0,2,2,4,2,0,1,1,3
83,21.810,ANNU REV PSYCHOL,15,0,0,2,3,6,1,2,0,0,1,0
84,3.403,BIOL PSYCHOL,15,0,1,0,0,3,2,0,2,2,2,3
85,,BRAIN RES,15,1,0,2,5,6,0,0,0,0,0,1
86,1.721,EUR J DEV PSYCHOL,15,0,1,0,3,2,1,4,0,0,2,2
87,0.739,SYNTHESE,15,0,0,1,0,1,0,3,2,0,1,7
88,,APPL NEUROPSYCH-CHIL,14,0,0,0,3,0,6,0,1,2,0,2
89,2.565,EDUC PSYCHOL REV,14,0,3,1,4,1,3,0,1,0,1,0
90,,J INT NEUROPSYCH SOC,14,0,1,1,2,1,2,2,0,1,0,4
91,0.500,JPN PSYCHOL RES,14,0,1,2,1,1,1,1,0,1,2,4
92,2.986,PSYCHOPHYSIOLOGY,14,0,2,0,1,2,0,0,1,2,1,5
93,1.244,INTERACT STUD,13,0,0,0,0,1,2,2,1,0,1,6
94,1.594,AM J SPEECH-LANG PAT,12,2,0,1,0,2,0,1,0,1,1,4
95,0.765,EARLY EDUC DEV,12,0,0,2,2,1,0,2,0,2,1,2
