Citing Journal Data: BEHAVIORAL AND BRAIN SCIENCES,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,5615,51,350,397,434,363,418,327,299,277,207,2492
2, ,ALL OTHERS (1562),1562,19,78,102,97,94,96,61,62,56,56,841
3,5.031,J PERS SOC PSYCHOL,172,0,6,5,8,3,9,9,3,8,7,114
4, ,SCIENCE,135,0,3,6,16,9,10,3,10,12,6,60
5,20.771,BEHAV BRAIN SCI,112,1,6,6,5,7,5,5,6,6,11,54
6, ,P NATL ACAD SCI USA,98,0,8,9,15,9,19,4,9,3,3,19
7,4.940,PSYCHOL SCI,93,0,13,8,9,12,11,8,8,4,4,16
8,21.965,TRENDS COGN SCI,82,0,6,7,11,6,4,2,12,8,3,23
9,7.972,PSYCHOL REV,72,0,1,4,1,2,0,3,2,1,1,57
10, ,PLOS ONE,71,1,17,16,17,4,7,6,3,0,0,0
11, ,NATURE,69,0,3,3,0,3,4,5,3,7,5,36
12, ,CURR BIOL,57,0,6,4,6,3,8,8,9,7,2,4
13,2.285,J EXP SOC PSYCHOL,57,1,2,3,11,4,7,7,2,4,4,12
14,3.479,COGNITION,54,2,2,2,3,1,3,4,3,4,2,28
15, ,J NEUROSCI,53,0,8,5,6,3,4,4,5,5,0,13
16, ,PHILOS T R SOC B,47,0,1,12,12,1,5,1,2,1,2,10
17,2.909,PERS SOC PSYCHOL B,46,1,2,2,4,3,1,4,0,2,3,24
18, ,NEUROIMAGE,45,0,1,8,5,3,3,5,6,5,1,8
19,4.061,CHILD DEV,44,2,3,5,2,4,3,3,1,1,0,20
20,14.756,PSYCHOL BULL,43,0,0,0,3,2,1,3,1,2,0,31
21,3.215,BRAIN LANG,35,0,5,0,0,6,0,2,0,4,0,18
22, ,NEURON,33,1,0,4,2,4,3,3,3,1,1,11
23, ,BRAIN,32,0,0,1,0,1,0,2,2,0,2,24
24,6.100,AM PSYCHOL,31,0,0,2,1,0,1,2,0,3,1,21
25, ,CEREB CORTEX,31,1,3,2,2,3,1,3,0,1,3,12
26, ,NAT NEUROSCI,31,0,0,0,3,0,2,3,7,2,6,8
27, ,P ROY SOC B-BIOL SCI,31,0,0,5,2,6,7,3,3,1,0,4
28, ,ANIM BEHAV,30,0,0,0,1,1,5,3,2,1,0,17
29, ,ANN NY ACAD SCI,30,0,0,2,2,0,10,4,0,0,0,12
30,3.808,DEVELOPMENTAL SCI,30,0,2,3,7,3,5,2,5,1,0,2
31,21.810,ANNU REV PSYCHOL,29,0,1,2,4,1,2,4,0,3,1,11
32, ,NAT REV NEUROSCI,29,0,0,2,3,6,2,1,0,5,2,8
33,4.141,DEV PSYCHOL,24,2,2,2,0,1,2,1,0,0,0,14
34,3.130,EVOL HUM BEHAV,24,1,3,2,3,1,4,2,4,0,0,4
35, ,J NEUROPHYSIOL,24,0,0,2,1,4,1,3,0,0,0,13
36,3.302,NEUROPSYCHOLOGIA,24,0,2,1,0,2,1,4,0,1,3,10
37,1.532,SOC COGNITION,24,2,0,2,7,2,3,2,1,1,0,4
38,1.941,CONSCIOUS COGN,23,0,0,2,2,3,2,2,1,2,2,7
39, ,EXP BRAIN RES,23,0,0,0,2,4,2,0,0,1,0,14
40,4.085,J COGNITIVE NEUROSCI,23,0,2,4,3,1,2,1,2,1,2,5
41,2.201,ORGAN BEHAV HUM DEC,23,0,1,1,0,0,1,0,0,0,1,19
42,3.358,J EXP PSYCHOL HUMAN,22,0,0,0,0,1,0,4,0,0,2,15
43,2.384,POLIT PSYCHOL,22,2,0,1,2,3,1,2,0,1,2,8
44,2.560,CURR ANTHROPOL,21,1,1,5,0,0,0,2,1,0,0,11
45,9.546,PERSPECT PSYCHOL SCI,21,0,3,1,5,1,3,4,1,3,0,0
46,5.678,CURR DIR PSYCHOL SCI,20,0,0,1,2,0,1,1,6,1,1,7
47,6.692,PERS SOC PSYCHOL REV,20,0,2,1,0,1,0,1,2,4,0,9
48,5.318,ADV EXP SOC PSYCHOL,19,0,2,1,1,0,1,0,0,0,0,14
49, ,CURR OPIN NEUROBIOL,19,0,1,2,2,2,1,2,1,3,3,2
50, ,J ACOUST SOC AM,19,0,1,0,0,0,1,3,0,2,1,11
51,3.688,AM POLIT SCI REV,17,0,3,1,0,2,0,1,0,0,1,9
52, ,J THEOR BIOL,17,0,0,1,0,1,1,2,0,1,1,10
53, ,ANNU REV NEUROSCI,16,0,0,0,1,1,0,4,2,0,0,8
54,5.279,J CONSULT CLIN PSYCH,16,0,0,2,0,3,1,3,1,1,0,5
55, ,TRENDS NEUROSCI,16,0,0,0,1,0,0,3,1,0,3,8
56,2.560,FRONT PSYCHOL,15,0,6,3,5,1,0,0,0,0,0,0
57, ,NEUROSCI BIOBEHAV R,15,0,3,1,4,1,1,0,0,2,0,3
58,1.190,BIOL PHILOS,14,0,0,0,0,0,0,2,0,2,1,9
59, ,BRAIN RES,14,1,0,0,0,0,2,2,0,1,0,8
60, ,CORTEX,14,0,3,0,0,1,4,0,0,3,0,3
61, ,EUR J NEUROSCI,14,0,2,0,0,2,2,2,2,1,0,3
62,1.297,J ECON BEHAV ORGAN,14,0,7,0,2,0,2,0,0,0,0,3
63,1.521,JUDGM DECIS MAK,14,0,0,2,3,1,5,2,1,0,0,0
64,3.269,AM J POLIT SCI,13,0,1,2,1,0,0,1,0,1,0,7
65,2.862,J EXP PSYCHOL LEARN,13,0,1,1,0,0,0,1,0,0,0,10
66,5.064,COGNITIVE PSYCHOL,12,0,0,0,0,1,2,0,0,2,1,6
67, ,BEHAVIOUR,11,0,0,0,1,0,0,0,1,1,0,8
68,2.446,COGNITIVE SCI,11,1,2,2,1,0,1,0,0,0,0,4
69,1.712,EUR J SOC PSYCHOL,11,0,1,1,0,2,0,1,0,3,0,3
70, ,HBK BEHAV NEUROSCI,11,0,0,0,0,11,0,0,0,0,0,0
71,5.929,J EXP PSYCHOL GEN,11,0,0,2,0,2,0,0,0,1,1,5
72,1.951,PERS INDIV DIFFER,11,0,2,0,1,2,0,1,1,0,0,4
73,7.372,SOC COGN AFFECT NEUR,11,0,6,1,2,0,0,0,1,1,0,0
74, ,BEHAV BRAIN RES,10,0,0,1,0,0,4,0,0,0,0,5
75, ,FRONT HUM NEUROSCI,10,0,2,6,0,2,0,0,0,0,0,0
76,2.500,HUM NATURE-INT BIOS,10,0,0,0,1,0,0,2,0,1,1,5
77, ,NEUROLOGY,10,0,0,0,0,0,0,1,1,0,0,8
78,3.369,PSYCHON B REV,10,0,0,0,0,0,1,1,2,2,2,2
79,2.561,SOC PSYCHOL PERS SCI,10,0,3,2,1,4,0,0,0,0,0,0
80, ,ANN NEUROL,9,0,0,0,0,1,0,0,0,1,0,7
81, ,BIOL THEOR,9,0,3,2,1,1,0,0,1,1,0,0
82, ,HANDB SOC PSYCHOL,9,0,0,0,0,7,0,0,0,0,0,2
83, ,HUM BRAIN MAPP,9,0,1,3,0,0,2,0,0,1,0,2
84,2.069,J BEHAV DECIS MAKING,9,0,1,1,2,0,1,0,0,0,0,4
85, ,J COMP NEUROL,9,0,1,0,0,0,0,1,0,0,0,7
86,3.229,J PERS,9,0,0,0,0,2,1,0,0,1,0,5
87,2.264,J RES PERS,9,0,0,3,1,0,1,0,0,1,0,3
88,6.250,PSYCHOL INQ,9,0,0,1,0,2,2,0,0,0,0,4
89, ,TRENDS ECOL EVOL,9,0,2,0,2,1,1,0,0,0,1,2
90, ,ADV STUD BEHAV,8,0,0,0,0,0,0,0,0,0,1,7
91,1.913,BRIT J SOC PSYCHOL,8,0,0,0,1,1,1,0,0,0,0,5
92,3.383,EMOTION,8,0,0,1,2,1,2,1,0,1,0,0
93,3.886,EVOL ANTHROPOL,8,0,0,0,0,0,2,0,0,0,0,6
94,1.389,EVOL PSYCHOL-US,8,0,1,1,0,2,2,0,1,0,1,0
95, ,EVOLUTION,8,0,1,1,0,0,0,0,0,2,0,4
96,2.344,J COMP PSYCHOL,8,0,2,1,0,0,0,0,0,0,1,4
97,2.255,J POLIT,8,0,0,1,1,2,0,3,0,0,0,1
