,0,1,2,3,4,5,6,7,8,9
0,NATURE,LECT NOTES COMPUT SC,P NATL ACAD SCI USA,AM PSYCHOL,SCIENCE,ANIM BEHAV,AM J PSYCHOL,ADV CHILD DEV BEHAV,ACAD MED,AM J PRIMATOL
1,,NEUROCOMPUTING,,J PERS SOC PSYCHOL,,BEHAV PROCESS,BEHAV BRAIN SCI,CHILD DEV,,ARTIF INTELL REV
2,,,,ORGAN BEHAV HUM DEC,,BEHAVIOUR,BRIT J PSYCHOL,DEV PSYCHOL,,ARTIF INTELL
3,,,,,,J COMP PSYCHOL,COGNITION,DEV REV,,COGNITION INSTRUCT
4,,,,,,,COGNITIVE PSYCHOL,HUM FACTORS,,COMPUT INTELL
5,,,,,,,COGNITIVE SCI,J AM SOC INFORM SCI,,CONNECT SCI
6,,,,,,,EUR J COGN PSYCHOL,J APPL DEV PSYCHOL,,CONTEMP EDUC PSYCHOL
7,,,,,,,J EXP PSYCHOL GEN,J CHILD LANG,,EXPERT SYST
8,,,,,,,J EXP PSYCHOL LEARN,J EDUC PSYCHOL,,INT J HUM-COMPUT ST
9,,,,,,,J MEM LANG,MONOGR SOC RES CHILD,,INT J PRIMATOL
10,,,,,,,J PSYCHOLINGUIST RES,TRAV HUMAIN,,INT J SCI EDUC
11,,,,,,,LANG COGNITIVE PROC,,,J COMPUT ASSIST LEAR
12,,,,,,,MEM COGNITION,,,J EXP PSYCHOL ANIM B
13,,,,,,,PSYCHOL REV,,,J HUM EVOL
14,,,,,,,PSYCHOL SCI,,,J LEARN SCI
15,,,,,,,PSYCHON B REV,,,J PRAGMATICS
16,,,,,,,,,,J RES SCI TEACH
17,,,,,,,,,,LEARN INSTR
18,,,,,,,,,,LECT NOTES ARTIF INT
19,,,,,,,,,,MACH LEARN
20,,,,,,,,,,MIND MACH
21,,,,,,,,,,NEURAL COMPUT
22,,,,,,,,,,PHILOS PSYCHOL
23,,,,,,,,,,PRIMATES
24,,,,,,,,,,USER MODEL USER-ADAP
