Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,3065,90,354,440,314,359,296,253,323,174,166,296
2,,ALL OTHERS (150),150,2,17,21,14,15,15,13,13,15,8,17
3,1.554,ACAD MED,696,52,112,101,72,72,59,60,69,28,33,38
4,1.078,MED EDUC,271,11,25,37,19,38,29,28,25,20,10,29
5,0.785,MED TEACH,174,3,36,40,17,13,10,6,20,9,4,16
6,0.586,TEACH LEARN MED,93,1,4,9,6,17,13,9,11,4,5,14
7,,FAM MED,86,0,8,15,10,8,15,5,7,4,4,10
8,2.421,J GEN INTERN MED,84,2,8,13,11,8,6,8,10,4,7,7
9,15.402,JAMA-J AM MED ASSOC,78,4,17,13,13,11,3,3,2,4,4,4
10,3.742,PEDIATRICS,65,0,3,11,17,11,9,5,1,1,4,3
11,,J RURAL HEALTH,63,1,8,0,2,4,4,9,6,10,7,12
12,5.960,AM J MED,58,1,3,21,8,7,6,8,2,0,2,0
13,,ACAD PSYCHIATR,52,0,2,5,7,7,5,8,8,1,1,8
14,0.852,AM J PHARM EDUC,46,1,3,8,4,2,1,5,14,2,1,5
15,1.419,ACAD EMERG MED,36,1,2,3,0,2,6,4,8,1,4,5
16,1.182,CLIN ORTHOP RELAT R,32,0,1,10,4,1,2,3,3,3,1,4
17,2.116,AM J SURG,31,0,0,3,2,5,2,3,4,3,4,5
18,0.912,ACAD RADIOL,30,0,2,5,4,3,3,3,4,1,1,4
19,,J EVAL CLIN PRACT,29,0,6,3,3,0,2,0,7,2,1,5
20,1.701,ARCH PEDIAT ADOL MED,28,0,1,6,2,4,2,3,8,0,0,2
21,2.352,CAN MED ASSOC J,27,0,6,1,5,1,4,1,2,4,2,1
22,6.055,ARCH INTERN MED,26,1,0,6,1,4,5,1,2,0,2,4
23,,SOC SCI MED,23,0,0,4,3,1,4,2,0,3,3,3
24,29.512,NEW ENGL J MED,18,0,3,0,3,5,1,0,1,0,1,4
25,2.091,OBSTET GYNECOL,17,0,5,4,1,1,1,1,3,1,0,0
26,9.833,ANN INTERN MED,16,0,1,2,0,3,5,0,0,1,2,2
27,3.824,CRIT CARE MED,16,0,0,5,1,3,1,1,1,1,2,1
28,0.037,ADV PHYSIOL EDUC,15,1,2,0,0,2,1,3,2,1,2,1
29,3.136,J AM GERIATR SOC,15,0,2,4,2,1,1,1,0,1,1,2
30,3.089,J AM MED INFORM ASSN,15,1,2,3,1,1,2,0,3,1,0,1
31,1.520,AM J MED SCI,14,0,0,0,1,1,3,1,2,0,2,4
32,1.289,CLIN INVEST MED,14,0,1,1,0,3,5,0,0,0,2,2
33,0.930,AM J PHYS MED REHAB,13,0,0,0,0,1,4,1,4,0,0,3
34,2.851,J FAM PRACTICE,13,0,3,1,2,2,0,2,0,0,1,2
35,0.395,J WOMEN HEALTH GEN-B,13,1,0,1,4,0,3,1,1,0,1,1
36,3.269,AM J PUBLIC HEALTH,12,0,0,1,4,3,1,1,0,0,0,2
37,2.183,ANN EMERG MED,12,0,2,1,0,1,2,0,2,1,1,2
38,,J AM ACAD PSYCHIATRY,12,0,0,0,4,8,0,0,0,0,0,0
39,2.192,AM J PREV MED,11,0,1,2,2,1,2,1,2,0,0,0
40,0.955,J MED ETHICS,11,0,0,1,0,3,0,3,1,0,2,1
41,5.012,AM J CLIN NUTR,10,0,0,1,0,4,0,0,0,1,0,4
42,0.810,J LAW MED ETHICS,10,1,1,0,2,0,1,0,1,0,2,2
43,1.015,OPTOMETRY VISION SCI,10,0,0,0,0,0,2,1,0,1,3,3
44,1.423,PLAST RECONSTR SURG,10,0,0,1,0,1,3,0,2,1,2,0
45,0.290,REV MED CHILE,10,1,2,0,0,0,1,0,1,1,1,3
46,0.642,AM J MANAGE CARE,9,0,0,0,6,0,0,2,0,0,0,1
47,3.823,HEALTH AFFAIR,9,0,1,1,0,7,0,0,0,0,0,0
48,,J CANCER EDUC,9,0,0,1,1,0,1,4,1,0,0,1
49,0.270,J ROY SOC MED,9,0,1,0,0,2,0,0,3,1,1,1
50,,NURS EDUC TODAY,9,0,0,0,0,1,2,0,4,1,0,1
51,,QUAL HEALTH RES,9,0,0,8,1,0,0,0,0,0,0,0
52,0.593,SOUTHERN MED J,9,0,3,1,1,1,2,0,0,0,1,0
53,2.456,SURGERY,9,0,0,0,2,2,0,1,0,0,2,2
54,0.643,WESTERN J MED,9,0,0,1,2,1,2,1,0,0,0,2
55,2.262,ARCH FAM MED,8,0,0,2,0,3,1,1,0,0,1,0
56,2.629,ARCH SURG-CHICAGO,8,0,1,0,0,0,1,0,2,1,1,2
57,0.407,CAN FAM PHYSICIAN,8,0,0,0,0,2,2,1,1,0,0,2
58,,HEALTH CARE MANAGE R,8,0,0,2,1,3,0,1,0,0,0,1
59,,J NURS SCHOLARSHIP,8,0,2,0,3,2,1,0,0,0,0,0
60,,J PROF NURS,8,0,0,0,2,1,0,1,3,1,0,0
61,0.750,MED CLIN-BARCELONA,8,0,0,5,0,1,0,1,1,0,0,0
62,0.650,CLIN ANAT,7,0,4,0,1,0,1,0,0,0,1,0
63,0.027,ISRAEL MED ASSOC J,7,0,2,0,1,1,2,1,0,0,0,0
64,1.928,MED J AUSTRALIA,7,0,2,0,0,0,1,0,1,0,0,3
65,1.795,PSYCHIATR SERV,7,0,0,0,2,4,0,0,1,0,0,0
66,1.863,AM J ROENTGENOL,6,0,0,0,1,2,2,1,0,0,0,0
67,1.101,AM SURGEON,6,0,1,2,0,0,0,1,1,0,1,0
68,1.288,ANAT REC,6,0,1,0,1,0,2,1,0,0,0,1
69,5.331,BRIT MED J,6,0,0,1,0,1,1,1,0,0,0,2
70,,HARVARD REV PSYCHIAT,6,0,0,0,0,0,0,0,2,3,1,0
71,1.966,HEALTH ECON,6,1,0,1,0,2,0,1,1,0,0,0
72,,J ADULT DEV,6,0,0,0,0,2,0,0,0,2,1,1
73,,J ADV NURS,6,0,0,2,0,0,1,0,0,1,0,2
74,,J NURS ADMIN,6,0,1,0,1,1,0,0,2,1,0,0
75,10.232,LANCET,6,0,3,0,1,0,1,1,0,0,0,0
76,2.242,MAYO CLIN PROC,6,0,3,0,0,0,1,0,0,0,2,0
77,,MED CARE RES REV,6,1,0,0,0,4,0,0,1,0,0,0
78,1.222,PHYS THER,6,1,0,1,0,0,1,1,0,0,1,1
79,,PSYCHIAT ANN,6,0,0,2,0,0,1,0,1,1,0,1
80,,SOC AGING,6,0,0,0,0,0,0,0,1,5,0,0
81,4.524,ANNU REV PUBL HEALTH,5,0,2,2,0,0,1,0,0,0,0,0
82,1.400,COMPR PSYCHIAT,5,0,0,0,1,1,0,0,1,1,0,1
83,1.078,FAM PRACT,5,0,0,1,1,0,1,1,0,0,0,1
84,1.315,HASTINGS CENT REP,5,0,0,2,0,1,0,0,1,1,0,0
85,,INSTR SCI,5,0,0,0,1,1,0,0,2,0,0,1
86,,INT ANESTHESIOL CLIN,5,0,1,0,1,2,0,0,0,0,0,1
87,2.222,J BONE JOINT SURG AM,5,0,2,1,1,0,0,0,0,1,0,0
88,,J HEALTHC MANAG,5,0,0,0,1,2,1,0,0,0,0,1
89,1.153,J PALLIATIVE CARE,5,0,0,2,0,0,2,0,0,0,1,0
90,1.674,J SURG RES,5,0,0,1,1,1,0,0,0,1,1,0
91,0.589,M D COMPUT,5,0,1,0,1,1,0,0,2,0,0,0
92,2.899,NEUROSURGERY,5,0,2,1,0,0,1,0,0,0,0,1
93,2.494,ADDICTION,4,0,0,0,0,1,0,0,1,2,0,0
94,,AM BEHAV SCI,4,0,0,1,0,2,0,0,0,1,0,0
95,2.519,AM J OBSTET GYNECOL,4,0,1,2,0,0,0,0,0,1,0,0
96,2.444,ANN RHEUM DIS,4,0,0,0,0,0,0,0,2,0,0,2
97,,APPL ECON,4,0,0,0,0,0,0,0,1,0,1,2
98,0.197,ARQ NEURO-PSIQUIAT,4,0,0,0,0,0,0,0,4,0,0,0
99,2.451,CHEST,4,0,1,1,1,1,0,0,0,0,0,0
100,,J CLIN ETHIC,4,0,0,0,0,0,0,2,0,0,1,1
101,,J EDUC RES,4,0,0,0,0,1,0,0,2,1,0,0
102,,J NURS EDUC,4,0,0,0,0,0,2,0,1,1,0,0
103,1.837,J PAIN SYMPTOM MANAG,4,0,1,1,1,0,0,1,0,0,0,0
104,1.733,J TELEMED TELECARE,4,0,0,0,2,1,0,0,0,0,0,1
105,1.182,MED INFORM INTERNET,4,0,0,0,0,3,0,0,0,1,0,0
106,0.345,MEDICINA-BUENOS AIRE,4,0,1,0,0,0,0,1,0,0,1,1
107,0.628,MT SINAI J MED,4,0,0,0,0,0,1,0,1,0,0,2
108,1.517,PUBLIC HEALTH REP,4,0,0,3,0,1,0,0,0,0,0,0
109,4.130,RADIOLOGY,4,0,2,0,0,0,0,1,0,0,1,0
110,0.270,ACTA CHIR BELG,3,0,0,2,1,0,0,0,0,0,0,0
111,1.154,AM J HEALTH-SYST PH,3,0,0,0,0,0,1,1,1,0,0,0
112,2.479,AM J MED GENET,3,0,1,1,0,0,0,0,1,0,0,0
113,5.443,AM J RESP CRIT CARE,3,0,1,0,0,0,0,0,2,0,0,0
114,,AM PSYCHOL,3,0,1,0,0,0,0,1,0,0,1,0
115,0.413,AUST NZ J MED,3,0,1,1,0,0,0,1,0,0,0,0
116,0.627,AUST NZ J SURG,3,0,0,1,1,0,0,0,1,0,0,0
117,0.284,BIOCHEM EDUC,3,0,0,0,2,0,0,0,1,0,0,0
118,0.822,BRIT DENT J,3,0,0,1,0,1,0,0,0,0,1,0
119,1.149,CAN J ANAESTH,3,0,1,0,0,1,0,0,0,0,0,1
120,1.232,CLIN GERIATR MED,3,0,1,1,0,1,0,0,0,0,0,0
121,,HIGH EDUC,3,0,0,0,0,0,0,0,1,1,1,0
122,,ISRAEL J PSYCHIAT,3,0,0,0,1,0,1,0,0,0,1,0
123,3.046,J ACQ IMMUN DEF SYND,3,0,0,1,1,0,0,1,0,0,0,0
124,2.131,J AM ACAD DERMATOL,3,0,0,1,1,0,0,0,0,0,1,0
125,,J HEALTH CARE POOR U,3,0,0,1,0,0,0,0,0,0,0,2
126,,J LEGAL MED,3,1,0,2,0,0,0,0,0,0,0,0
127,1.251,J OCCUP ENVIRON MED,3,0,0,0,0,1,0,0,0,2,0,0
128,1.541,J SURG ONCOL,3,0,0,0,1,1,1,0,0,0,0,0
129,3.114,J VASC SURG,3,0,0,2,1,0,0,0,0,0,0,0
130,0.130,J VET MED EDUC,3,0,0,0,0,0,1,0,2,0,0,0
131,0.531,OCCUP MED-OXFORD,3,0,1,0,0,2,0,0,0,0,0,0
132,2.461,OIKOS,3,0,0,0,0,1,0,0,0,0,1,1
133,0.085,QUAL PROG,3,0,0,0,0,0,0,1,2,0,0,0
134,,REV HIGH EDUC,3,0,0,0,0,0,1,0,1,0,1,0
135,0.461,S AFR MED J,3,0,2,0,0,0,1,0,0,0,0,0
136,0.153,SAUDI MED J,3,0,1,0,0,0,0,0,2,0,0,0
137,0.470,SCI ENG ETHICS,3,0,0,1,0,0,0,0,1,1,0,0
138,,SOC WORK HEALTH CARE,3,0,0,0,0,0,0,1,0,0,1,1
139,,ST HEAL T,3,0,1,2,0,0,0,0,0,0,0,0
140,0.314,SURG RADIOL ANAT,3,0,0,0,2,0,1,0,0,0,0,0
141,,AIDS CARE,2,0,0,0,0,0,2,0,0,0,0,0
142,0.888,AM FAM PHYSICIAN,2,0,0,1,0,0,1,0,0,0,0,0
143,2.762,AM J CARDIOL,2,0,2,0,0,0,0,0,0,0,0,0
144,1.054,AM J EMERG MED,2,0,0,0,0,2,0,0,0,0,0,0
145,2.834,AM J GASTROENTEROL,2,0,0,0,1,0,0,0,0,0,0,1
146,3.439,ANESTHESIOLOGY,2,0,2,0,0,0,0,0,0,0,0,0
147,5.987,ANN SURG,2,0,0,0,0,1,0,0,0,1,0,0
148,1.432,ARCH PATHOL LAB MED,2,0,0,0,0,0,0,0,1,0,1,0
