Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1310,23,66,115,91,109,103,77,92,56,45,533
2,,ALL OTHERS (96),96,1,3,10,8,8,4,5,7,6,0,44
3,1.437,AM J PRIMATOL,236,18,21,29,14,20,16,16,9,9,8,76
4,1.214,INT J PRIMATOL,118,0,2,7,8,9,7,12,6,5,6,56
5,0.885,PRIMATES,66,0,7,4,7,7,8,2,2,1,2,26
6,1.827,AM J PHYS ANTHROPOL,53,0,1,1,7,6,5,4,7,1,2,19
7,0.926,FOLIA PRIMATOL,51,1,2,2,2,6,4,5,6,4,1,18
8,0.494,ZOO BIOL,42,0,0,2,4,4,4,2,2,2,0,22
9,2.020,BEHAV ECOL SOCIOBIOL,36,0,2,3,3,3,0,2,0,2,0,21
10,2.138,ANIM BEHAV,27,0,1,3,3,4,2,0,4,0,2,8
11,1.066,ETHOLOGY,25,0,1,1,2,3,6,0,2,0,0,10
12,2.675,J HUM EVOL,20,0,0,0,1,2,2,1,5,0,1,8
13,2.553,HORM BEHAV,19,0,0,0,1,4,1,0,2,1,1,9
14,0.942,BEHAVIOUR,17,0,1,0,0,1,4,1,3,1,0,6
15,1.578,BIOL CONSERV,17,0,0,1,0,0,1,1,0,2,1,11
16,6.433,BIOL REV,16,1,3,0,0,1,0,0,0,0,0,11
17,0.881,APPL ANIM BEHAV SCI,15,0,1,1,0,3,2,3,0,0,2,3
18,,COGNITIVE SCI,15,0,0,0,1,1,1,1,4,1,0,6
19,2.814,CONSERV BIOL,15,0,0,4,0,0,0,0,1,1,1,8
20,,EVOL ANTHROPOL,15,0,0,0,2,2,1,0,1,1,1,7
21,1.912,GEN COMP ENDOCR,15,0,1,3,1,0,0,0,3,0,2,5
22,0.111,LAB ANIMAL,15,0,1,0,2,1,0,3,2,0,1,5
23,1.024,J ZOOL,14,0,0,0,1,4,0,0,0,0,1,8
24,1.477,J COMP PSYCHOL,13,0,1,2,0,1,0,0,3,2,0,4
25,,SLEEP MED REV,13,0,0,3,0,0,2,0,0,1,0,7
26,1.098,REPROD FERT DEVELOP,12,0,1,1,1,0,4,0,1,0,0,4
27,2.778,NEUROPSYCHOLOGIA,11,0,1,1,0,0,0,1,1,1,1,5
28,0.959,ORYX,9,0,1,2,1,0,0,0,0,1,1,3
29,2.130,BEHAV ECOL,8,0,0,0,0,0,1,0,0,0,0,7
