Cited Journal Data: AMERICAN JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1153,1,8,6,17,31,16,12,21,54,24,963
2,,ALL OTHERS (241),241,0,2,1,3,5,8,1,5,4,4,208
3,2.753,J EXP PSYCHOL LEARN,45,0,1,0,1,6,1,0,2,5,1,28
4,6.857,AM PSYCHOL,40,0,0,0,0,0,0,0,0,0,1,39
5,,VISION RES,38,0,0,0,0,0,0,0,0,1,0,37
6,1.252,PERCEPT PSYCHOPHYS,37,0,0,0,1,0,0,0,0,0,1,35
7,2.247,J EXP PSYCHOL HUMAN,33,0,0,0,1,0,0,0,0,11,0,21
8,1.507,MEM COGNITION,27,0,0,0,0,3,2,0,2,1,0,19
9,0.286,AM J PSYCHOL,23,0,1,0,0,2,1,0,2,0,1,16
10,0.308,PERCEPT MOTOR SKILL,18,0,0,0,0,0,0,0,0,0,0,18
11,3.636,J EXP PSYCHOL GEN,17,0,0,0,1,0,0,1,2,1,0,12
12,1.193,PERCEPTION,16,0,0,0,0,0,0,0,0,0,0,16
13,1.452,Q J EXP PSYCHOL-A,16,0,0,0,0,0,1,0,0,0,0,15
14,6.069,PSYCHOL REV,14,0,0,0,1,0,0,0,0,0,0,13
15,,TRENDS COGN SCI,14,0,0,0,1,0,0,0,1,1,0,11
16,,CHEM SENSES,13,0,0,0,1,0,0,0,0,0,1,11
17,2.638,J MEM LANG,12,0,1,0,0,1,0,0,0,0,1,9
18,1.580,PSYCHON B REV,12,1,0,0,0,0,0,0,0,2,0,9
19,0.238,ANN PSYCHOL,11,0,0,1,0,0,1,0,0,0,0,9
20,1.473,BRAIN LANG,10,0,0,0,0,0,0,0,0,3,0,7
21,2.622,COGNITION,10,0,0,0,0,0,0,0,0,0,0,10
22,1.629,COGNITIVE SCI,10,0,1,1,0,0,0,1,1,0,0,6
23,,EXP BRAIN RES,10,0,0,0,0,0,0,0,0,0,0,10
24,0.240,J HIST BEHAV SCI,10,0,0,0,0,2,0,0,0,0,0,8
25,,P NATL ACAD SCI USA,10,0,0,0,0,0,0,0,0,1,0,9
26,1.065,MUSIC PERCEPT,9,0,0,0,0,0,0,0,0,0,0,9
27,,J ACOUST SOC AM,8,0,0,0,0,0,0,0,0,0,0,8
28,1.360,PSYCHOL RES-PSYCH FO,8,0,0,0,0,0,0,0,0,1,0,7
29,,BEHAV BRAIN RES,7,0,0,0,0,0,0,0,0,0,0,7
30,1.053,BRIT J PSYCHOL,7,0,0,1,0,0,0,0,1,0,0,5
