Cited Journal Data: AMERICAN PSYCHOLOGIST,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,9056,191,371,445,466,523,459,417,616,728,403,4437
2,,ALL OTHERS (422),422,1,7,27,13,15,13,20,31,41,18,236
3,6.857,AM PSYCHOL,411,103,67,16,14,22,7,15,14,32,6,115
4,1.240,PROF PSYCHOL-RES PR,139,1,3,7,3,16,7,7,11,27,5,52
5,3.172,J PERS SOC PSYCHOL,126,4,11,5,12,1,6,3,13,0,7,64
6,0.747,COUNS PSYCHOL,122,9,11,7,4,16,3,6,8,9,4,45
7,6.913,PSYCHOL BULL,98,3,8,4,3,9,9,3,6,5,6,42
8,3.079,DEV PSYCHOPATHOL,93,4,5,28,4,4,3,1,8,3,4,29
9,1.500,AM J COMMUN PSYCHOL,79,0,2,5,4,1,2,2,15,8,5,35
10,0.680,J CLIN PSYCHOL,73,0,4,2,4,12,5,0,5,9,2,30
11,2.190,PSYCHOL METHODS,70,0,4,11,3,1,9,5,0,5,8,24
12,0.415,SEX ROLES,68,0,3,1,3,1,13,8,4,3,2,30
13,1.424,SCHOOL PSYCHOL REV,66,0,5,9,12,3,2,1,4,5,1,24
14,0.473,PSICOTHEMA,65,0,0,2,10,8,0,4,1,2,1,37
15,0.238,PSYCHOL REP,64,0,1,0,0,4,7,3,4,7,0,38
16,4.390,J CONSULT CLIN PSYCH,63,1,5,1,5,16,6,2,2,6,2,17
17,5.851,ANNU REV PSYCHOL,62,0,4,5,9,6,4,3,4,5,5,17
18,1.682,CLIN PSYCHOL-SCI PR,62,1,1,5,1,7,8,1,6,4,1,27
19,0.920,PERS INDIV DIFFER,60,0,0,1,6,4,1,0,6,1,0,41
20,0.352,TEACH PSYCHOL,59,1,1,6,5,2,5,2,7,3,4,23
21,0.516,CAN PSYCHOL,57,0,0,0,5,6,2,5,4,3,2,30
22,0.722,J APPL SOC PSYCHOL,56,0,0,1,1,2,4,3,2,0,7,36
23,2.768,CHILD DEV,55,1,0,9,1,3,1,3,5,3,2,27
24,2.407,PSYCHOL PUBLIC POL L,54,0,0,1,10,5,5,3,4,6,4,16
25,0.316,J MIND BEHAV,52,0,4,0,5,3,1,2,4,5,3,25
26,1.670,PSYCHOL ASSESSMENT,50,0,4,0,3,6,2,2,4,5,3,21
27,1.939,AM J ORTHOPSYCHIAT,44,1,1,3,5,4,3,3,4,2,2,16
28,0.393,J PSYCHOL,44,0,0,1,0,10,1,2,2,1,3,24
29,0.674,ETHICS BEHAV,43,0,1,2,0,0,1,1,6,12,3,17
30,0.845,EUR J PERSONALITY,43,0,0,0,6,0,2,2,6,6,0,21
31,1.205,PERS SOC PSYCHOL B,43,0,0,0,2,2,4,2,3,4,3,23
32,1.564,J COUNS PSYCHOL,42,0,2,2,0,3,4,1,5,1,0,24
33,1.861,LAW HUMAN BEHAV,41,0,0,0,3,12,1,2,7,3,2,11
34,0.309,PSYCHOL SCHOOLS,41,0,3,3,4,4,2,2,3,3,1,16
35,1.730,J APPL PSYCHOL,40,1,0,2,3,2,3,4,5,1,2,17
36,0.608,EDUC PSYCHOL MEAS,36,0,12,2,2,1,2,1,0,1,0,15
37,2.135,J MARRIAGE FAM,36,0,2,3,1,0,0,0,5,5,1,19
38,2.565,PSYCHOL SCI,36,1,4,1,3,1,2,1,4,5,2,12
39,0.075,REV INTERAM PSICOL,36,0,0,0,0,1,1,1,2,3,1,27
