Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,10827,82,476,809,616,581,805,710,598,521,485,5144
2,,ALL OTHERS (220),220,2,9,11,11,4,17,10,7,11,6,132
3,2.138,ANIM BEHAV,1192,12,73,118,90,79,96,70,67,57,58,472
4,2.130,BEHAV ECOL,491,4,14,52,35,42,48,23,33,20,22,198
5,2.020,BEHAV ECOL SOCIOBIOL,466,5,21,45,28,30,44,34,27,20,14,198
6,3.037,P ROY SOC LOND B BIO,457,7,37,49,32,26,33,30,33,17,23,170
7,0.942,BEHAVIOUR,376,2,22,20,23,15,28,19,16,15,24,192
8,1.066,ETHOLOGY,362,3,13,26,17,23,28,26,18,18,21,169
9,0.906,BEHAV PROCESS,259,5,14,21,11,20,23,18,15,8,13,111
10,0.881,APPL ANIM BEHAV SCI,225,0,2,15,11,8,14,13,21,13,19,109
11,0.779,CAN J ZOOL,224,4,7,10,10,8,16,20,14,16,2,117
12,0.698,J INSECT BEHAV,181,0,5,6,13,7,12,22,8,13,7,88
13,3.647,ADV STUD BEHAV,175,0,3,5,16,9,15,7,10,9,8,93
14,2.461,OIKOS,174,0,5,7,15,13,8,16,17,15,6,72
15,1.140,J FISH BIOL,149,1,9,7,10,2,14,9,5,9,7,76
16,1.077,IBIS,131,0,2,10,9,5,6,11,6,8,7,67
17,3.632,EVOLUTION,127,2,10,15,3,8,8,14,4,6,7,50
18,1.690,AUK,110,3,10,5,5,8,12,10,7,5,2,43
19,1.511,J AVIAN BIOL,104,0,4,4,2,5,6,9,3,14,5,52
20,1.024,J ZOOL,102,2,2,1,3,4,3,2,6,7,4,68
21,1.207,CONDOR,98,0,0,6,7,9,7,5,3,3,4,54
22,0.948,ETHOL ECOL EVOL,89,0,2,5,4,9,9,3,7,5,6,39
23,1.477,J COMP PSYCHOL,88,0,4,11,6,4,11,4,4,4,5,35
24,2.232,OECOLOGIA,88,0,4,3,8,5,5,6,5,7,5,40
25,3.650,ECOLOGY,83,0,2,5,4,6,5,7,2,6,1,45
26,1.419,PHYSIOL BEHAV,83,0,4,6,3,5,2,1,8,0,1,53
27,2.316,BIOL J LINN SOC,76,1,1,7,2,2,7,10,3,3,9,31
28,1.214,INT J PRIMATOL,76,0,1,1,10,0,7,3,7,2,6,39
29,3.944,AM NAT,75,0,3,9,5,6,5,5,5,1,2,34
30,2.357,J EVOLUTION BIOL,75,1,2,7,5,7,8,9,6,2,5,23
31,1.352,J MAMMAL,72,0,1,3,2,4,3,2,2,6,1,48
32,2.862,J ANIM ECOL,71,0,6,8,2,3,6,11,3,2,3,27
33,1.437,AM J PRIMATOL,70,0,1,1,6,2,4,5,6,1,3,41
34,1.989,J EXP BIOL,67,0,4,3,3,4,9,4,3,5,1,31
35,1.127,EVOL ECOL RES,63,0,3,4,7,11,2,6,3,3,2,22
36,10.789,P NATL ACAD SCI USA,61,4,4,3,5,0,6,1,8,0,1,29
37,2.553,HORM BEHAV,59,0,1,6,2,3,6,5,4,1,3,28
38,1.550,J THEOR BIOL,57,1,2,4,3,2,3,3,0,5,0,34
39,0.885,PRIMATES,56,1,2,4,4,3,2,4,1,4,4,27
40,0.880,COPEIA,55,0,2,3,3,2,5,3,5,3,1,28
41,0.763,ENVIRON BIOL FISH,55,0,2,2,3,1,4,3,1,3,2,34
42,1.441,J CHEM ECOL,55,0,4,9,1,3,5,6,2,2,3,20
43,0.452,AM MIDL NAT,54,0,1,0,2,4,9,1,6,2,3,26
44,1.524,ECOL ENTOMOL,54,0,1,5,2,5,6,3,1,2,5,24
45,0.926,FOLIA PRIMATOL,54,0,1,1,3,4,2,2,5,3,0,33
46,0.640,ARDEA,53,1,1,4,1,3,4,2,1,1,0,35
47,0.562,J HERPETOL,53,0,2,3,0,4,4,6,5,1,3,25
48,0.480,J ETHOL,50,0,3,3,0,4,3,2,2,2,0,31
49,0.366,WILSON BULL,49,0,2,2,6,1,3,2,3,0,4,26
50,6.433,BIOL REV,47,0,1,9,4,1,6,1,2,0,2,21
51,3.382,NEUROSCI BIOBEHAV R,47,0,2,0,3,0,4,3,0,1,2,32
52,2.769,MOL ECOL,46,0,2,5,3,4,2,5,4,2,4,15
53,8.765,TRENDS ECOL EVOL,46,5,7,6,3,1,4,2,1,0,2,15
54,1.531,INSECT SOC,45,0,1,5,0,0,3,1,3,7,2,23
55,0.494,ZOO BIOL,44,1,8,1,0,0,4,0,1,1,3,25
56,0.757,HERPETOLOGICA,43,0,0,6,3,6,5,3,4,2,1,13
57,2.263,BEHAV BRAIN RES,42,0,1,0,3,2,3,2,1,2,2,26
58,1.496,J COMP PHYSIOL A,42,0,4,4,3,0,0,6,3,1,4,17
59,3.465,J NEUROBIOL,42,0,3,2,5,1,6,3,0,2,2,18
60,0.670,AUST J ZOOL,40,0,2,0,0,2,2,7,5,3,1,18
61,,COGNITIVE SCI,40,0,0,5,2,2,5,2,3,3,1,17
62,14.250,BEHAV BRAIN SCI,39,0,2,5,2,3,6,3,0,0,1,17
63,0.964,ANN ENTOMOL SOC AM,35,0,2,2,3,3,3,2,1,1,2,16
64,1.419,J EXP MAR BIOL ECOL,34,0,1,1,2,3,1,1,1,0,0,24
65,0.558,ORNIS FENNICA,34,0,0,5,1,1,2,1,1,5,1,17
66,1.322,DEV PSYCHOBIOL,33,0,1,0,0,0,3,1,4,1,4,19
67,1.762,EVOL ECOL,33,0,0,2,0,3,4,1,1,1,2,19
68,1.349,ECOSCIENCE,32,0,1,2,3,1,0,3,1,4,1,16
69,1.468,J INSECT PHYSIOL,32,1,2,1,1,1,2,1,5,0,0,18
70,0.911,ANIM WELFARE,31,0,0,1,4,0,3,2,3,1,0,17
