Cited Journal Data: BEHAVIORAL AND BRAIN SCIENCES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,3008,22,183,216,224,174,154,223,172,154,112,1374
2,,ALL OTHERS (297),297,1,10,12,11,14,20,17,13,18,15,166
3,14.250,BEHAV BRAIN SCI,126,3,12,14,16,11,9,14,10,3,2,32
4,,EXP BRAIN RES,50,1,4,0,7,7,6,1,5,12,0,7
5,,TRENDS COGN SCI,47,0,8,11,5,1,3,2,3,3,0,11
6,,J CONSCIOUSNESS STUD,37,2,1,3,2,1,10,6,4,1,0,7
7,,J NEUROPHYSIOL,34,0,0,0,1,8,4,1,1,9,1,9
8,,BEHAV BRAIN RES,33,0,0,1,2,1,2,11,2,1,0,13
9,1.629,COGNITIVE SCI,33,0,0,9,1,0,0,0,5,0,2,16
10,1.489,INT J PSYCHOPHYSIOL,30,1,0,2,0,0,0,1,0,3,2,21
11,2.778,NEUROPSYCHOLOGIA,30,0,2,3,0,2,0,1,1,2,0,19
12,,J NEUROSCI,29,0,3,2,3,2,0,5,0,1,1,12
13,1.473,BRAIN LANG,28,1,9,1,1,0,1,2,0,0,1,12
14,2.622,COGNITION,28,0,8,0,1,2,0,3,6,0,0,8
15,,CLIN NEUROPHYSIOL,27,0,2,0,0,0,2,0,0,0,1,22
16,2.753,J EXP PSYCHOL LEARN,26,0,2,2,2,1,0,5,2,0,2,10
17,1.962,CONSCIOUS COGN,25,2,0,0,1,2,6,5,0,0,0,9
18,6.913,PSYCHOL BULL,25,0,2,0,0,2,0,2,2,1,1,15
19,1.252,PERCEPT PSYCHOPHYS,24,0,2,3,5,1,0,3,1,2,0,7
20,,BRAIN,23,0,3,0,2,2,0,1,0,4,1,10
21,,BRAIN BEHAV EVOLUT,23,0,0,2,0,0,0,0,2,0,0,19
22,,BRAIN RES,23,0,0,0,2,1,2,2,0,4,2,10
23,0.295,VIS COGN,23,0,0,3,3,0,1,7,3,2,0,4
24,2.638,J MEM LANG,22,0,13,0,2,0,0,1,1,0,1,4
25,0.308,PERCEPT MOTOR SKILL,22,0,0,12,0,0,0,2,2,1,0,5
26,0.471,PHILOS PSYCHOL,22,0,1,4,3,1,0,0,1,1,0,11
27,,NEUROSCIENCE,21,0,0,0,1,1,2,1,0,3,4,9
28,1.379,HUM NATURE-INT BIOS,20,0,3,0,1,0,0,5,3,0,2,6
29,3.636,J EXP PSYCHOL GEN,20,0,2,0,6,2,0,4,0,1,0,5
30,,NEUROREPORT,19,2,1,0,1,0,1,3,0,0,0,11
31,3.106,PSYCHOPHYSIOLOGY,19,0,3,0,0,0,0,0,0,0,0,16
32,,BEHAV NEUROSCI,18,0,2,0,0,1,0,4,0,0,1,10
33,,PSYCHOPHARMACOLOGY,18,0,0,0,0,0,3,1,0,0,2,12
34,,VISION RES,18,0,1,5,2,0,0,2,2,1,0,5
35,,ANIM BEHAV,17,0,0,8,0,0,1,0,3,0,0,5
36,1.507,MEM COGNITION,17,0,3,4,1,3,0,4,0,0,0,2
37,0.147,SYNTHESE,17,0,0,1,3,0,0,0,1,1,2,9
38,5.851,ANNU REV PSYCHOL,16,0,0,3,2,4,1,0,1,0,2,3
39,6.857,AM PSYCHOL,15,0,0,4,0,0,0,0,3,3,1,4
40,2.247,J EXP PSYCHOL HUMAN,15,0,2,2,1,0,0,2,0,1,0,7
41,,NEUROSCI BIOBEHAV R,15,0,0,1,2,0,0,2,0,0,0,10
42,,NEUROSCI LETT,15,0,1,0,3,1,1,3,0,1,0,5
43,6.069,PSYCHOL REV,15,0,2,0,0,0,1,3,1,2,1,5
44,0.630,BRAIN COGNITION,14,0,0,0,0,2,0,2,1,1,0,8
45,2.565,PSYCHOL SCI,14,0,2,2,0,1,0,0,0,0,0,9
46,,ANN NY ACAD SCI,13,0,1,1,1,0,0,6,0,1,1,2
47,,BIOL PSYCHIAT,13,0,0,0,0,0,0,0,0,0,0,13
48,2.768,CHILD DEV,13,0,0,1,0,0,0,2,1,2,2,5
49,,EUR J NEUROSCI,13,0,3,0,3,0,0,1,0,0,0,6
50,,HIPPOCAMPUS,13,0,2,0,1,0,1,5,0,0,1,3
51,,CONNECT SCI,12,0,0,1,2,0,0,0,2,0,0,7
52,1.357,DEV REV,12,0,1,1,0,1,0,0,4,0,2,3
53,0.385,MIND LANG,12,0,0,3,0,1,1,1,1,1,0,4
54,,NEUROIMAGE,12,0,0,1,1,2,0,1,0,0,1,6
55,0.920,PERS INDIV DIFFER,12,0,1,1,0,0,0,0,0,0,0,10
56,,PROG BRAIN RES,12,0,0,0,0,0,1,0,0,2,0,9
57,2.190,PSYCHOL METHODS,12,0,0,12,0,0,0,0,0,0,0,0
58,,COGNITIVE BRAIN RES,11,0,1,0,0,1,2,2,0,0,0,5
