Cited Journal Data: BRITISH JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1678,8,32,47,66,61,69,43,52,63,50,1187
2,,ALL OTHERS (261),261,0,5,5,7,9,14,10,10,13,13,175
3,1.452,Q J EXP PSYCHOL-A,51,0,0,1,5,6,2,3,1,0,0,33
4,2.753,J EXP PSYCHOL LEARN,43,1,0,4,1,2,1,0,2,2,0,30
5,0.308,PERCEPT MOTOR SKILL,39,0,2,1,2,0,4,0,2,0,1,27
6,1.507,MEM COGNITION,33,0,0,2,1,1,2,1,1,0,1,24
7,0.920,PERS INDIV DIFFER,33,0,1,3,1,4,0,0,3,0,2,19
8,1.053,BRIT J PSYCHOL,30,2,1,0,3,1,0,0,0,2,1,20
9,,CORTEX,23,0,0,0,0,0,1,0,1,0,0,21
10,2.247,J EXP PSYCHOL HUMAN,20,0,1,0,0,0,0,0,0,0,0,19
11,,LATERALITY,20,0,1,0,1,0,0,0,2,1,0,15
12,2.778,NEUROPSYCHOLOGIA,20,0,0,1,1,0,0,0,0,0,0,18
13,1.522,MEMORY,18,0,0,1,1,1,1,2,1,0,0,11
14,1.193,PERCEPTION,18,0,0,0,0,1,0,0,1,0,0,16
15,2.180,COGNITIVE NEUROPSYCH,16,0,0,0,0,0,1,0,0,1,1,13
16,1.580,PSYCHON B REV,15,0,0,2,1,0,1,0,1,1,0,9
17,3.636,J EXP PSYCHOL GEN,14,0,0,3,1,0,0,0,1,1,0,8
18,,J SPORT SCI,14,0,0,2,0,2,5,0,0,2,0,3
19,0.473,PSICOTHEMA,14,0,0,0,4,3,0,1,0,0,0,6
20,0.929,APPL COGNITIVE PSYCH,13,0,0,2,1,2,0,1,0,2,0,5
21,1.473,BRAIN LANG,13,0,0,0,0,0,1,0,0,0,0,12
22,2.638,J MEM LANG,13,0,0,0,0,0,1,0,0,0,0,12
23,1.252,PERCEPT PSYCHOPHYS,13,0,2,2,0,0,0,0,0,1,0,8
24,6.069,PSYCHOL REV,13,0,1,0,0,1,0,0,1,0,0,10
25,0.122,READ WRIT,13,0,0,0,0,0,0,1,0,0,2,10
