Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,214,2,3,24,6,37,26,24,8,18,18,48
2,,ALL OTHERS (47),47,0,1,5,1,4,3,11,2,4,6,10
3,0.818,CONNECT SCI,31,2,1,6,1,5,2,1,1,4,3,5
4,14.250,BEHAV BRAIN SCI,17,0,0,0,2,0,6,3,0,2,2,2
5,0.390,LECT NOTES COMPUT SC,12,0,0,0,0,10,0,0,0,0,0,2
6,0.176,EXPERT SYST,10,0,1,1,0,0,0,1,1,2,1,3
7,1.017,APPL ARTIF INTELL,7,0,0,0,0,0,0,1,0,0,2,4
8,0.219,MIND MACH,7,0,0,0,0,0,2,1,0,2,0,2
9,,ACTA ANALYT,6,0,0,0,0,0,0,0,0,3,1,2
10,2.138,ANIM BEHAV,6,0,0,6,0,0,0,0,0,0,0,0
11,6.069,PSYCHOL REV,6,0,0,0,0,0,0,5,0,0,1,0
12,0.420,APPL INTELL,5,0,0,0,0,0,3,0,1,0,0,1
13,0.253,LECT NOTES ARTIF INT,5,0,0,1,0,3,1,0,0,0,0,0
14,,P SOC PHOTO-OPT INS,5,0,0,0,0,0,0,0,1,0,0,4
15,,ADV NEUR IN,4,0,0,0,1,3,0,0,0,0,0,0
16,2.753,J EXP PSYCHOL LEARN,4,0,0,0,0,0,1,1,0,1,1,0
17,0.415,ROBOT AUTON SYST,4,0,0,3,0,0,0,0,0,0,0,1
18,0.697,AI COMMUN,3,0,0,0,0,0,2,0,0,0,0,1
19,1.793,ARTIF INTELL MED,3,0,0,1,0,0,2,0,0,0,0,0
20,,IEEE T EVOLUT COMPUT,3,0,0,0,0,2,0,0,0,0,0,1
21,0.957,IEEE T SYST MAN CY C,3,0,0,0,0,1,0,0,0,0,1,1
22,1.077,PATTERN RECOGN,3,0,0,0,0,1,0,0,0,0,0,2
23,,STUD FUZZ SOFT COMP,3,0,0,1,0,1,0,0,0,0,0,1
24,,COGNITION,2,0,0,0,0,0,1,0,0,0,0,1
25,0.468,COMPUT GEOSCI-UK,2,0,0,0,0,2,0,0,0,0,0,0
26,0.620,IEEE T IND ELECTRON,2,0,0,0,1,0,1,0,0,0,0,0
27,1.096,IEEE T NEURAL NETWOR,2,0,0,0,0,0,1,0,1,0,0,0
28,1.064,J ARTIF INTELL RES,2,0,0,0,0,2,0,0,0,0,0,0
29,1.447,MACH LEARN,2,0,0,0,0,1,0,0,0,0,0,1
30,2.702,NEURAL COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
31,0.309,NEURAL COMPUT APPL,2,0,0,0,0,2,0,0,0,0,0,0
32,1.221,NEURAL NETWORKS,2,0,0,0,0,0,1,0,0,0,0,1
33,,PSYCHOL LEARN MOTIV,2,0,0,0,0,0,0,0,1,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
