Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,134,0,4,2,30,17,21,5,7,4,11,33
2,,ALL OTHERS (46),46,0,0,2,8,8,10,2,1,3,5,7
3,0.337,COMPUT OPER RES,9,0,0,0,1,1,5,2,0,0,0,0
4,0.405,EXPERT SYST APPL,8,0,1,0,2,1,0,0,1,0,0,3
5,0.504,INT J PROD RES,6,0,0,0,0,1,1,0,1,0,0,3
6,0.253,LECT NOTES ARTIF INT,6,0,0,0,3,0,0,1,0,0,0,2
7,0.557,IEEE T SYST MAN CY A,5,0,0,0,0,0,1,0,0,1,1,2
8,0.176,EXPERT SYST,4,0,2,0,2,0,0,0,0,0,0,0
9,2.064,MIS QUART,4,0,0,0,0,0,0,0,0,0,0,4
10,0.418,COMPUT IND,3,0,0,0,0,1,0,0,1,0,0,1
11,0.543,DECIS SUPPORT SYST,3,0,0,0,1,0,0,0,1,0,0,1
12,0.396,EUR J INFORM SYST,3,0,0,0,0,0,0,0,1,0,1,1
13,0.490,EUR J OPER RES,3,0,1,0,0,0,0,0,0,0,0,2
14,,IEEE SYS MAN CYBERN,3,0,0,0,0,2,0,0,1,0,0,0
15,0.061,IND MANAGE DATA SYST,3,0,0,0,3,0,0,0,0,0,0,0
16,,ADV CONCURRENT ENGN,2,0,0,0,2,0,0,0,0,0,0,0
17,0.452,ANN NUCL ENERGY,2,0,0,0,0,0,0,0,0,0,0,2
18,0.457,CYBERNET SYST,2,0,0,0,0,1,1,0,0,0,0,0
19,0.231,ENG APPL ARTIF INTEL,2,0,0,0,1,0,1,0,0,0,0,0
20,0.333,INT J HUM-COMPUT ST,2,0,0,0,0,0,0,0,0,0,0,2
21,0.838,INTERACT COMPUT,2,0,0,0,2,0,0,0,0,0,0,0
22,0.051,J COMPUT INFORM SYST,2,0,0,0,2,0,0,0,0,0,0,0
23,0.648,J OPER RES SOC,2,0,0,0,0,0,1,0,0,0,0,1
24,,J ORG COMP ELECT COM,2,0,0,0,0,1,0,0,0,0,1,0
25,0.375,KNOWL-BASED SYST,2,0,0,0,2,0,0,0,0,0,0,0
26,0.390,LECT NOTES COMPUT SC,2,0,0,0,1,1,0,0,0,0,0,0
27,0.453,OMEGA-INT J MANAGE S,2,0,0,0,0,0,1,0,0,0,0,1
28,0.294,T NONFERR METAL SOC,2,0,0,0,0,0,0,0,0,0,2,0
29,,TRAN AMER F,2,0,0,0,0,0,0,0,0,0,1,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
