Cited Journal Data: HUMAN FACTORS,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1311,3,16,88,77,104,120,80,54,72,91,606
2,,ALL OTHERS (148),148,0,0,14,6,12,8,7,3,8,9,81
3,0.691,ERGONOMICS,141,0,2,7,11,8,18,10,7,12,11,55
4,0.954,HUM FACTORS,132,3,4,7,10,16,19,9,6,5,11,42
5,0.255,INT J IND ERGONOM,45,0,0,0,4,2,1,3,1,2,3,29
6,0.642,APPL ERGON,39,0,1,1,1,7,2,3,2,0,1,21
7,0.745,INT J AVIAT PSYCHOL,35,0,0,2,5,1,3,3,2,2,3,14
8,,P SOC PHOTO-OPT INS,30,0,1,2,2,5,3,2,2,1,0,12
9,0.333,INT J HUM-COMPUT ST,28,0,0,4,5,1,1,1,0,2,0,14
10,1.000,J EXP PSYCHOL-APPL,25,0,0,2,3,6,2,1,1,2,0,8
11,0.529,INT J HUM-COMPUT INT,22,0,0,3,0,2,1,1,0,2,4,9
12,,AVIAT SPACE ENVIR MD,18,0,0,1,3,4,4,0,1,0,0,5
13,1.102,J GERONTOL B-PSYCHOL,18,0,2,2,1,2,2,0,2,2,1,4
14,,IEEE T SYST MAN CY A,17,0,1,1,0,3,2,1,1,1,1,6
15,0.686,ACCIDENT ANAL PREV,16,0,0,1,1,1,2,0,0,1,3,7
16,,SPINE,16,0,1,0,0,0,3,0,0,1,5,6
17,0.308,PERCEPT MOTOR SKILL,15,0,0,0,0,0,0,0,0,1,3,11
18,,CLIN BIOMECH,14,0,0,1,0,1,0,0,0,0,3,9
19,,SAFETY SCI,14,0,0,1,0,1,2,3,2,0,0,5
20,,EXP RES APPL,13,0,1,1,1,3,2,0,4,0,0,1
21,1.500,BIOL PSYCHOL,12,0,0,0,0,0,1,3,1,1,1,5
22,,PRESENCE-TELEOP VIRT,12,0,0,8,0,0,0,0,0,0,0,4
23,,APHASIOLOGY,11,0,0,0,0,0,0,1,0,0,0,10
24,2.247,J EXP PSYCHOL HUMAN,11,0,0,0,1,0,2,0,0,1,0,7
25,2.753,J EXP PSYCHOL LEARN,11,0,0,0,2,3,0,0,1,1,0,4
26,0.413,BEHAV INFORM TECHNOL,10,0,0,2,0,3,1,0,0,2,0,2
27,0.136,HUM FACTOR ERGON MAN,10,0,0,1,0,0,4,0,0,1,0,4
28,,IEEE SYS MAN CYBERN,10,0,0,0,2,2,4,0,0,0,0,2
29,1.252,PERCEPT PSYCHOPHYS,10,0,0,1,1,0,0,1,0,2,0,5
30,0.212,TRAV HUMAIN,10,0,0,0,0,0,3,0,0,0,0,7
31,,AM IND HYG ASSOC J,9,0,0,0,0,0,0,0,1,0,3,5
32,,J NAVIGATION,9,0,0,2,0,0,4,0,0,0,1,2
33,,LECT NOTES CONTR INF,8,0,0,0,1,1,4,0,0,0,0,2
34,0.920,PERS INDIV DIFFER,8,0,0,1,0,0,1,1,0,0,0,5
35,,AM J IND MED,7,0,0,2,0,0,0,1,0,0,2,2
36,,INTERACT COMPUT,7,0,0,0,0,1,1,1,1,0,2,1
37,,J ACOUST SOC AM,7,0,0,0,3,1,0,1,1,0,0,1
38,,OPT ENG,7,0,0,0,0,0,0,0,0,0,0,7
39,,BRIT MED J,6,0,0,0,0,1,1,0,0,0,1,3
40,0.333,COMPUT HUM BEHAV,6,0,0,2,0,0,1,0,0,0,1,2
41,3.089,J AM MED INFORM ASSN,6,0,0,0,0,0,1,1,0,1,0,3
42,0.212,J COMPUT ASSIST LEAR,6,0,0,1,0,0,0,0,1,0,0,4
43,,LECT NOTES ARTIF INT,6,0,0,2,2,0,0,1,0,0,1,0
44,3.106,PSYCHOPHYSIOLOGY,6,0,0,0,0,0,0,1,0,0,0,5
45,,SLEEP,6,0,0,0,0,0,0,4,0,0,0,2
46,0.824,WORK STRESS,6,0,0,0,0,0,0,1,0,0,3,2
47,,CAN J OPHTHALMOL,5,0,0,1,0,0,1,1,0,0,2,0
48,,DISPLAYS,5,0,0,0,1,0,0,0,0,0,0,4
49,,J CLIN ANESTH,5,0,0,0,0,0,0,1,0,1,0,3
50,1.353,J HEAD TRAUMA REHAB,5,0,0,0,0,0,0,0,0,1,1,3
51,0.206,J ORGAN BEHAV MANAGE,5,0,0,0,0,0,0,0,0,0,0,5
52,,KNEE SURG SPORT TR A,5,0,0,0,0,0,0,0,0,0,0,5
53,2.778,NEUROPSYCHOLOGIA,5,0,0,0,0,0,0,1,0,0,0,4
54,,T I MEAS CONTROL,5,0,0,1,1,1,2,0,0,0,0,0
55,0.393,TECH COMMUN,5,0,0,0,0,0,0,0,0,0,0,5
56,0.929,APPL COGNITIVE PSYCH,4,0,0,0,0,0,0,0,1,1,1,1
57,,CHRONOBIOL INT,4,0,0,0,0,0,0,1,0,0,0,3
58,0.211,EDUC GERONTOL,4,0,0,1,0,1,0,0,1,0,0,1
59,,EXP BRAIN RES,4,0,0,0,1,1,1,0,0,0,0,1
60,,IEEE T PROF COMMUN,4,0,0,1,0,0,0,1,0,1,0,1
61,1.136,J AGING PHYS ACTIV,4,0,0,1,1,0,0,0,1,0,1,0
62,1.730,J APPL PSYCHOL,4,0,0,0,0,0,1,0,0,1,0,2
63,0.722,J APPL SOC PSYCHOL,4,0,0,0,0,0,1,1,1,0,0,1
64,,J BIOMECH,4,0,0,0,2,0,0,0,0,0,0,2
65,1.844,J EDUC PSYCHOL,4,0,0,2,0,0,0,0,1,0,0,1
