Cited Journal Data: INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,366,7,15,32,96,75,73,68,0,0,0,0
2,,ALL OTHERS (83),83,0,3,6,21,18,20,15,0,0,0,0
3,0.333,INT J HUM-COMPUT ST,46,1,0,6,10,13,9,7,0,0,0,0
4,,LECT NOTES COMPUT SC,20,0,0,4,3,1,9,3,0,0,0,0
5,0.642,APPL ERGON,11,6,1,3,0,1,0,0,0,0,0,0
6,1.226,J AM SOC INFORM SCI,11,0,0,1,3,5,1,1,0,0,0,0
7,,LECT NOTES ARTIF INT,9,0,0,1,2,3,1,2,0,0,0,0
8,,COMPUT NETW,8,0,2,0,4,1,1,0,0,0,0,0
9,0.691,ERGONOMICS,8,0,0,0,3,0,2,3,0,0,0,0
10,,HUM-COMPUT INTERACT,7,0,0,0,2,3,2,0,0,0,0,0
11,,INTERACT COMPUT,6,0,1,1,0,1,0,3,0,0,0,0
12,1.000,J EXP PSYCHOL-APPL,6,0,1,0,1,2,0,2,0,0,0,0
13,,ACM COMPUT SURV,5,0,0,0,4,0,0,1,0,0,0,0
14,,AUTON ROBOT,5,0,0,5,0,0,0,0,0,0,0,0
15,,BCS CONFERENCE S,5,0,0,1,0,2,2,0,0,0,0,0
16,0.413,BEHAV INFORM TECHNOL,5,0,0,0,3,1,0,1,0,0,0,0
17,0.333,COMPUT HUM BEHAV,5,0,2,0,0,1,0,2,0,0,0,0
18,0.529,INT J HUM-COMPUT INT,5,0,0,0,3,1,1,0,0,0,0,0
19,,EUR J INFORM SYST,4,0,0,0,4,0,0,0,0,0,0,0
20,,EXP RES APPL,4,0,0,0,0,1,1,2,0,0,0,0
21,,FR ART INT,4,0,0,1,1,1,1,0,0,0,0,0
22,0.954,HUM FACTORS,4,0,0,0,0,2,0,2,0,0,0,0
23,,IEEE SYS MAN CYBERN,4,0,0,0,2,0,2,0,0,0,0,0
24,,IEEE T PROF COMMUN,4,0,0,0,2,0,0,2,0,0,0,0
25,1.093,INFORM SYST RES,4,0,0,0,0,4,0,0,0,0,0,0
26,,INTERNET RES,4,0,0,0,4,0,0,0,0,0,0,0
27,,KNOWL-BASED SYST,4,0,0,0,3,0,0,1,0,0,0,0
28,,P ASIS ANN,4,0,0,0,2,0,2,0,0,0,0,0
29,,ACM SIGPLAN NOTICES,3,0,0,0,1,1,0,1,0,0,0,0
30,,BCS CONF SERIES,3,0,0,0,1,0,1,1,0,0,0,0
31,1.091,COMMUN RES,3,0,0,0,1,1,0,1,0,0,0,0
32,,EXPERT SYST APPL,3,0,0,0,1,1,1,0,0,0,0,0
33,0.745,INT J AVIAT PSYCHOL,3,0,0,0,1,1,0,1,0,0,0,0
34,,INT J INTELL SYST,3,0,0,0,0,0,3,0,0,0,0,0
35,2.753,J EXP PSYCHOL LEARN,3,0,0,0,0,0,1,2,0,0,0,0
36,0.466,J OCCUP ORGAN PSYCH,3,0,0,0,3,0,0,0,0,0,0,0
37,,J VISUAL LANG COMPUT,3,0,0,0,0,0,0,3,0,0,0,0
38,,LECT NOTES CONTR INF,3,0,0,1,0,0,0,2,0,0,0,0
39,,PRESENCE-TELEOP VIRT,3,0,0,0,1,2,0,0,0,0,0,0
40,,AI EDAM,2,0,0,0,1,1,0,0,0,0,0,0
41,,BIOINFORMATICS,2,0,0,0,1,0,1,0,0,0,0,0
42,2.622,COGNITION,2,0,0,0,0,2,0,0,0,0,0,0
43,1.629,COGNITIVE SCI,2,0,0,0,0,0,2,0,0,0,0,0
44,,COMMUN ACM,2,0,1,0,0,1,0,0,0,0,0,0
45,,COMPUT INTELL,2,0,0,0,0,0,1,1,0,0,0,0
46,,COMPUT OPER RES,2,0,0,0,1,0,0,1,0,0,0,0
47,0.136,HUM FACTOR ERGON MAN,2,0,0,0,1,0,1,0,0,0,0,0
48,,IEEE INTELL SYST APP,2,0,0,0,2,0,0,0,0,0,0,0
49,,IEEE T SYST MAN CY A,2,0,0,0,0,0,0,2,0,0,0,0
50,0.683,INFORM MANAGE,2,0,0,0,0,0,1,1,0,0,0,0
51,,INT J SOFTW ENG KNOW,2,0,0,1,1,0,0,0,0,0,0,0
52,3.089,J AM MED INFORM ASSN,2,0,0,0,0,1,0,1,0,0,0,0
53,0.212,J COMPUT ASSIST LEAR,2,0,0,0,1,0,1,0,0,0,0,0
54,0.536,LEARN INSTR,2,0,0,0,0,0,1,1,0,0,0,0
55,,METHOD INFORM MED,2,0,0,0,1,0,1,0,0,0,0,0
56,2.064,MIS QUART,2,0,0,0,0,1,1,0,0,0,0,0
57,,PROC INT C TOOLS ART,2,0,1,0,0,0,1,0,0,0,0,0
58,,PROG COMPREHEN,2,0,2,0,0,0,0,0,0,0,0,0
59,,SAFETY SCI,2,0,0,0,1,1,0,0,0,0,0,0
60,,SPRING COMP SCI,2,0,0,1,0,0,1,0,0,0,0,0
61,,T I MEAS CONTROL,2,0,0,0,0,0,0,2,0,0,0,0
62,0.212,TRAV HUMAIN,2,0,1,0,0,1,0,0,0,0,0,0
63,,USER MODEL USER-ADAP,2,0,0,0,0,0,1,1,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
