Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,837,28,50,75,84,52,53,47,55,37,22,334
2,,ALL OTHERS (52),52,1,1,7,3,3,6,3,5,2,3,18
3,1.214,INT J PRIMATOL,142,20,14,13,8,9,8,5,5,5,4,51
4,1.437,AM J PRIMATOL,111,0,7,7,12,8,6,6,3,6,4,52
5,0.885,PRIMATES,54,2,4,3,7,1,4,3,4,2,1,23
6,0.926,FOLIA PRIMATOL,50,0,3,4,4,3,1,8,5,1,2,19
7,1.827,AM J PHYS ANTHROPOL,47,0,3,4,2,1,3,1,3,3,0,27
8,2.138,ANIM BEHAV,34,0,2,3,8,1,3,2,6,1,0,8
9,2.675,J HUM EVOL,26,0,2,4,1,0,0,0,0,2,1,16
10,2.020,BEHAV ECOL SOCIOBIOL,23,1,1,4,2,1,3,2,1,0,1,7
11,0.494,ZOO BIOL,19,0,1,3,1,3,0,1,1,0,0,9
12,1.477,J COMP PSYCHOL,18,0,3,1,3,1,4,0,2,1,2,1
13,6.433,BIOL REV,17,0,1,0,1,1,1,2,1,0,1,9
14,1.066,ETHOLOGY,17,0,1,2,3,1,1,1,0,1,0,7
15,1.024,J ZOOL,17,0,0,0,1,1,1,2,2,1,0,9
16,1.578,BIOL CONSERV,14,0,0,4,0,3,0,0,0,1,0,6
17,,EVOL ANTHROPOL,13,0,0,3,4,0,0,0,1,1,0,4
18,0.858,BIOTROPICA,12,1,0,0,0,3,0,1,3,0,0,4
19,0.942,BEHAVIOUR,10,0,0,0,3,1,0,1,1,0,0,4
20,2.814,CONSERV BIOL,9,0,0,0,0,0,0,0,1,0,0,8
21,1.035,J TROP ECOL,8,0,0,1,1,2,0,3,0,0,1,0
22,2.778,NEUROPSYCHOLOGIA,8,0,2,1,0,1,3,0,1,0,0,0
23,1.381,ANN NY ACAD SCI,7,0,0,0,2,0,0,0,1,1,0,3
24,,COGNITIVE SCI,7,0,0,0,1,0,0,1,1,0,0,4
25,3.632,EVOLUTION,7,0,0,0,0,0,0,0,0,1,0,6
26,0.360,MAMMALIA,7,0,1,0,0,1,2,0,0,0,0,3
27,3.345,MOL PHYLOGENET EVOL,7,0,1,0,2,0,0,0,0,1,0,3
28,,J CONSCIOUSNESS STUD,6,0,0,0,2,1,0,1,0,0,0,2
29,2.232,OECOLOGIA,6,0,0,1,0,1,1,1,1,0,0,1
30,3.647,ADV STUD BEHAV,5,0,0,0,0,0,0,0,0,2,0,3
31,,ANNU REV ANTHROPOL,5,0,0,0,1,0,0,0,0,1,0,3
32,0.959,ORYX,5,0,0,2,0,0,1,1,0,0,0,1
33,,SLEEP MED REV,5,0,0,0,1,0,1,0,0,0,0,3
34,0.395,AFR J ECOL,4,0,0,4,0,0,0,0,0,0,0,0
35,0.615,ECOL RES,4,0,0,0,0,2,1,0,1,0,0,0
36,10.789,P NATL ACAD SCI USA,4,2,0,2,0,0,0,0,0,0,0,0
37,1.419,PHYSIOL BEHAV,4,0,2,0,0,0,0,0,0,0,0,2
38,2.130,BEHAV ECOL,3,0,0,0,1,0,0,0,0,0,0,2
39,,HOMO,3,0,0,0,0,0,1,0,0,1,0,1
40,,HUMAN EVOLUT SER,3,0,0,0,0,0,0,0,1,1,0,1
41,2.091,J APPL ECOL,3,0,0,1,1,1,0,0,0,0,0,0
42,25.814,NATURE,3,0,0,0,1,0,0,0,0,1,0,1
43,,AN ACAD BRAS CIENC,2,0,0,0,2,0,0,0,0,0,0,0
44,0.911,ANIM WELFARE,2,1,0,0,0,0,0,0,0,0,0,1
45,1.082,B MATH BIOL,2,0,0,0,0,0,0,0,0,0,0,2
46,2.263,BEHAV BRAIN RES,2,0,0,0,0,0,0,0,0,0,1,1
47,0.883,COMP BIOCHEM PHYS A,2,0,0,0,0,0,0,0,0,0,0,2
48,0.737,CONTRIB ZOOL,2,0,0,0,0,0,0,0,1,0,0,1
49,,CURR ANTHROPOL,2,0,0,1,0,0,0,0,1,0,0,0
50,6.213,ECOL MONOGR,2,0,0,0,0,1,0,0,1,0,0,0
51,2.553,HORM BEHAV,2,0,0,0,0,0,0,0,1,0,0,1
52,,HUM NATURE-INT BIOS,2,0,0,0,0,0,0,0,0,0,0,2
53,0.827,INT J REMOTE SENS,2,0,0,0,0,0,0,0,0,0,0,2
54,0.577,J RANGE MANAGE,2,0,0,0,2,0,0,0,0,0,0,0
55,5.298,MOL BIOL EVOL,2,0,0,0,1,0,0,0,0,0,0,1
56,2.769,MOL ECOL,2,0,1,0,0,0,0,0,0,1,0,0
57,1.509,NUTRITION,2,0,0,0,1,0,0,1,0,0,0,0
58,3.037,P ROY SOC LOND B BIO,2,0,0,0,1,1,0,0,0,0,0,0
59,3.500,Q REV BIOL,2,0,0,0,0,0,0,1,1,0,0,0
60,,WORLD ARCHAEOL,2,0,0,0,0,0,1,0,0,0,1,0
61,0.452,ZOOL STUD,2,0,0,0,1,0,1,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
