Cited Journal Data: INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,475,16,27,83,35,47,40,31,23,21,34,118
2,,ALL OTHERS (30),30,0,1,6,0,4,2,2,3,1,3,8
3,0.705,INT J SCI EDUC,193,11,15,45,15,16,16,12,7,9,13,34
4,0.992,J RES SCI TEACH,68,1,3,10,8,9,4,6,4,0,5,18
5,0.918,SCI EDUC,58,0,2,9,2,5,6,3,2,3,5,21
6,0.667,EDUC RES,14,0,2,3,2,1,0,0,0,0,0,6
7,,J BIOL EDUC,14,2,2,2,0,2,1,0,1,0,0,4
8,,J CHEM EDUC,14,1,0,0,2,0,2,1,2,0,0,6
9,0.438,J CURRICULUM STUD,12,0,0,2,0,3,2,0,0,1,2,2
10,0.651,INSTR SCI,9,0,0,0,2,1,1,0,0,0,2,3
11,,AM J PHYS,8,1,0,3,0,2,1,0,0,0,0,1
12,0.536,LEARN INSTR,7,0,1,0,0,0,2,1,0,1,1,1
13,,PUBL ASTRON SOC AUST,7,0,0,2,0,2,0,0,0,1,0,2
14,0.317,TEACH TEACH EDUC,6,0,0,0,0,0,0,1,1,0,1,3
15,0.696,COGNITION INSTRUCT,5,0,0,0,1,0,0,0,0,0,0,4
16,,INT J TECHNOL DES ED,5,0,0,0,0,1,1,0,1,2,0,0
17,0.412,J TEACH PHYS EDUC,5,0,0,0,0,0,2,2,1,0,0,0
18,0.054,AUST J EDUC,2,0,0,0,0,0,0,0,0,1,0,1
19,,BRIT EDUC RES J,2,0,0,0,1,0,0,0,0,1,0,0
20,0.948,BRIT J SOCIOL EDUC,2,0,0,0,0,0,0,2,0,0,0,0
21,0.300,COMPUT EDUC,2,0,0,0,0,0,0,1,1,0,0,0
22,1.357,DEV REV,2,0,0,0,1,0,0,0,0,0,0,1
23,0.258,EUR J PSYCHOL EDUC,2,0,0,0,0,0,0,0,0,0,2,0
24,,ISRAEL J PLANT SCI,2,0,0,0,0,0,0,0,0,1,0,1
25,1.286,J LEARN SCI,2,0,0,1,0,0,0,0,0,0,0,1
26,0.703,OXFORD REV EDUC,2,0,1,0,0,0,0,0,0,0,0,1
27,,S AFR J SCI,2,0,0,0,1,1,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
