Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1439,33,103,174,123,140,90,87,67,55,82,485
2,,ALL OTHERS (97),97,0,5,9,8,6,5,12,6,6,4,36
3,1.226,J AM SOC INFORM SCI,367,18,32,52,31,35,25,22,20,14,21,97
4,,P ASIS ANN,151,0,10,18,23,30,11,12,6,2,5,34
5,,INT FORUM INFORM DOC,78,0,0,1,2,2,6,6,6,2,6,47
6,0.719,INFORM PROCESS MANAG,61,0,1,6,6,8,4,5,3,2,4,22
7,0.660,SCIENTOMETRICS,61,2,2,7,4,4,8,2,0,3,8,21
8,0.473,J INFORM SCI,50,3,6,6,4,5,3,2,3,4,2,12
9,1.640,J DOC,48,0,5,10,4,8,1,7,1,0,2,10
10,,ASIST MONOGR SER,42,0,3,6,4,0,2,2,0,3,0,22
11,0.397,ASLIB PROC,20,0,5,4,1,1,0,1,1,1,2,4
12,0.297,LIBR INFORM SCI RES,19,0,5,0,1,1,0,1,1,1,3,6
13,,LECT NOTES COMPUT SC,17,1,0,1,0,1,1,1,1,1,2,8
14,0.407,LIBR QUART,17,0,2,1,0,2,0,2,2,0,1,7
15,,ARTIF INTELL REV,16,0,0,1,3,1,1,0,0,0,2,8
16,,ACM T INFORM SYST,15,0,0,1,0,0,0,1,1,1,1,10
17,0.905,COLL RES LIBR,14,0,2,1,2,4,1,0,0,0,1,3
18,,ASIS MONOGR,13,0,0,0,1,2,0,1,2,0,1,6
19,0.333,INT J HUM-COMPUT ST,11,3,1,1,2,0,0,1,0,0,0,3
20,,DECIS SUPPORT SYST,10,0,0,2,1,0,3,0,0,0,0,4
21,,ONLINE INFORM REV,10,2,1,0,0,1,2,1,0,0,1,2
22,,SERIALS LIBR,10,0,2,3,2,1,1,0,0,1,0,0
23,,ACM COMPUT SURV,9,0,0,1,2,2,0,0,0,0,2,2
24,,IEEE INFOR VIS,9,0,2,3,1,0,0,0,0,0,0,3
25,,INTERNET RES,9,0,1,2,1,1,0,0,1,0,0,3
26,1.167,LIBR INFORM SCI,9,0,1,1,3,0,0,1,0,1,0,2
27,3.089,J AM MED INFORM ASSN,8,0,0,2,0,0,1,0,0,0,0,5
28,,LECT NOTES ARTIF INT,8,0,0,0,0,0,0,0,0,0,0,8
29,,DATA KNOWL ENG,7,0,0,0,0,1,1,0,1,1,0,3
30,1.093,INFORM SYST RES,7,0,0,0,1,0,2,0,0,1,0,3
31,,J ACM,7,0,0,0,0,0,0,0,0,0,2,5
32,,P SOC PHOTO-OPT INS,7,0,1,1,0,0,1,2,0,0,0,2
33,0.364,PROGRAM-ELECTRON LIB,7,0,1,1,0,2,0,0,0,2,1,0
34,0.190,ELECTRON LIBR,6,0,0,1,0,0,1,0,0,0,2,2
35,,FR ART INT,6,0,0,0,0,0,2,0,0,0,0,4
36,,IEEE T IMAGE PROCESS,6,0,0,4,1,0,0,1,0,0,0,0
37,0.212,J COMPUT ASSIST LEAR,6,1,1,3,0,0,0,0,1,0,0,0
38,0.188,LIBRI,6,0,0,0,0,1,0,0,1,1,1,2
39,0.167,CAN J INFORM LIB SCI,5,0,0,2,0,1,0,0,0,0,1,1
40,0.404,INFORM SOC,5,0,0,2,0,0,0,2,0,0,0,1
41,0.296,J ACAD LIBR,5,0,1,0,1,0,0,0,0,0,0,3
42,,J INTELL INF SYST,5,0,1,1,0,0,0,0,0,0,0,3
43,,J MANAGE INFORM SYST,5,0,0,0,1,1,1,0,0,0,1,1
44,,J SYST SOFTWARE,5,0,0,0,0,2,0,0,0,1,1,1
45,0.413,BEHAV INFORM TECHNOL,4,0,0,0,0,1,0,0,1,0,1,1
46,,COMPUT NETW,4,0,0,0,0,0,0,0,1,0,0,3
47,,FUZZY SET SYST,4,0,0,1,0,0,0,0,2,0,0,1
48,,INT J INTELL SYST,4,0,0,2,0,0,0,0,0,1,0,1
49,,J MOL GRAPH MODEL,4,0,0,0,1,1,0,0,0,0,0,2
50,,J ORG COMP ELECT COM,4,0,0,0,0,2,0,1,0,0,0,1
51,0.071,LIBR COLLECT ACQUIS,4,0,1,1,1,0,0,1,0,0,0,0
52,,NEURAL COMPUT APPL,4,0,0,0,1,0,0,0,0,0,0,3
53,,SEMIOTICA,4,0,0,1,1,0,0,0,0,0,0,2
54,,SPEECH COMMUN,4,0,0,0,0,0,0,0,0,0,0,4
55,,ADV NEUR IN,3,0,0,0,0,0,0,0,0,0,0,3
56,,AN S FDN CO,3,1,0,0,0,0,0,0,0,0,0,2
57,,APPL INTELL,3,0,0,1,1,0,0,0,0,0,0,1
58,,ARTIF INTELL,3,0,0,0,0,1,0,0,0,1,1,0
59,,ASTRON ASTROPHYS SUP,3,0,0,1,0,0,0,0,0,0,1,1
60,,BIOSCIENCE,3,0,0,1,2,0,0,0,0,0,0,0
61,,COMPUT INTELL,3,0,0,0,0,0,0,0,1,0,0,2
62,1.146,COMPUT LINGUIST,3,0,2,0,0,0,0,0,1,0,0,0
63,,COMPUT OPER RES,3,0,0,0,2,0,1,0,0,0,0,0
64,0.065,ECONTENT,3,0,1,0,1,1,0,0,0,0,0,0
65,,IEEE VISLANG,3,0,0,0,0,0,0,0,1,0,0,2
66,,IEICE T INF SYST,3,0,0,0,1,0,1,0,0,0,0,1
67,0.683,INFORM MANAGE,3,0,0,1,0,0,0,0,0,0,0,2
68,0.481,INFORM TECHNOL LIBR,3,0,0,1,0,2,0,0,0,0,0,0
69,,INT J MED INFORM,3,0,0,0,0,1,0,0,0,1,1,0
70,0.086,J EDUC COMPUT RES,3,0,0,0,0,1,0,0,0,0,0,2
71,0.778,KNOWL ORGAN,3,0,1,1,0,0,0,0,0,0,0,1
