Cited Journal Data: JOURNAL OF CHILD LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,971,3,13,39,58,43,57,69,67,38,33,551
2,,ALL OTHERS (63),63,0,2,3,7,3,2,4,5,2,5,30
3,0.945,J CHILD LANG,134,0,2,7,15,9,10,15,15,7,1,53
4,1.590,J SPEECH LANG HEAR R,69,1,2,4,2,2,7,4,5,3,1,38
5,2.768,CHILD DEV,46,0,1,1,5,0,2,4,4,1,5,23
6,,PROC ANN BUCLD,45,0,0,0,2,3,2,2,3,1,0,32
7,2.044,DEV PSYCHOL,30,0,0,2,1,0,4,4,2,1,0,16
8,2.940,J CHILD PSYCHOL PSYC,29,0,0,1,9,3,4,2,2,2,0,6
9,0.837,CLIN LINGUIST PHONET,27,0,1,1,0,3,3,4,4,1,0,10
10,2.622,COGNITION,27,0,0,4,4,0,2,3,3,1,0,10
11,1.357,DEV REV,24,0,0,0,1,1,1,2,1,0,1,17
12,0.021,VOLTA REV,20,0,0,0,0,0,0,0,0,0,1,19
13,1.127,AM J SPEECH-LANG PAT,19,0,0,1,0,0,1,0,2,0,1,14
14,0.800,BRIT J DEV PSYCHOL,19,0,0,0,0,1,2,0,1,0,1,14
15,3.000,MONOGR SOC RES CHILD,18,0,0,1,0,1,0,2,2,2,2,8
16,0.818,APPL PSYCHOLINGUIST,17,0,0,0,0,1,1,2,0,1,0,12
17,,ADV CHILD DEV BEHAV,15,0,0,2,0,0,0,1,0,0,1,11
18,0.750,MERRILL PALMER QUART,15,0,0,0,1,0,2,1,2,0,2,7
19,0.405,J PRAGMATICS,14,0,0,1,0,1,1,2,1,1,0,7
20,,TRENDS COGN SCI,14,0,1,4,2,1,0,1,2,1,0,2
21,0.356,INT J LANG COMM DIS,13,2,0,0,0,0,2,3,0,1,0,5
22,0.143,INFANT CHILD DEV,12,0,0,0,0,0,1,1,0,1,0,9
23,,AMST STUD THEORY HIS,11,0,0,0,0,0,0,0,1,0,0,10
