Cited Journal Data: JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,3151,6,91,134,168,172,139,153,126,183,132,1847
2,,ALL OTHERS (224),224,0,4,3,9,9,5,1,7,4,11,171
3,1.844,J EDUC PSYCHOL,316,1,21,28,35,19,22,10,13,16,14,137
4,0.595,CONTEMP EDUC PSYCHOL,121,0,5,3,11,9,14,6,7,10,2,54
5,1.000,J LEARN DISABIL-US,81,0,3,8,4,9,2,13,5,3,1,33
6,1.000,EDUC PSYCHOL REV,80,0,1,1,4,4,0,4,5,2,4,55
7,3.517,EDUC PSYCHOL,79,0,8,6,8,1,5,1,3,8,0,39
8,0.122,READ WRIT,78,0,0,4,4,8,2,8,6,5,3,38
9,0.386,J EXP EDUC,58,0,2,4,3,2,4,1,1,6,3,32
10,0.351,J EDUC RES,44,0,0,2,0,3,2,3,4,5,2,23
11,0.459,LEARN INDIVID DIFFER,41,0,1,7,3,4,0,0,2,8,5,11
12,1.357,DEV REV,37,0,0,3,2,1,3,0,1,1,3,23
13,0.537,BRIT J EDUC PSYCHOL,35,0,3,2,3,1,3,0,0,0,1,22
14,0.404,TOP LANG DISORD,34,0,1,4,7,1,2,1,1,2,2,13
15,0.338,RES HIGH EDUC,33,0,0,0,2,0,0,0,1,2,1,27
16,1.276,J EXP CHILD PSYCHOL,31,0,4,1,2,4,0,3,4,1,2,10
17,,FOCUS EXCEPT CHILD,30,0,0,1,2,0,3,0,3,2,4,15
18,1.091,LEARN DISABILITY Q,28,0,0,4,2,4,0,2,1,2,0,13
19,5.851,ANNU REV PSYCHOL,27,0,1,1,3,2,1,1,1,2,2,13
20,0.086,J EDUC COMPUT RES,26,0,1,1,2,2,2,1,0,3,3,11
21,0.345,Z ENTWICKL PADAGOGIS,26,0,0,0,3,0,3,2,1,1,1,15
22,0.865,ELEM SCHOOL J,25,0,0,3,1,1,1,1,1,1,1,15
23,1.730,J APPL PSYCHOL,25,0,0,0,0,2,2,0,1,3,0,17
24,1.507,MEM COGNITION,25,0,1,0,1,3,3,3,2,4,2,6
25,1.053,BRIT J PSYCHOL,22,0,0,1,1,1,1,0,0,2,2,14
26,0.617,J SPEC EDUC,22,0,0,2,0,4,3,1,2,2,0,8
27,0.750,MERRILL PALMER QUART,22,0,0,0,1,0,1,0,1,0,2,17
28,0.238,PSYCHOL REP,21,0,0,2,1,1,2,1,0,0,2,12
29,1.743,Z PADAGOG PSYCHOL,21,0,0,1,0,0,0,0,1,1,0,18
30,0.509,EARLY CHILD RES Q,20,0,1,1,0,2,1,3,2,0,1,9
31,0.473,PSICOTHEMA,20,0,1,1,0,0,0,0,1,1,0,16
32,2.486,READ RES QUART,19,1,0,3,1,2,0,0,1,1,0,10
33,0.536,LEARN INSTR,18,0,0,1,1,1,0,0,3,1,1,10
34,0.286,AM J PSYCHOL,17,0,0,0,1,1,1,2,0,1,1,10
35,2.753,J EXP PSYCHOL LEARN,17,0,0,0,1,0,0,2,0,0,0,14
36,0.608,EDUC PSYCHOL MEAS,16,0,0,0,0,0,0,0,0,0,0,16
37,0.212,J COMPUT ASSIST LEAR,16,0,0,2,0,0,1,4,0,1,1,7
38,0.647,J EDUC GIFTED,16,0,0,0,1,1,1,0,0,2,2,9
39,0.308,PERCEPT MOTOR SKILL,16,0,0,0,0,0,0,0,0,2,1,13
40,0.918,SCI EDUC,16,0,0,0,1,4,2,0,1,1,1,6
41,0.415,SEX ROLES,16,0,0,1,0,3,1,1,0,0,0,10
42,0.245,CAN J BEHAV SCI,15,0,1,0,1,0,0,0,0,1,0,12
43,2.044,DEV PSYCHOL,15,0,0,3,0,1,0,2,1,0,1,7
44,0.992,J RES SCI TEACH,15,0,0,1,0,2,0,0,0,0,0,12
45,1.424,SCHOOL PSYCHOL REV,15,0,0,2,1,0,0,2,1,2,0,7
46,0.929,APPL COGNITIVE PSYCH,14,0,0,0,0,0,0,2,0,1,1,10
47,0.818,APPL PSYCHOLINGUIST,14,0,0,0,1,1,3,3,0,0,0,6
48,0.696,COGNITION INSTRUCT,14,0,1,0,0,0,0,0,6,0,0,7
49,0.925,J ADOLESCENT RES,14,0,1,0,1,1,1,0,1,0,2,7
50,0.911,J SCHOOL PSYCHOL,14,0,1,1,2,0,0,0,1,0,2,7
51,6.857,AM PSYCHOL,13,0,1,0,0,1,0,0,0,4,3,4
52,2.768,CHILD DEV,13,0,1,0,1,2,0,0,0,1,1,7
53,0.705,INT J SCI EDUC,13,0,0,0,0,1,1,0,0,1,1,9
54,0.531,J ADOLESC ADULT LIT,13,0,0,3,2,0,1,1,2,0,0,4
55,1.102,J GERONTOL B-PSYCHOL,13,0,1,0,0,1,0,1,0,2,0,8
56,0.920,PERS INDIV DIFFER,13,0,0,0,1,0,2,1,0,2,0,7
57,0.309,PSYCHOL SCHOOLS,13,0,0,0,0,0,3,1,1,0,0,8
58,0.386,URBAN EDUC,13,0,0,1,1,1,0,0,1,1,2,6
59,0.054,AUST J EDUC,12,0,0,0,0,0,1,2,0,1,1,7
60,0.500,CAN J EXP PSYCHOL,12,0,0,2,1,2,0,2,0,0,1,4
61,0.333,COMPUT HUM BEHAV,12,0,1,1,1,0,1,0,0,1,0,7
62,0.395,INT J SELECT ASSESS,12,0,0,0,0,0,0,0,0,0,0,12
63,0.500,INTELLIGENCE,12,0,0,0,0,1,1,1,0,3,0,6
64,0.656,J ADOLESCENCE,12,0,0,0,1,3,1,0,0,1,0,6
65,0.045,J NEGRO EDUC,12,0,0,1,1,2,0,0,0,2,0,6
66,0.723,J YOUTH ADOLESCENCE,12,0,0,0,1,3,0,0,0,0,0,8
67,1.241,SOCIOL EDUC,12,0,0,0,0,0,0,1,1,2,1,7
68,,BRIT EDUC RES J,11,0,0,0,0,0,2,0,1,3,0,5
69,0.084,DRUS ISTRAZ,11,0,0,0,0,0,0,0,1,1,0,9
70,0.477,J APPL DEV PSYCHOL,11,0,0,0,2,1,0,1,0,0,0,7
71,0.722,J APPL SOC PSYCHOL,11,0,0,0,0,0,0,0,0,0,0,11
72,0.918,J EARLY INTERVENTION,11,0,0,1,0,1,2,2,0,0,0,5
73,0.909,J LIT RES,11,0,0,1,0,0,0,1,0,1,2,6
74,0.830,LEADERSHIP QUART,11,0,0,0,0,0,0,1,0,0,0,10
75,0.212,TRAV HUMAIN,11,0,0,0,0,2,0,1,0,1,1,6
76,0.871,DEV NEUROPSYCHOL,10,0,0,2,0,4,0,1,0,0,0,3
77,3.172,J PERS SOC PSYCHOL,10,0,0,0,0,1,1,0,0,0,0,8
