Cited Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL BEHAVIOR PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1058,1,29,72,88,71,52,52,59,56,83,495
2,,ALL OTHERS (68),68,0,1,4,2,8,0,2,0,4,4,43
3,1.365,J EXP PSYCHOL ANIM B,138,0,2,8,14,12,9,6,10,5,8,64
4,1.105,ANIM LEARN BEHAV,85,0,7,6,9,6,5,5,6,1,6,34
5,0.906,BEHAV PROCESS,83,0,2,11,11,3,4,8,5,3,5,31
6,1.000,Q J EXP PSYCHOL-B,58,0,1,7,4,6,2,2,8,1,5,22
7,,BEHAV NEUROSCI,48,0,2,2,6,2,1,0,4,2,1,28
8,1.194,PSYCHOBIOLOGY,43,0,0,2,6,0,3,0,4,3,7,18
9,1.156,LEARN MOTIV,39,0,1,0,0,0,4,4,5,4,7,14
10,6.069,PSYCHOL REV,36,0,1,5,4,2,3,5,2,2,1,11
11,,BEHAV BRAIN RES,29,0,1,1,2,0,1,0,0,3,1,20
12,1.477,J COMP PSYCHOL,29,0,0,1,3,3,5,4,1,1,1,10
13,1.172,J EXP ANAL BEHAV,29,0,1,0,2,1,1,2,0,1,2,19
14,,PSYCHOPHARMACOLOGY,24,0,1,0,4,0,3,2,0,3,0,11
15,14.250,BEHAV BRAIN SCI,23,0,1,0,0,2,0,2,2,3,0,13
16,0.684,PSYCHOL REC,21,0,0,1,4,1,2,0,2,0,3,8
17,1.419,PHYSIOL BEHAV,15,0,1,0,2,0,0,0,1,1,0,10
18,1.629,COGNITIVE SCI,13,0,0,0,1,2,1,1,0,1,1,6
19,2.247,J EXP PSYCHOL HUMAN,12,0,0,3,0,1,2,1,0,0,1,4
20,,PHARMACOL BIOCHEM BE,12,0,0,1,0,0,0,0,0,0,2,9
21,1.500,BIOL PSYCHOL,11,0,3,4,0,0,0,0,0,2,0,2
22,3.074,HEALTH PSYCHOL,11,0,0,0,1,0,0,2,2,1,1,4
23,0.519,J GEN PSYCHOL,11,0,0,0,1,2,0,0,0,2,2,4
24,,ADV STUD BEHAV,9,0,0,0,0,1,0,0,0,2,2,4
25,,BRAIN RES,9,0,0,1,1,0,0,0,0,0,2,5
26,,J NEUROSCI,9,1,0,1,0,0,0,0,0,1,0,6
