Cited Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1959,24,58,102,106,134,148,172,145,108,116,846
2,,ALL OTHERS (167),167,0,5,3,7,6,7,12,12,5,8,102
3,2.753,J EXP PSYCHOL LEARN,153,3,3,19,11,14,18,9,10,7,5,54
4,2.247,J EXP PSYCHOL HUMAN,108,0,3,7,10,7,7,22,0,7,1,44
5,1.507,MEM COGNITION,93,1,6,4,6,8,11,7,6,6,3,35
6,1.252,PERCEPT PSYCHOPHYS,73,0,2,1,4,4,3,24,1,4,1,29
7,3.636,J EXP PSYCHOL GEN,69,11,2,2,5,9,3,3,5,2,4,23
8,1.580,PSYCHON B REV,56,0,3,2,4,7,5,6,4,6,2,17
9,2.565,PSYCHOL SCI,38,1,0,7,0,3,3,5,2,1,2,14
10,2.638,J MEM LANG,36,0,2,1,1,3,5,4,3,2,1,14
11,1.522,MEMORY,34,0,0,3,3,5,1,2,8,0,3,9
12,6.069,PSYCHOL REV,30,1,1,1,4,2,2,2,2,0,4,11
13,,VISION RES,27,0,0,0,0,0,0,5,0,6,0,16
14,5.115,J COGNITIVE NEUROSCI,26,1,0,0,0,2,0,4,2,2,0,15
15,2.308,PSYCHOL AGING,26,0,4,2,5,2,2,1,1,0,3,6
16,1.452,Q J EXP PSYCHOL-A,25,0,0,2,3,1,3,1,1,0,1,13
17,2.778,NEUROPSYCHOLOGIA,24,0,3,0,0,0,3,4,4,0,4,6
18,5.851,ANNU REV PSYCHOL,21,0,0,4,1,3,1,2,1,0,1,8
19,,TRENDS COGN SCI,21,3,3,2,0,1,0,4,0,2,0,6
20,0.500,CAN J EXP PSYCHOL,20,0,1,1,1,3,2,2,1,0,1,8
21,0.405,J PRAGMATICS,20,0,0,0,0,0,3,2,0,0,0,15
22,2.702,NEUROPSYCHOLOGY,20,0,1,2,0,4,2,1,2,1,1,6
23,1.360,PSYCHOL RES-PSYCH FO,20,0,0,1,0,2,3,1,2,2,2,7
24,1.267,ACTA PSYCHOL,19,0,1,0,0,1,1,4,2,2,1,7
25,1.276,J EXP CHILD PSYCHOL,19,0,0,2,0,1,2,3,2,0,0,9
26,1.500,BIOL PSYCHOL,18,0,0,3,1,1,0,0,1,4,2,6
27,3.463,COGNITIVE PSYCHOL,18,0,1,1,0,0,3,1,2,1,0,9
28,2.180,COGNITIVE NEUROPSYCH,17,0,0,0,1,0,1,0,0,1,4,10
29,0.452,EUR J COGN PSYCHOL,17,0,0,0,0,1,1,1,3,0,2,9
30,0.725,J PSYCHOLINGUIST RES,15,0,0,0,0,0,3,0,1,0,1,10
31,3.106,PSYCHOPHYSIOLOGY,15,0,0,0,0,3,1,0,0,5,0,6
32,0.286,AM J PSYCHOL,14,0,0,1,1,0,2,0,1,0,1,8
33,14.250,BEHAV BRAIN SCI,14,0,0,0,4,1,0,0,0,0,3,6
34,2.768,CHILD DEV,14,0,0,1,0,0,0,2,0,0,0,11
35,2.622,COGNITION,14,0,0,0,0,0,1,2,1,0,0,10
36,1.962,CONSCIOUS COGN,14,1,0,1,2,0,2,1,2,1,0,4
37,1.000,J EXP PSYCHOL-APPL,13,0,0,2,0,2,0,1,1,0,1,6
38,0.929,APPL COGNITIVE PSYCH,12,0,0,0,0,0,0,1,1,0,2,8
39,,COGNITIVE BRAIN RES,12,0,0,1,0,1,4,0,2,2,0,2
40,6.913,PSYCHOL BULL,12,0,1,0,1,1,1,1,1,1,1,4
41,1.581,DISCOURSE PROCESS,11,0,0,0,0,0,4,0,0,0,1,6
42,0.308,PERCEPT MOTOR SKILL,11,0,0,0,0,1,0,0,2,0,2,6
43,1.193,PERCEPTION,11,0,0,0,0,0,0,2,0,3,1,5
44,,REV NEUROPSYCHOL,11,0,0,0,0,2,1,1,2,0,1,4
45,0.295,VIS COGN,11,0,1,1,0,1,1,0,0,1,0,6
