Cited Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,5121,38,154,336,360,333,496,387,374,455,305,1883
2,,ALL OTHERS (173),173,1,4,5,2,9,13,6,16,13,10,94
3,2.753,J EXP PSYCHOL LEARN,676,14,37,66,60,44,60,70,42,50,42,191
4,1.507,MEM COGNITION,459,4,15,26,25,40,44,32,47,32,29,165
5,1.580,PSYCHON B REV,265,2,13,22,23,17,34,24,20,23,12,75
6,2.638,J MEM LANG,257,2,10,17,19,21,27,19,19,26,18,79
7,2.247,J EXP PSYCHOL HUMAN,134,1,0,8,11,10,19,14,9,17,9,36
8,1.452,Q J EXP PSYCHOL-A,128,0,2,4,9,16,16,4,10,13,9,45
9,6.069,PSYCHOL REV,113,1,5,15,13,7,11,6,7,13,2,33
10,3.636,J EXP PSYCHOL GEN,92,1,1,8,14,4,7,13,9,10,2,23
11,2.778,NEUROPSYCHOLOGIA,87,0,3,4,5,3,11,10,1,11,7,32
12,0.286,AM J PSYCHOL,84,0,1,3,5,3,8,9,4,9,5,37
13,0.452,EUR J COGN PSYCHOL,69,0,0,9,4,6,4,10,3,3,6,24
14,2.308,PSYCHOL AGING,64,0,2,3,4,8,4,6,8,12,5,12
15,1.522,MEMORY,62,0,4,3,5,0,10,2,1,5,5,27
16,1.473,BRAIN LANG,60,0,0,5,1,3,7,7,5,6,4,22
17,2.702,NEUROPSYCHOLOGY,58,0,1,2,6,5,5,3,2,4,6,24
18,1.360,PSYCHOL RES-PSYCH FO,58,0,2,2,7,10,3,3,4,8,5,14
19,1.252,PERCEPT PSYCHOPHYS,55,0,0,5,2,1,8,4,3,8,4,20
20,0.875,LANG COGNITIVE PROC,53,1,2,10,10,0,5,6,2,1,4,12
21,2.622,COGNITION,46,0,4,5,2,7,7,4,2,6,1,8
22,0.295,VIS COGN,46,0,0,1,1,3,5,4,1,7,5,19
23,3.463,COGNITIVE PSYCHOL,43,0,1,1,0,8,2,6,2,3,3,17
24,0.308,PERCEPT MOTOR SKILL,43,0,0,1,0,2,7,2,2,2,1,26
25,1.267,ACTA PSYCHOL,41,0,1,4,0,4,6,1,6,4,2,13
26,5.115,J COGNITIVE NEUROSCI,39,0,1,4,0,3,4,3,4,2,4,14
27,,COGNITIVE BRAIN RES,38,0,0,3,3,4,2,4,4,4,1,13
28,2.565,PSYCHOL SCI,36,0,3,2,2,2,6,1,4,3,0,13
29,1.962,CONSCIOUS COGN,34,0,3,0,3,0,1,0,7,9,2,9
30,1.276,J EXP CHILD PSYCHOL,34,0,2,2,5,0,3,1,0,3,2,16
31,0.725,J PSYCHOLINGUIST RES,34,0,0,7,1,4,4,3,6,3,0,6
32,0.929,APPL COGNITIVE PSYCH,33,0,0,1,3,1,5,4,2,3,2,12
33,14.250,BEHAV BRAIN SCI,33,0,2,4,3,3,7,1,0,5,2,6
34,0.500,CAN J EXP PSYCHOL,33,0,3,3,4,4,3,2,3,3,2,6
35,1.500,BIOL PSYCHOL,31,0,0,5,3,2,3,6,0,2,1,9
36,2.460,J CONSUM RES,31,0,1,3,2,3,4,2,0,4,0,12
37,0.093,PSYCHOLOGIA,31,0,0,1,9,3,7,3,3,0,2,3
38,3.106,PSYCHOPHYSIOLOGY,30,0,1,3,3,1,4,3,2,4,1,8
39,1.000,J EXP PSYCHOL-APPL,29,0,0,1,4,3,3,2,3,3,0,10
40,,TRENDS COGN SCI,29,1,6,4,2,0,5,5,0,2,0,4
41,,CORTEX,28,0,1,1,0,3,0,1,0,3,1,18
42,3.172,J PERS SOC PSYCHOL,27,1,0,4,2,2,1,0,1,0,1,15
43,0.676,PSYCHOL RUNDSCH,25,0,0,3,1,3,1,3,5,4,1,4
44,,REV NEUROPSYCHOL,25,0,1,0,4,0,2,6,0,2,1,9
45,0.330,SCAND J PSYCHOL,25,1,0,4,0,0,1,1,2,3,1,12
46,5.851,ANNU REV PSYCHOL,24,0,1,3,2,2,1,1,2,2,1,9
