Cited Journal Data: JOURNAL OF THE LEARNING SCIENCES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,201,3,3,24,20,16,28,25,19,48,14,1
2,,ALL OTHERS (52),52,0,0,6,5,3,8,6,6,13,5,0
3,1.286,J LEARN SCI,31,0,0,7,4,5,3,4,1,6,1,0
4,0.705,INT J SCI EDUC,21,0,0,1,2,0,0,1,8,5,4,0
5,0.992,J RES SCI TEACH,15,1,1,2,2,2,0,1,2,4,0,0
6,0.086,J EDUC COMPUT RES,13,0,0,0,0,2,0,7,0,2,1,1
7,3.517,EDUC PSYCHOL,7,2,1,2,0,0,1,0,0,1,0,0
8,0.536,LEARN INSTR,6,0,0,1,2,0,1,0,0,2,0,0
9,,IBM SYST J,5,0,1,1,1,0,1,0,0,1,0,0
10,0.212,J COMPUT ASSIST LEAR,4,0,0,0,0,0,0,2,0,2,0,0
11,1.844,J EDUC PSYCHOL,4,0,0,2,0,0,1,0,0,1,0,0
12,0.696,COGNITION INSTRUCT,3,0,0,0,1,0,1,0,0,1,0,0
13,0.954,HUM FACTORS,3,0,0,0,1,0,2,0,0,0,0,0
14,0.438,J CURRICULUM STUD,3,0,0,0,0,0,1,1,0,0,1,0
15,,AM J PHYS,2,0,0,0,0,1,0,0,1,0,0,0
16,,APPL ARTIF INTELL,2,0,0,0,0,0,0,0,0,2,0,0
17,,CLIN INVEST MED,2,0,0,0,0,0,1,0,0,1,0,0
18,1.629,COGNITIVE SCI,2,0,0,0,0,0,2,0,0,0,0,0
19,0.333,COMPUT HUM BEHAV,2,0,0,0,0,0,1,1,0,0,0,0
20,1.357,DEV REV,2,0,0,0,0,0,1,0,0,0,1,0
21,0.255,EDUC LEADERSHIP,2,0,0,0,0,0,0,0,0,1,1,0
22,0.177,ETR&D-EDUC TECH RES,2,0,0,0,0,0,0,2,0,0,0,0
23,0.259,HIGH EDUC,2,0,0,1,0,0,0,0,0,1,0,0
24,0.651,INSTR SCI,2,0,0,0,0,0,1,0,0,1,0,0
25,0.477,J APPL DEV PSYCHOL,2,0,0,0,0,0,1,0,0,1,0,0
26,,J BIOL EDUC,2,0,0,0,0,1,0,0,1,0,0,0
27,,J CHEM EDUC,2,0,0,1,0,0,0,0,0,1,0,0
28,0.386,J EXP EDUC,2,0,0,0,2,0,0,0,0,0,0,0
29,0.405,J PRAGMATICS,2,0,0,0,0,2,0,0,0,0,0,0
30,0.603,REM SPEC EDUC,2,0,0,0,0,0,0,0,0,2,0,0
31,,USER MODEL USER-ADAP,2,0,0,0,0,0,2,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
