Cited Journal Data: JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,20885,91,328,887,944,1000,1039,961,1026,896,894,12819
2,,ALL OTHERS (385),385,0,5,13,7,9,12,7,20,8,8,296
3,3.172,J PERS SOC PSYCHOL,1886,21,72,158,144,117,125,93,117,78,79,882
4,1.205,PERS SOC PSYCHOL B,644,1,6,27,43,31,44,41,48,30,39,334
5,1.069,EUR J SOC PSYCHOL,518,6,23,36,35,36,37,32,29,27,20,237
6,6.913,PSYCHOL BULL,411,2,8,26,14,24,16,15,9,26,17,254
7,0.920,PERS INDIV DIFFER,386,0,2,12,18,14,19,23,29,20,17,232
8,0.722,J APPL SOC PSYCHOL,352,0,0,5,8,13,8,14,18,15,8,263
9,1.481,J EXP SOC PSYCHOL,336,2,5,21,26,30,31,16,14,18,14,159
10,,PERS SOC PSYCHOL REV,328,2,10,24,20,24,22,17,15,16,12,166
11,1.488,J PERS,309,0,2,20,20,13,32,13,36,13,20,140
12,1.000,J RES PERS,224,1,3,12,9,15,11,11,9,8,13,132
13,0.882,J SOC CLIN PSYCHOL,206,0,1,15,12,11,9,15,13,13,13,104
14,1.352,BRIT J SOC PSYCHOL,201,0,1,3,11,12,13,15,9,11,7,119
15,6.857,AM PSYCHOL,198,3,9,13,12,13,14,11,11,11,4,97
16,1.863,COGNITION EMOTION,194,0,2,16,12,14,12,11,10,9,10,98
17,2.414,PSYCHOL INQ,190,4,12,7,13,15,9,11,10,7,6,96
18,1.415,SOC COGNITION,186,0,9,10,11,14,22,10,3,8,6,93
19,2.460,J CONSUM RES,182,0,2,5,6,13,12,8,7,8,13,108
20,5.851,ANNU REV PSYCHOL,176,0,2,28,31,24,16,16,10,4,7,38
21,1.730,J APPL PSYCHOL,172,0,0,10,5,5,5,9,9,10,8,111
22,0.845,EUR J PERSONALITY,169,1,8,10,7,5,7,9,9,8,4,101
23,5.250,ADV EXP SOC PSYCHOL,167,0,5,5,6,10,6,5,14,9,6,101
24,0.415,SEX ROLES,167,0,4,1,4,5,8,9,2,7,8,119
25,0.238,PSYCHOL REP,163,0,0,3,7,6,5,7,4,5,4,122
26,0.375,BASIC APPL SOC PSYCH,162,0,1,5,7,11,9,7,10,8,4,100
27,0.363,PSYCHOL MARKET,151,0,0,2,6,3,5,13,7,3,7,105
28,0.559,J SOC PERS RELAT,143,1,2,10,5,16,5,4,8,6,7,79
29,6.069,PSYCHOL REV,138,0,6,11,9,12,10,9,3,5,6,67
30,1.017,PERS RELATIONSHIP,137,1,4,4,11,8,6,4,5,6,16,72
31,1.200,ORGAN BEHAV HUM DEC,136,1,3,6,12,8,7,4,6,5,11,73
32,0.909,PSYCHOL HEALTH,127,0,0,2,6,2,2,3,9,7,9,87
33,0.808,J ORGAN BEHAV,124,0,0,3,0,3,1,5,5,4,3,100
34,0.286,J SOC PSYCHOL,123,0,0,0,2,1,5,6,5,2,4,98
35,0.862,POLIT PSYCHOL,122,0,1,4,5,12,8,2,11,5,3,71
36,0.341,Z SOZIALPSYCHOL,120,5,2,6,5,6,6,5,7,3,8,67
37,2.506,ANN BEHAV MED,117,0,0,5,5,6,4,5,8,7,4,73
38,0.473,PSICOTHEMA,116,0,0,4,10,10,8,5,5,3,5,66
39,0.756,COGNITIVE THER RES,112,0,0,2,1,5,5,9,5,8,7,70
40,3.074,HEALTH PSYCHOL,111,2,0,5,3,12,5,4,9,5,6,60
41,1.133,MOTIV EMOTION,110,0,2,3,4,2,5,6,6,7,3,72
42,3.352,J ABNORM PSYCHOL,106,0,4,11,3,2,10,11,2,7,5,51
43,4.390,J CONSULT CLIN PSYCH,105,2,5,7,6,3,4,9,6,5,7,51
44,1.564,J COUNS PSYCHOL,104,0,1,12,6,7,4,5,0,8,10,51
