Cited Journal Data: JOURNAL OF PSYCHOLINGUISTIC RESEARCH,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,418,12,23,27,21,36,28,26,26,13,15,191
2,,ALL OTHERS (77),77,0,1,2,4,2,2,2,9,4,3,48
3,0.725,J PSYCHOLINGUIST RES,50,4,7,5,2,5,10,7,3,0,0,7
4,0.875,LANG COGNITIVE PROC,21,5,2,1,0,1,0,3,2,0,0,7
5,1.473,BRAIN LANG,18,0,3,0,3,2,2,1,0,0,0,7
6,2.638,J MEM LANG,15,0,0,2,0,1,2,3,1,0,0,6
7,1.507,MEM COGNITION,14,0,2,0,0,2,1,1,2,0,2,4
8,14.250,BEHAV BRAIN SCI,13,0,2,1,0,2,1,2,0,0,2,3
9,1.590,J SPEECH LANG HEAR R,12,0,0,0,2,0,0,1,0,1,0,8
10,2.622,COGNITION,11,0,1,1,1,1,2,1,0,0,1,3
11,,APHASIOLOGY,10,0,0,0,0,0,0,1,0,1,1,7
12,2.753,J EXP PSYCHOL LEARN,9,1,2,1,0,0,0,1,1,0,1,2
13,1.452,Q J EXP PSYCHOL-A,8,0,0,0,0,5,0,1,0,0,0,2
14,0.639,LANG SPEECH,7,1,1,2,0,2,0,1,0,0,0,0
15,0.837,CLIN LINGUIST PHONET,5,0,0,1,0,0,0,0,0,1,0,3
16,0.356,INT J LANG COMM DIS,5,0,0,0,0,0,0,0,0,1,0,4
17,0.945,J CHILD LANG,5,0,0,0,0,0,0,0,0,0,0,5
18,,J MARK COMMUN,5,0,0,0,0,0,0,0,1,0,1,3
19,0.818,APPL PSYCHOLINGUIST,4,0,0,0,1,0,0,0,0,1,0,2
20,0.800,BRIT J DEV PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
21,3.463,COGNITIVE PSYCHOL,4,0,0,0,0,0,0,0,0,0,1,3
22,5.115,J COGNITIVE NEUROSCI,4,0,0,1,0,1,0,0,0,0,0,2
23,1.102,J GERONTOL B-PSYCHOL,4,0,0,0,0,2,1,0,0,0,0,1
24,0.525,J LANG SOC PSYCHOL,4,0,0,1,0,0,0,0,0,0,0,3
25,0.405,J PRAGMATICS,4,0,0,1,0,1,0,0,0,0,0,2
26,,NEUROCASE,4,0,0,0,1,0,0,0,0,0,0,3
27,2.778,NEUROPSYCHOLOGIA,4,0,0,0,0,0,0,1,0,0,0,3
28,1.580,PSYCHON B REV,4,0,0,2,0,1,0,0,0,0,0,1
29,0.122,READ WRIT,4,0,0,0,1,0,0,0,0,0,0,3
30,,TRENDS COGN SCI,4,0,0,3,0,0,0,0,0,0,0,1
31,,Z ANGLIST AM,4,0,0,0,0,3,0,0,0,0,0,1
32,0.258,EUR J PSYCHOL EDUC,3,0,0,0,1,1,1,0,0,0,0,0
33,0.477,J APPL DEV PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
34,3.636,J EXP PSYCHOL GEN,3,1,0,0,0,0,0,0,1,1,0,0
35,0.667,J PHONETICS,3,0,1,0,0,0,0,0,0,0,0,2
36,0.431,JUDICATURE,3,0,0,0,3,0,0,0,0,0,0,0
37,0.308,PERCEPT MOTOR SKILL,3,0,0,0,0,0,1,0,0,0,0,2
38,0.417,PSYCHOL BELG,3,0,0,0,0,0,0,0,0,0,0,3
39,1.267,ACTA PSYCHOL,2,0,0,0,0,0,1,0,1,0,0,0
