Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,10723,73,673,1475,1583,1453,1157,735,642,504,521,1907
2,,ALL OTHERS (227),227,2,22,26,38,27,20,12,7,8,15,50
3,0.390,LECT NOTES COMPUT SC,3224,3,178,575,542,447,349,214,193,150,132,441
4,0.417,THEOR COMPUT SCI,748,0,7,45,92,101,99,66,50,40,32,216
5,0.635,INFORM COMPUT,285,1,4,25,24,31,37,36,30,18,17,62
6,0.253,LECT NOTES ARTIF INT,282,0,30,46,40,39,32,9,9,9,13,55
7,0.878,SIAM J COMPUT,153,1,3,20,9,24,17,8,3,9,9,50
8,3.253,P IEEE,148,12,28,16,18,19,22,3,17,6,0,7
9,0.254,IEICE T FUND ELECTR,137,2,9,18,18,20,6,11,8,12,9,24
10,0.189,ACM SIGPLAN NOTICES,129,2,15,20,15,14,15,6,5,9,11,17
11,0.664,J COMPUT SYST SCI,127,0,11,7,22,12,10,10,8,8,8,31
12,2.083,J ACM,125,1,5,10,9,16,17,6,13,11,3,34
13,,INT FED INFO PROC,122,4,12,20,16,20,10,8,4,2,2,24
14,1.697,J CRYPTOL,114,0,1,9,3,22,10,15,5,3,18,28
15,,NATO ADV SCI I F-COM,114,0,15,7,18,23,13,12,8,7,4,7
16,0.360,INFORM PROCESS LETT,109,3,17,18,18,13,6,7,2,3,7,15
17,1.113,SCI COMPUT PROGRAM,100,0,1,20,5,18,7,10,5,6,4,24
18,,DESIGN CODE CRYPTOGR,99,0,1,12,11,16,11,13,8,2,8,17
19,0.504,ALGORITHMICA,90,0,0,5,7,6,17,19,9,7,3,17
20,0.470,PARALLEL COMPUT,79,1,6,29,13,9,2,9,1,1,1,7
21,,P SOC PHOTO-OPT INS,78,1,14,16,13,11,9,5,1,2,1,5
22,1.292,ACM T PROGR LANG SYS,77,0,2,7,6,5,13,7,7,6,7,17
23,,IEEE S LOG,73,0,6,11,9,10,6,6,1,3,2,19
24,0.504,SOFTWARE PRACT EXPER,73,0,5,5,17,16,14,4,5,2,2,3
25,0.143,IEICE T INF SYST,72,0,7,12,7,7,6,5,4,6,5,13
26,0.556,CONCURRENCY-PRACT EX,69,1,6,11,10,6,6,4,4,6,3,12
27,0.585,J ALGORITHM,68,2,13,7,8,7,7,5,5,2,2,10
28,0.500,FORM METHOD SYST DES,67,0,3,5,9,11,9,3,3,3,3,18
29,0.339,DISCRETE APPL MATH,62,0,7,2,5,6,10,11,3,1,4,13
30,0.398,COMPUT J,59,0,2,2,11,2,3,8,2,3,7,19
31,0.822,J LOGIC COMPUT,59,0,0,1,6,7,6,5,9,9,3,13
32,0.702,ACTA INFORM,57,0,0,3,9,9,5,2,5,6,3,15
33,,IEEE SYS MAN CYBERN,54,3,6,7,10,3,2,0,2,7,2,12
34,0.874,COMPUT VIS IMAGE UND,51,0,3,7,16,8,3,4,3,4,2,1
35,,FUTURE GENER COMP SY,51,0,0,5,11,6,3,4,2,3,4,13
36,2.029,ARTIF INTELL,50,1,11,6,7,3,6,4,2,2,2,6
37,0.635,COMP GEOM-THEOR APPL,49,0,4,10,5,8,5,3,4,1,1,8
38,0.654,IEEE T INFORM THEORY,48,0,2,3,9,4,5,1,1,2,7,14
39,0.482,ANN SOFTW ENG,45,0,2,1,3,4,1,1,4,1,5,23
40,1.319,J LOGIC PROGRAM,42,0,2,4,1,2,3,3,3,4,2,18
41,,AN S FDN CO,41,3,3,7,2,3,5,2,1,1,4,10
