Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1663,9,50,73,195,171,152,98,129,168,111,507
2,,ALL OTHERS (115),115,1,1,6,19,5,13,8,6,8,12,36
3,0.253,LECT NOTES ARTIF INT,160,0,1,6,20,15,9,15,17,15,13,49
4,1.447,MACH LEARN,158,1,4,8,26,20,18,13,17,9,10,32
5,0.390,LECT NOTES COMPUT SC,120,1,6,3,14,16,12,6,8,9,3,42
6,,ADV NEUR IN,71,0,4,5,9,10,12,5,1,13,1,11
7,2.029,ARTIF INTELL,46,0,4,2,6,1,2,1,4,4,2,20
8,,FR ART INT,44,0,1,4,3,7,1,2,6,6,4,10
9,,IEEE SYS MAN CYBERN,32,0,2,1,5,2,3,1,2,8,0,8
10,2.702,NEURAL COMPUT,31,0,2,0,3,7,6,3,2,1,4,3
11,,P SOC PHOTO-OPT INS,30,0,1,2,3,5,1,1,4,2,0,11
12,,MANAG INFORMAT SYST,28,0,2,0,6,2,0,2,1,3,1,11
13,0.333,INT J HUM-COMPUT ST,22,0,0,3,1,0,1,2,2,0,3,10
14,,PROC INT C TOOLS ART,21,0,2,0,1,1,3,2,4,2,1,5
15,1.096,IEEE T NEURAL NETWOR,20,0,1,0,1,2,5,1,5,2,0,3
16,1.259,ANN STAT,16,2,3,1,0,4,0,3,2,0,0,1
17,0.415,ROBOT AUTON SYST,15,0,0,0,0,4,0,0,1,7,1,2
18,0.664,J COMPUT SYST SCI,14,0,1,1,3,0,2,0,0,1,0,6
19,,ST CLASS DAT ANAL,14,0,0,0,0,2,1,0,0,3,2,6
20,0.803,STAT COMPUT,14,1,1,0,2,2,3,0,0,3,0,2
21,1.091,COMPUT INTELL,13,0,0,0,2,1,2,0,3,0,2,3
22,1.931,DATA MIN KNOWL DISC,13,2,0,0,0,3,2,0,2,1,1,2
23,0.322,INFORM SCIENCES,13,0,0,0,0,2,1,1,2,2,0,5
24,,ADV SOFT COMP,12,1,0,0,1,0,1,0,3,2,1,3
25,1.017,APPL ARTIF INTELL,12,0,0,0,0,0,1,1,1,1,3,5
26,,BCS CONF SERIES,12,0,0,0,1,0,2,0,2,0,2,5
27,0.720,IEEE T SYST MAN CY B,12,0,0,0,0,2,0,1,2,3,0,4
28,1.064,J ARTIF INTELL RES,12,0,0,2,2,1,0,1,0,5,0,1
29,0.444,NEW GENERAT COMPUT,12,0,0,1,0,0,1,1,0,2,0,7
30,1.793,ARTIF INTELL MED,11,0,0,0,1,2,1,0,1,0,1,5
31,0.957,IEEE T SYST MAN CY C,11,0,0,0,1,3,0,0,1,4,1,1
32,0.083,J INTELL ROBOT SYST,11,0,0,2,0,3,1,0,1,1,0,3
33,0.405,EXPERT SYST APPL,10,0,0,1,1,1,0,0,1,0,2,4
34,1.000,IEEE T KNOWL DATA EN,10,0,0,0,0,0,2,1,2,2,3,0
35,2.083,J ACM,10,0,2,0,0,0,0,2,0,0,0,6
36,0.575,J INTELL INF SYST,10,0,0,0,2,0,0,1,2,2,1,2
37,,STAT METHODS MED RES,10,0,0,2,3,2,0,0,0,1,0,2
38,0.420,APPL INTELL,9,0,0,0,0,0,2,1,3,2,1,0
39,0.557,IEEE T SYST MAN CY A,9,0,0,0,1,0,0,1,0,3,0,4
