Cited Journal Data: MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1095,2,22,20,31,36,77,174,66,71,26,570
2,,ALL OTHERS (175),175,1,2,1,5,6,4,15,16,14,10,101
3,2.768,CHILD DEV,67,0,0,0,2,4,13,9,4,6,0,29
4,3.079,DEV PSYCHOPATHOL,45,0,4,0,0,0,2,11,2,1,0,25
5,2.044,DEV PSYCHOL,30,0,1,0,0,1,2,4,4,2,0,16
6,2.940,J CHILD PSYCHOL PSYC,26,0,3,0,2,1,1,4,0,2,0,13
7,1.357,DEV REV,24,0,0,1,0,0,2,3,2,1,0,15
8,0.341,PSYCHOL ERZ UNTERR,23,0,1,0,0,0,5,0,0,0,0,17
9,0.706,INT J BEHAV DEV,21,0,0,1,1,1,6,2,2,0,2,6
10,0.945,J CHILD LANG,21,0,0,1,2,0,0,8,3,1,0,6
11,6.913,PSYCHOL BULL,21,0,1,0,1,0,1,1,2,0,1,14
12,1.188,INFANT BEHAV DEV,20,1,0,0,0,0,5,8,0,0,0,6
13,1.058,J FAM PSYCHOL,19,0,1,0,0,0,1,4,1,3,0,9
14,0.886,SOC DEV,17,0,0,0,0,0,2,6,0,0,0,9
15,1.917,J ABNORM CHILD PSYCH,16,0,1,0,1,0,0,9,0,1,2,2
16,2.135,J MARRIAGE FAM,16,0,1,0,0,0,0,3,0,6,0,6
17,0.911,J SCHOOL PSYCHOL,15,0,0,2,0,0,0,1,0,2,0,10
18,0.750,MERRILL PALMER QUART,15,0,0,1,0,0,2,1,2,1,0,8
19,0.477,J APPL DEV PSYCHOL,13,0,0,0,0,0,0,3,1,2,0,7
20,1.017,PERS RELATIONSHIP,13,0,0,0,0,0,2,1,0,0,0,10
21,,ADV CHILD DEV BEHAV,12,0,0,1,0,0,1,1,0,0,0,9
22,2.622,COGNITION,11,0,0,1,1,2,0,1,1,1,0,4
23,3.172,J PERS SOC PSYCHOL,11,0,0,0,0,0,0,6,0,0,0,5
24,6.857,AM PSYCHOL,10,0,0,0,0,1,4,1,0,0,0,4
25,1.629,COGNITIVE SCI,10,0,0,1,0,4,1,0,3,0,0,1
26,0.476,J GENET PSYCHOL,10,0,0,0,0,0,3,2,0,0,0,5
27,3.000,MONOGR SOC RES CHILD,10,0,0,1,0,1,0,3,0,0,0,5
28,0.695,AM J HUM BIOL,9,0,0,0,0,0,0,0,0,0,0,9
29,1.072,CHILD ABUSE NEGLECT,9,0,0,0,1,1,0,1,0,1,0,5
30,,DEV PSYCHOBIOL,9,0,0,1,0,2,0,2,1,0,1,2
31,0.577,HUM DEV,9,0,0,0,0,0,0,0,1,0,1,7
32,3.175,J AM ACAD CHILD PSY,9,0,0,0,1,0,0,3,0,0,2,3
33,1.041,J DEV BEHAV PEDIATR,9,0,0,0,0,0,0,1,0,0,0,8
34,1.939,AM J ORTHOPSYCHIAT,8,0,0,0,0,0,2,1,0,0,0,5
35,1.682,CLIN PSYCHOL-SCI PR,8,0,0,0,0,0,0,5,0,0,0,3
36,0.842,INF MENTAL HLTH J,8,0,1,1,0,0,1,1,0,0,0,4
37,0.143,INFANT CHILD DEV,8,0,0,0,0,0,2,0,0,0,1,5
38,1.590,J SPEECH LANG HEAR R,8,0,0,1,0,0,0,4,1,1,0,1
39,0.040,JPN J EDUC PSYCHOL,8,0,0,0,0,1,3,1,1,0,0,2
40,0.238,PSYCHOL REP,8,0,0,0,0,0,0,0,0,1,0,7
41,0.565,CLIN PSYCHOL PSYCHOT,7,0,0,0,0,0,0,1,0,0,0,6
42,0.696,COGNITION INSTRUCT,7,0,0,0,0,0,3,0,1,0,0,3
43,0.887,FAM PROCESS,7,0,0,0,0,0,0,4,0,0,0,3
44,0.021,VOLTA REV,7,0,0,0,0,0,0,4,0,1,0,2
45,0.800,BRIT J DEV PSYCHOL,6,0,0,1,0,2,0,0,0,0,0,3
46,0.509,EARLY CHILD RES Q,6,0,0,0,0,0,0,0,1,0,0,5
47,,EUR J CLIN NUTR,6,0,0,0,0,0,0,2,4,0,0,0
48,0.360,PRAX KINDERPSYCHOL K,6,0,0,0,0,0,0,0,0,0,0,6
49,2.414,PSYCHOL INQ,6,0,0,0,0,0,0,3,0,0,0,3
50,0.704,J NONVERBAL BEHAV,5,0,0,1,0,0,0,1,0,0,0,3
