Cited Journal Data: PHILOSOPHICAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,148,5,10,14,13,32,7,9,9,4,17,28
2,,ALL OTHERS (61),61,1,5,4,3,13,2,5,3,1,7,17
3,0.471,PHILOS PSYCHOL,10,4,1,2,2,1,0,0,0,0,0,0
4,0.295,CESK PSYCHOL,8,0,1,0,0,6,0,0,1,0,0,0
5,0.663,PHILOS SCI,7,0,0,3,1,3,0,0,0,0,0,0
6,,ACTA ANALYT,5,0,0,0,3,0,0,0,2,0,0,0
7,6.857,AM PSYCHOL,5,0,0,0,0,5,0,0,0,0,0,0
8,0.316,J MIND BEHAV,5,0,0,0,0,1,0,0,1,0,0,3
9,1.372,THEOR PSYCHOL,5,0,1,1,0,0,0,0,0,0,1,2
10,0.147,SYNTHESE,4,0,0,0,1,0,0,1,0,0,1,1
11,,AM PHILOS QUART,3,0,0,1,0,0,0,0,1,0,1,0
12,,J CONSCIOUSNESS STUD,3,0,0,1,1,1,0,0,0,0,0,0
13,0.488,J THEOR SOC BEHAV,3,0,0,0,0,0,1,2,0,0,0,0
14,,MIND MACH,3,0,0,0,1,0,0,0,0,0,2,0
15,,NOUS,3,0,1,1,0,0,0,0,0,0,0,1
16,1.500,AM J COMMUN PSYCHOL,2,0,0,0,0,0,0,0,0,0,1,1
17,,COM ADAP SY,2,0,0,0,0,0,2,0,0,0,0,0
18,,CONT PHILOS REV,2,0,1,0,0,1,0,0,0,0,0,0
19,0.513,DREAMING,2,0,0,0,0,0,2,0,0,0,0,0
20,,ERKENNTNIS,2,0,0,1,0,1,0,0,0,0,0,0
21,0.265,FEM PSYCHOL,2,0,0,0,0,0,0,0,0,0,2,0
22,0.804,INT J SPORT PSYCHOL,2,0,0,0,0,0,0,0,0,2,0,0
23,0.077,NORD PSYKOL,2,0,0,0,0,0,0,0,1,0,0,1
24,,PHILOS PHENOMEN RES,2,0,0,0,1,0,0,0,0,0,0,1
25,,PHILOS STUD,2,0,0,0,0,0,0,1,0,0,1,0
26,0.909,PSYCHOL HEALTH,2,0,0,0,0,0,0,0,0,1,0,1
27,2.375,ACAD MANAGE J,1,0,0,0,0,0,0,0,0,0,1,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
