Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,902,5,43,42,36,40,44,28,57,35,30,542
2,,ALL OTHERS (73),73,0,3,6,2,5,2,3,5,1,1,45
3,0.885,PRIMATES,111,0,3,6,4,4,5,2,11,5,2,69
4,1.437,AM J PRIMATOL,108,2,1,8,5,0,9,0,7,9,1,66
5,1.214,INT J PRIMATOL,98,1,8,6,4,3,4,2,4,3,7,56
6,0.926,FOLIA PRIMATOL,59,0,1,0,0,2,2,0,2,6,4,42
7,2.138,ANIM BEHAV,38,0,2,0,4,5,2,2,2,0,1,20
8,1.477,J COMP PSYCHOL,36,0,0,0,2,3,2,3,7,0,2,17
9,2.020,BEHAV ECOL SOCIOBIOL,34,0,9,5,2,1,1,1,2,0,0,13
10,1.066,ETHOLOGY,33,0,3,2,1,1,0,1,1,0,1,23
11,1.827,AM J PHYS ANTHROPOL,30,0,2,0,2,2,1,0,1,3,2,17
12,,COGNITIVE SCI,18,0,0,0,0,0,2,3,1,0,0,12
13,1.578,BIOL CONSERV,16,0,0,0,0,0,1,0,1,0,0,14
14,2.675,J HUM EVOL,16,0,0,1,2,0,1,1,0,2,0,9
15,,SLEEP MED REV,16,0,0,0,1,0,0,0,0,0,0,15
16,,EVOL ANTHROPOL,11,0,2,2,1,0,1,0,0,0,0,5
17,,J CONSCIOUSNESS STUD,11,0,0,0,0,2,1,2,0,0,1,5
18,0.494,ZOO BIOL,10,0,0,0,0,0,1,2,1,1,0,5
19,3.647,ADV STUD BEHAV,8,0,0,0,0,1,1,0,0,0,1,5
20,0.881,APPL ANIM BEHAV SCI,8,0,0,0,0,0,2,0,0,0,0,6
21,1.419,PHYSIOL BEHAV,7,1,1,1,0,1,0,1,0,0,0,2
22,1.381,ANN NY ACAD SCI,6,0,0,0,0,0,0,0,1,2,0,3
23,2.130,BEHAV ECOL,6,0,0,1,0,0,1,0,0,1,1,2
24,0.942,BEHAVIOUR,6,0,0,0,0,1,0,1,1,0,0,3
25,6.433,BIOL REV,6,0,2,0,0,0,0,0,0,0,1,3
26,,J HOMOSEXUAL,6,0,0,0,0,0,0,0,0,0,0,6
27,1.024,J ZOOL,6,0,0,0,0,0,0,0,0,0,1,5
28,2.263,BEHAV BRAIN RES,5,0,0,0,0,1,0,0,0,1,0,3
29,1.516,BEHAV GENET,5,0,1,0,0,0,0,0,2,0,0,2
30,0.858,BIOTROPICA,5,0,1,0,0,1,0,0,0,0,1,2
31,2.814,CONSERV BIOL,5,0,1,0,0,0,0,0,1,0,0,3
32,,CURR ANTHROPOL,5,0,0,0,0,0,0,0,0,0,0,5
33,1.322,DEV PSYCHOBIOL,5,0,0,0,0,0,0,0,1,0,0,4
34,0.172,INT J ENVIRON HEAL R,5,0,0,0,1,1,1,0,1,0,0,1
35,1.035,J TROP ECOL,5,0,0,0,0,0,0,1,0,0,0,4
36,0.615,ECOL RES,4,0,0,1,1,1,0,0,0,0,0,1
37,,HUMAN EVOLUT SER,4,0,0,0,0,0,0,0,0,1,0,3
38,1.365,J EXP PSYCHOL ANIM B,4,0,0,0,0,0,0,0,0,0,0,4
39,3.345,MOL PHYLOGENET EVOL,4,0,0,0,1,0,1,0,1,0,0,1
40,,ANIM CONSERV,3,0,0,0,0,0,0,0,0,0,0,3
41,14.250,BEHAV BRAIN SCI,3,0,0,0,0,1,0,0,0,0,0,2
42,0.694,BIOCHEM GENET,3,0,0,2,0,0,0,0,1,0,0,0
43,0.638,EXP ANIM TOKYO,3,1,0,1,0,0,0,0,0,0,0,1
44,,HUM NATURE-INT BIOS,3,0,0,0,0,0,0,1,0,0,0,2
45,0.360,MAMMALIA,3,0,1,0,0,0,0,0,0,0,0,2
46,2.769,MOL ECOL,3,0,1,0,0,1,0,0,1,0,0,0
47,3.037,P ROY SOC LOND B BIO,3,0,0,0,1,0,0,0,0,0,0,2
48,0.147,SYNTHESE,3,0,0,0,0,0,0,1,1,0,0,1
49,0.395,AFR J ECOL,2,0,1,0,0,0,0,0,0,0,0,1
50,,AFR ZOOL,2,0,0,0,0,0,0,0,0,0,0,2
51,,AGGRESS VIOLENT BEH,2,0,0,0,0,0,0,0,0,0,0,2
52,0.988,ANN TROP MED PARASIT,2,0,0,0,0,0,0,0,0,0,1,1
53,2.751,BEHAV NEUROSCI,2,0,0,0,0,1,0,0,0,0,0,1
54,2.176,CHEM SENSES,2,0,0,0,0,0,0,1,0,0,0,1
55,,CHILD DEV,2,0,0,0,0,0,0,0,1,0,0,1
56,,COGNITION,2,0,0,0,1,1,0,0,0,0,0,0
57,1.229,GENET SEL EVOL,2,0,0,0,0,0,0,0,0,0,0,2
58,0.753,HEREDITAS,2,0,0,0,0,0,1,0,0,0,0,1
59,,HOMO,2,0,0,0,0,0,0,0,0,0,0,2
60,2.553,HORM BEHAV,2,0,0,0,0,0,0,0,0,0,1,1
61,0.827,INT J REMOTE SENS,2,0,0,0,0,0,0,0,0,0,0,2
62,2.091,J APPL ECOL,2,0,0,0,0,0,2,0,0,0,0,0
63,,J EARTHQUAKE ENG,2,0,0,0,0,0,0,0,0,0,0,2
64,1.858,NEUROCHEM RES,2,0,0,0,0,0,0,0,0,0,0,2
65,3.382,NEUROSCI BIOBEHAV R,2,0,0,0,0,0,0,0,0,0,0,2
66,10.789,P NATL ACAD SCI USA,2,0,0,0,0,0,0,0,0,0,0,2
67,3.500,Q REV BIOL,2,0,0,0,1,1,0,0,0,0,0,0
68,23.872,SCIENCE,2,0,0,0,0,0,0,0,0,0,1,1
69,0.416,SOIL DYN EARTHQ ENG,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
