Cited Journal Data: PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2331,46,167,287,369,309,241,209,203,205,143,152
2,,ALL OTHERS (259),259,0,17,23,33,24,23,19,27,30,21,42
3,2.565,PSYCHOL SCI,71,3,13,15,5,10,8,6,5,2,2,2
4,0.295,VIS COGN,71,1,2,7,37,20,0,2,1,0,0,1
5,2.247,J EXP PSYCHOL HUMAN,54,2,4,9,8,4,10,10,2,0,1,4
6,1.507,MEM COGNITION,52,1,4,4,8,4,11,6,2,6,5,1
7,3.172,J PERS SOC PSYCHOL,49,1,7,3,9,10,4,3,0,7,4,1
8,2.753,J EXP PSYCHOL LEARN,45,2,1,11,6,3,3,5,3,8,3,0
9,,TRENDS COGN SCI,45,4,8,11,9,4,0,2,3,1,2,1
10,,VISION RES,43,2,3,11,8,3,5,4,0,1,1,5
11,1.252,PERCEPT PSYCHOPHYS,41,0,4,10,7,0,6,2,7,0,1,4
12,1.580,PSYCHON B REV,36,2,3,8,7,3,1,2,2,2,3,3
13,6.913,PSYCHOL BULL,32,0,0,9,5,1,0,3,3,5,3,3
14,1.205,PERS SOC PSYCHOL B,28,0,1,0,3,6,5,0,2,4,1,6
15,5.851,ANNU REV PSYCHOL,27,0,1,7,6,7,1,1,2,1,0,1
16,2.778,NEUROPSYCHOLOGIA,27,0,2,3,6,2,9,2,1,1,1,0
17,2.622,COGNITION,25,0,3,9,2,3,0,1,2,0,2,3
18,2.638,J MEM LANG,22,0,1,4,3,0,9,1,2,1,0,1
19,6.857,AM PSYCHOL,21,0,4,1,4,5,3,0,1,3,0,0
20,2.768,CHILD DEV,21,0,2,6,3,3,0,4,2,1,0,0
21,5.115,J COGNITIVE NEUROSCI,21,0,3,3,1,6,2,2,1,1,0,2
22,3.636,J EXP PSYCHOL GEN,21,2,0,0,3,1,4,2,5,2,2,0
23,6.069,PSYCHOL REV,20,0,2,2,5,3,1,1,2,1,2,1
24,14.250,BEHAV BRAIN SCI,19,0,0,4,0,1,1,4,3,0,3,3
25,1.863,COGNITION EMOTION,19,0,1,2,3,3,2,0,2,6,0,0
26,1.500,BIOL PSYCHOL,18,0,0,0,1,2,0,7,7,0,1,0
27,1.489,INT J PSYCHOPHYSIOL,16,0,0,3,1,3,1,2,3,2,1,0
28,5.250,ADV EXP SOC PSYCHOL,15,0,1,3,0,3,0,2,0,1,4,1
29,1.639,J BEHAV DECIS MAKING,15,0,0,0,1,0,1,4,6,1,2,0
30,1.276,J EXP CHILD PSYCHOL,15,1,2,0,3,0,2,1,3,3,0,0
31,0.920,PERS INDIV DIFFER,15,0,0,1,1,2,3,0,1,2,0,5
32,2.414,PSYCHOL INQ,15,0,2,3,1,5,0,1,1,1,1,0
33,1.962,CONSCIOUS COGN,14,2,1,2,3,1,0,2,3,0,0,0
34,2.702,NEUROPSYCHOLOGY,14,1,1,0,4,3,2,1,1,1,0,0
35,1.194,PSYCHOBIOLOGY,14,0,2,0,1,5,1,0,0,2,0,3
36,2.308,PSYCHOL AGING,14,3,1,2,1,2,1,1,0,1,2,0
37,0.286,AM J PSYCHOL,13,0,0,2,4,0,1,4,0,1,0,1
38,3.106,PSYCHOPHYSIOLOGY,13,1,0,1,1,0,1,3,3,2,1,0
39,1.452,Q J EXP PSYCHOL-A,13,0,0,1,5,0,3,2,0,0,0,2
40,,COGNITIVE BRAIN RES,12,0,1,0,4,3,2,0,0,0,0,2
41,2.460,J CONSUM RES,12,0,1,0,1,2,1,1,2,3,1,0
42,2.044,DEV PSYCHOL,11,0,1,3,2,0,1,3,1,0,0,0
43,1.069,EUR J SOC PSYCHOL,11,0,2,2,0,2,2,1,0,0,1,1
